"Tabela 6804 - Domicílios particulares permanentes ocupados, por existência de canalização de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Ano x Principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"Existência de canalização de água";"2022"
"Nível";"Cód.";"Município";"Existência de canalização de água";"Total";"Rede geral de distribuição";"Poço profundo ou artesiano";"Poço raso, freático ou cacimba";"Fonte, nascente ou mina";"Carro-pipa";"Água da chuva armazenada";"Rios, açudes, córregos, lagos e igarapés";"Outra"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"Sem água canalizada";"8";"-";"-";"1";"1";"-";"1";"-";"5"
"MU";"3300704";"Cabo Frio (RJ)";"Total";"82015";"71485";"7644";"688";"51";"1530";"71";"7";"539"
"MU";"3300704";"Cabo Frio (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"78927";"69966";"6875";"575";"45";"1123";"48";"7";"288"
"MU";"3300704";"Cabo Frio (RJ)";"Canalizada, mas apenas no terreno";"2064";"1519";"280";"61";"4";"131";"7";"-";"62"
"MU";"3300704";"Cabo Frio (RJ)";"Sem água canalizada";"1024";"-";"489";"52";"2";"276";"16";"-";"189"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Total";"22265";"16803";"2175";"421";"2814";"4";"4";"12";"32"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"21960";"16614";"2132";"399";"2781";"3";"4";"11";"16"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Canalizada, mas apenas no terreno";"259";"189";"31";"13";"23";"1";"-";"-";"2"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"Sem água canalizada";"46";"-";"12";"9";"10";"-";"-";"1";"14"
"MU";"3300902";"Cambuci (RJ)";"Total";"5799";"4266";"666";"221";"592";"1";"-";"11";"42"
"MU";"3300902";"Cambuci (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"5768";"4259";"661";"218";"583";"1";"-";"9";"37"
"MU";"3300902";"Cambuci (RJ)";"Canalizada, mas apenas no terreno";"15";"7";"2";"-";"6";"-";"-";"-";"-"
"MU";"3300902";"Cambuci (RJ)";"Sem água canalizada";"16";"-";"3";"3";"3";"-";"-";"2";"5"
"MU";"3300936";"Carapebus (RJ)";"Total";"5034";"1176";"1314";"2285";"16";"222";"1";"2";"18"
"MU";"3300936";"Carapebus (RJ)";"Canalizada até dentro da casa, apartamento ou habitação";"4485";"1150";"1154";"2026";"15";"129";"-";"1";"10"
"MU";"3300936";"Carapebus (RJ)";"Canalizada, mas apenas no terreno";"505";"26";"141";"252";"1";"82";"1";"-";"2"
"MU";"3300936";"Carapebus (RJ)";"Sem água canalizada";"44";"-";"19";"7";"-";"11";"-";"1";"6"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"Total";"3015";"2841";"62";"6";"94";"1";"2";"6";"3"
