"Tabela 6805 - Domicílios particulares permanentes ocupados, por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Tipo de esgotamento sanitário"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário"
"MU";"3303500";"Nova Iguaçu (RJ)";"287615";"255052";"226409";"28643";"5134";"4121";"16485";"5067";"1693";"63"
"MU";"3303609";"Paracambi (RJ)";"16107";"11864";"11187";"677";"513";"377";"1709";"1575";"66";"3"
"MU";"3303708";"Paraíba do Sul (RJ)";"15203";"12340";"11975";"365";"731";"632";"316";"1166";"17";"1"
"MU";"3303807";"Paraty (RJ)";"16138";"2859";"1977";"882";"11183";"1834";"26";"130";"93";"13"
"MU";"3303856";"Paty do Alferes (RJ)";"10881";"5352";"3296";"2056";"2559";"1075";"919";"899";"74";"3"
"MU";"3303906";"Petrópolis (RJ)";"108238";"82189";"77449";"4740";"9000";"3936";"1677";"11176";"249";"11"
"MU";"3303955";"Pinheiral (RJ)";"8814";"8072";"7896";"176";"244";"150";"125";"208";"13";"2"
"MU";"3304003";"Piraí (RJ)";"10089";"7414";"6843";"571";"1459";"411";"255";"514";"36";"-"
"MU";"3304102";"Porciúncula (RJ)";"6421";"4824";"4717";"107";"343";"207";"224";"811";"12";"-"
"MU";"3304110";"Porto Real (RJ)";"7187";"6792";"6660";"132";"206";"95";"58";"26";"9";"1"
"MU";"3304128";"Quatis (RJ)";"5035";"4335";"4056";"279";"162";"107";"61";"362";"5";"3"
"MU";"3304144";"Queimados (RJ)";"51217";"45519";"40859";"4660";"1068";"1153";"2604";"720";"141";"12"
"MU";"3304151";"Quissamã (RJ)";"8099";"6231";"6002";"229";"1252";"573";"23";"12";"6";"2"
"MU";"3304201";"Resende (RJ)";"48207";"45243";"44209";"1034";"992";"981";"451";"507";"30";"3"
"MU";"3304300";"Rio Bonito (RJ)";"21187";"16275";"8804";"7471";"1752";"815";"1448";"846";"48";"3"
"MU";"3304409";"Rio Claro (RJ)";"6415";"3572";"2962";"610";"531";"526";"161";"1607";"17";"1"
"MU";"3304508";"Rio das Flores (RJ)";"3122";"2305";"2104";"201";"127";"86";"42";"561";"-";"1"
"MU";"3304524";"Rio das Ostras (RJ)";"59069";"36893";"31125";"5768";"20219";"1302";"207";"113";"326";"9"
"MU";"3304557";"Rio de Janeiro (RJ)";"2436971";"2312653";"2245577";"67076";"26786";"9537";"50837";"31917";"4950";"291"
"MU";"3304607";"Santa Maria Madalena (RJ)";"3989";"1987";"1908";"79";"445";"497";"234";"806";"18";"2"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"15817";"13389";"13270";"119";"682";"315";"872";"540";"19";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"17278";"554";"190";"364";"288";"15702";"57";"609";"38";"30"
"MU";"3304805";"São Fidélis (RJ)";"14908";"10534";"10466";"68";"745";"1068";"1038";"1436";"84";"3"
"MU";"3304904";"São Gonçalo (RJ)";"358103";"299788";"260586";"39202";"13350";"8214";"20384";"14329";"1960";"78"
"MU";"3305000";"São João da Barra (RJ)";"14464";"3842";"3238";"604";"5389";"5195";"13";"18";"5";"2"
"MU";"3305109";"São João de Meriti (RJ)";"168771";"164725";"160583";"4142";"412";"390";"1352";"1627";"236";"29"
"MU";"3305133";"São José de Ubá (RJ)";"2682";"1601";"1537";"64";"398";"211";"361";"96";"9";"6"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"8263";"4491";"2340";"2151";"1757";"418";"33";"1545";"19";"-"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"38338";"26017";"16690";"9327";"10160";"1534";"413";"64";"143";"7"
"MU";"3305307";"São Sebastião do Alto (RJ)";"2926";"1371";"1325";"46";"573";"237";"309";"416";"19";"1"
"MU";"3305406";"Sapucaia (RJ)";"6693";"4697";"4504";"193";"605";"407";"218";"752";"12";"2"
"MU";"3305505";"Saquarema (RJ)";"34117";"9334";"4582";"4752";"20737";"2699";"840";"349";"147";"11"
"MU";"3305554";"Seropédica (RJ)";"29321";"21636";"17500";"4136";"1987";"1688";"3121";"539";"341";"9"
"MU";"3305604";"Silva Jardim (RJ)";"7887";"4511";"3701";"810";"1665";"786";"713";"159";"52";"1"
"MU";"3305703";"Sumidouro (RJ)";"5889";"1504";"1312";"192";"1540";"836";"398";"1598";"13";"-"
"MU";"3305752";"Tanguá (RJ)";"11548";"8171";"4941";"3230";"1033";"763";"930";"583";"65";"3"
"MU";"3305802";"Teresópolis (RJ)";"64415";"35369";"20042";"15327";"15798";"5178";"2481";"5225";"361";"3"
"MU";"3305901";"Trajano de Moraes (RJ)";"3895";"1318";"1256";"62";"625";"693";"428";"821";"9";"1"
"MU";"3306008";"Três Rios (RJ)";"28427";"22185";"21181";"1004";"1489";"239";"1804";"2637";"71";"2"
"MU";"3306107";"Valença (RJ)";"25919";"19755";"19219";"536";"752";"640";"1872";"2823";"73";"4"
"MU";"3306156";"Varre-Sai (RJ)";"3627";"2113";"2084";"29";"373";"205";"199";"722";"15";"-"
"MU";"3306206";"Vassouras (RJ)";"12879";"9029";"6072";"2957";"909";"1234";"535";"1152";"19";"1"
"MU";"3306305";"Volta Redonda (RJ)";"97991";"94063";"92982";"1081";"688";"210";"508";"2459";"52";"11"
"Fonte: IBGE - Censo Demográfico"

"Tabela 6805 - Domicílios particulares permanentes ocupados, por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados - percentual do total geral"
"Nível";"Cód.";"Município";"Ano x Tipo de esgotamento sanitário"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário"
"MU";"3300100";"Angra dos Reis (RJ)";"100,00000";"70,48740";"60,39983";"10,08756";"14,70238";"8,24614";"5,23613";"0,99636";"0,30744";"0,02414"
"MU";"3300159";"Aperibé (RJ)";"100,00000";"85,00231";"82,23350";"2,76880";"2,33041";"4,93770";"5,65298";"1,98431";"0,04615";"0,04615"
"MU";"3300209";"Araruama (RJ)";"100,00000";"32,84314";"16,51296";"16,33018";"58,46627";"5,10344";"1,95248";"1,35219";"0,27002";"0,01246"
"MU";"3300225";"Areal (RJ)";"100,00000";"41,95226";"39,21059";"2,74167";"12,64476";"8,72134";"1,98535";"34,53084";"0,16545";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"100,00000";"31,86997";"23,27748";"8,59249";"60,06702";"6,61528";"0,26139";"0,28150";"0,89812";"0,00670"
"MU";"3300258";"Arraial do Cabo (RJ)";"100,00000";"69,40738";"65,16202";"4,24536";"27,49090";"1,63750";"0,06065";"0,66713";"0,72778";"0,00866"
"MU";"3300308";"Barra do Piraí (RJ)";"100,00000";"78,28647";"65,69787";"12,58859";"5,23548";"1,41461";"8,97062";"5,67844";"0,37437";"0,04001"
