"Tabela 6806 - Domicílios particulares permanentes ocupados, por existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio e por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Ano x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"2022"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Total";"Tinham banheiro de uso exclusivo do domicílio";"Tinham banheiro de uso exclusivo do domicílio - 1 banheiro";"Tinham banheiro de uso exclusivo do domicílio - 2 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 3 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais";"Apenas banheiro de uso comum a mais de um domicílio";"Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno";"Não tinham banheiro nem sanitário"
"MU";"3303906";"Petrópolis (RJ)";"Rede geral ou pluvial";"77449";"77403";"55111";"16521";"4008";"1763";"38";"8";"-"
"MU";"3303906";"Petrópolis (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"4740";"4739";"2678";"1325";"447";"289";"-";"1";"-"
"MU";"3303906";"Petrópolis (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"9000";"8985";"5241";"2138";"860";"746";"14";"1";"-"
"MU";"3303906";"Petrópolis (RJ)";"Fossa rudimentar ou buraco";"3936";"3919";"2905";"694";"179";"141";"12";"5";"-"
"MU";"3303906";"Petrópolis (RJ)";"Vala";"1677";"1675";"1401";"245";"22";"7";"2";"-";"-"
"MU";"3303906";"Petrópolis (RJ)";"Rio, lago, córrego ou mar";"11176";"11164";"8794";"1910";"332";"128";"11";"1";"-"
"MU";"3303906";"Petrópolis (RJ)";"Outra forma";"249";"245";"155";"50";"20";"20";"4";"-";"-"
"MU";"3303906";"Petrópolis (RJ)";"Não tinham banheiro nem sanitário";"11";"-";"-";"-";"-";"-";"-";"-";"11"
"MU";"3303955";"Pinheiral (RJ)";"Total";"8814";"8806";"5849";"2263";"548";"146";"4";"2";"2"
"MU";"3303955";"Pinheiral (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"8072";"8068";"5344";"2099";"497";"128";"4";"-";"-"
"MU";"3303955";"Pinheiral (RJ)";"Rede geral ou pluvial";"7896";"7893";"5248";"2045";"479";"121";"3";"-";"-"
"MU";"3303955";"Pinheiral (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"176";"175";"96";"54";"18";"7";"1";"-";"-"
"MU";"3303955";"Pinheiral (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"244";"243";"140";"68";"26";"9";"-";"1";"-"
"MU";"3303955";"Pinheiral (RJ)";"Fossa rudimentar ou buraco";"150";"150";"103";"29";"12";"6";"-";"-";"-"
"MU";"3303955";"Pinheiral (RJ)";"Vala";"125";"125";"108";"13";"3";"1";"-";"-";"-"
"MU";"3303955";"Pinheiral (RJ)";"Rio, lago, córrego ou mar";"208";"208";"148";"49";"9";"2";"-";"-";"-"
"MU";"3303955";"Pinheiral (RJ)";"Outra forma";"13";"12";"6";"5";"1";"-";"-";"1";"-"
"MU";"3303955";"Pinheiral (RJ)";"Não tinham banheiro nem sanitário";"2";"-";"-";"-";"-";"-";"-";"-";"2"
"MU";"3304003";"Piraí (RJ)";"Total";"10089";"10078";"6895";"2414";"570";"199";"10";"1";"-"
"MU";"3304003";"Piraí (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"7414";"7408";"4992";"1854";"428";"134";"6";"-";"-"
"MU";"3304003";"Piraí (RJ)";"Rede geral ou pluvial";"6843";"6838";"4652";"1693";"377";"116";"5";"-";"-"
"MU";"3304003";"Piraí (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"571";"570";"340";"161";"51";"18";"1";"-";"-"
"MU";"3304003";"Piraí (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"1459";"1458";"979";"339";"89";"51";"1";"-";"-"
"MU";"3304003";"Piraí (RJ)";"Fossa rudimentar ou buraco";"411";"408";"315";"71";"16";"6";"3";"-";"-"
"MU";"3304003";"Piraí (RJ)";"Vala";"255";"254";"199";"48";"5";"2";"-";"1";"-"
"MU";"3304003";"Piraí (RJ)";"Rio, lago, córrego ou mar";"514";"514";"395";"90";"27";"2";"-";"-";"-"
"MU";"3304003";"Piraí (RJ)";"Outra forma";"36";"36";"15";"12";"5";"4";"-";"-";"-"
"MU";"3304003";"Piraí (RJ)";"Não tinham banheiro nem sanitário";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"3304102";"Porciúncula (RJ)";"Total";"6421";"6416";"4360";"1597";"338";"121";"-";"5";"-"
"MU";"3304102";"Porciúncula (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"4824";"4824";"3100";"1326";"293";"105";"-";"-";"-"
"MU";"3304102";"Porciúncula (RJ)";"Rede geral ou pluvial";"4717";"4717";"3022";"1304";"287";"104";"-";"-";"-"
"MU";"3304102";"Porciúncula (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"107";"107";"78";"22";"6";"1";"-";"-";"-"
"MU";"3304102";"Porciúncula (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"343";"343";"263";"57";"16";"7";"-";"-";"-"
"MU";"3304102";"Porciúncula (RJ)";"Fossa rudimentar ou buraco";"207";"202";"168";"30";"2";"2";"-";"5";"-"
"MU";"3304102";"Porciúncula (RJ)";"Vala";"224";"224";"191";"30";"2";"1";"-";"-";"-"
"MU";"3304102";"Porciúncula (RJ)";"Rio, lago, córrego ou mar";"811";"811";"626";"154";"25";"6";"-";"-";"-"
"MU";"3304102";"Porciúncula (RJ)";"Outra forma";"12";"12";"12";"-";"-";"-";"-";"-";"-"
"MU";"3304102";"Porciúncula (RJ)";"Não tinham banheiro nem sanitário";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Total";"7187";"7179";"5029";"1775";"299";"76";"7";"-";"1"
"MU";"3304110";"Porto Real (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"6792";"6787";"4733";"1697";"286";"71";"5";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Rede geral ou pluvial";"6660";"6655";"4644";"1663";"279";"69";"5";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"132";"132";"89";"34";"7";"2";"-";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"206";"206";"149";"42";"10";"5";"-";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Fossa rudimentar ou buraco";"95";"95";"76";"16";"3";"-";"-";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Vala";"58";"57";"42";"15";"-";"-";"1";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Rio, lago, córrego ou mar";"26";"25";"21";"4";"-";"-";"1";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Outra forma";"9";"9";"8";"1";"-";"-";"-";"-";"-"
"MU";"3304110";"Porto Real (RJ)";"Não tinham banheiro nem sanitário";"1";"-";"-";"-";"-";"-";"-";"-";"1"
"MU";"3304128";"Quatis (RJ)";"Total";"5035";"5025";"3597";"1083";"264";"81";"6";"1";"3"
"MU";"3304128";"Quatis (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"4335";"4331";"3062";"970";"228";"71";"4";"-";"-"
"MU";"3304128";"Quatis (RJ)";"Rede geral ou pluvial";"4056";"4052";"2886";"888";"209";"69";"4";"-";"-"
"MU";"3304128";"Quatis (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"279";"279";"176";"82";"19";"2";"-";"-";"-"
"MU";"3304128";"Quatis (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"162";"162";"116";"22";"18";"6";"-";"-";"-"
"MU";"3304128";"Quatis (RJ)";"Fossa rudimentar ou buraco";"107";"106";"85";"18";"2";"1";"1";"-";"-"
"MU";"3304128";"Quatis (RJ)";"Vala";"61";"61";"50";"10";"1";"-";"-";"-";"-"
"MU";"3304128";"Quatis (RJ)";"Rio, lago, córrego ou mar";"362";"361";"283";"63";"12";"3";"1";"-";"-"
"MU";"3304128";"Quatis (RJ)";"Outra forma";"5";"4";"1";"-";"3";"-";"-";"1";"-"
"MU";"3304128";"Quatis (RJ)";"Não tinham banheiro nem sanitário";"3";"-";"-";"-";"-";"-";"-";"-";"3"
"MU";"3304144";"Queimados (RJ)";"Total";"51217";"51111";"40665";"8713";"1394";"339";"71";"23";"12"
"MU";"3304144";"Queimados (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"45519";"45470";"36109";"7810";"1250";"301";"46";"3";"-"
"MU";"3304144";"Queimados (RJ)";"Rede geral ou pluvial";"40859";"40819";"32576";"6883";"1093";"267";"38";"2";"-"
"MU";"3304144";"Queimados (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"4660";"4651";"3533";"927";"157";"34";"8";"1";"-"
"MU";"3304144";"Queimados (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"1068";"1061";"751";"231";"57";"22";"7";"-";"-"
"MU";"3304144";"Queimados (RJ)";"Fossa rudimentar ou buraco";"1153";"1138";"974";"141";"16";"7";"7";"8";"-"
"MU";"3304144";"Queimados (RJ)";"Vala";"2604";"2589";"2113";"414";"54";"8";"9";"6";"-"
"MU";"3304144";"Queimados (RJ)";"Rio, lago, córrego ou mar";"720";"717";"602";"97";"17";"1";"1";"2";"-"
"MU";"3304144";"Queimados (RJ)";"Outra forma";"141";"136";"116";"20";"-";"-";"1";"4";"-"
"MU";"3304144";"Queimados (RJ)";"Não tinham banheiro nem sanitário";"12";"-";"-";"-";"-";"-";"-";"-";"12"
"MU";"3304151";"Quissamã (RJ)";"Total";"8099";"8086";"5786";"1833";"332";"135";"6";"5";"2"
"MU";"3304151";"Quissamã (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"6231";"6227";"4330";"1509";"276";"112";"3";"1";"-"
"MU";"3304151";"Quissamã (RJ)";"Rede geral ou pluvial";"6002";"5998";"4188";"1438";"265";"107";"3";"1";"-"
"MU";"3304151";"Quissamã (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"229";"229";"142";"71";"11";"5";"-";"-";"-"
"MU";"3304151";"Quissamã (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"1252";"1250";"993";"210";"35";"12";"-";"2";"-"
"MU";"3304151";"Quissamã (RJ)";"Fossa rudimentar ou buraco";"573";"569";"429";"109";"20";"11";"3";"1";"-"
"MU";"3304151";"Quissamã (RJ)";"Vala";"23";"22";"20";"2";"-";"-";"-";"1";"-"
"MU";"3304151";"Quissamã (RJ)";"Rio, lago, córrego ou mar";"12";"12";"11";"1";"-";"-";"-";"-";"-"
"MU";"3304151";"Quissamã (RJ)";"Outra forma";"6";"6";"3";"2";"1";"-";"-";"-";"-"
"MU";"3304151";"Quissamã (RJ)";"Não tinham banheiro nem sanitário";"2";"-";"-";"-";"-";"-";"-";"-";"2"
"MU";"3304201";"Resende (RJ)";"Total";"48207";"48144";"30062";"13220";"3545";"1317";"42";"18";"3"
"MU";"3304201";"Resende (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"45243";"45207";"27917";"12635";"3421";"1234";"23";"13";"-"
"MU";"3304201";"Resende (RJ)";"Rede geral ou pluvial";"44209";"44176";"27037";"12521";"3405";"1213";"21";"12";"-"
"MU";"3304201";"Resende (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"1034";"1031";"880";"114";"16";"21";"2";"1";"-"
"MU";"3304201";"Resende (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"992";"990";"634";"255";"59";"42";"1";"1";"-"
"MU";"3304201";"Resende (RJ)";"Fossa rudimentar ou buraco";"981";"974";"723";"174";"41";"36";"4";"3";"-"
"MU";"3304201";"Resende (RJ)";"Vala";"451";"445";"381";"56";"7";"1";"6";"-";"-"
"MU";"3304201";"Resende (RJ)";"Rio, lago, córrego ou mar";"507";"499";"384";"97";"14";"4";"7";"1";"-"
"MU";"3304201";"Resende (RJ)";"Outra forma";"30";"29";"23";"3";"3";"-";"1";"-";"-"
"MU";"3304201";"Resende (RJ)";"Não tinham banheiro nem sanitário";"3";"-";"-";"-";"-";"-";"-";"-";"3"
"MU";"3304300";"Rio Bonito (RJ)";"Total";"21187";"21159";"14631";"5020";"1064";"444";"19";"6";"3"
"MU";"3304300";"Rio Bonito (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"16275";"16267";"10662";"4223";"975";"407";"7";"1";"-"
"MU";"3304300";"Rio Bonito (RJ)";"Rede geral ou pluvial";"8804";"8798";"5648";"2383";"524";"243";"5";"1";"-"
"MU";"3304300";"Rio Bonito (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"7471";"7469";"5014";"1840";"451";"164";"2";"-";"-"
"MU";"3304300";"Rio Bonito (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"1752";"1748";"1344";"333";"47";"24";"4";"-";"-"
"MU";"3304300";"Rio Bonito (RJ)";"Fossa rudimentar ou buraco";"815";"812";"663";"132";"11";"6";"-";"3";"-"
"MU";"3304300";"Rio Bonito (RJ)";"Vala";"1448";"1439";"1244";"178";"16";"1";"7";"2";"-"
"MU";"3304300";"Rio Bonito (RJ)";"Rio, lago, córrego ou mar";"846";"845";"683";"146";"13";"3";"1";"-";"-"
"MU";"3304300";"Rio Bonito (RJ)";"Outra forma";"48";"48";"35";"8";"2";"3";"-";"-";"-"
"MU";"3304300";"Rio Bonito (RJ)";"Não tinham banheiro nem sanitário";"3";"-";"-";"-";"-";"-";"-";"-";"3"
"MU";"3304409";"Rio Claro (RJ)";"Total";"6415";"6409";"4536";"1523";"254";"96";"3";"2";"1"
"MU";"3304409";"Rio Claro (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"3572";"3571";"2399";"944";"177";"51";"-";"1";"-"
"MU";"3304409";"Rio Claro (RJ)";"Rede geral ou pluvial";"2962";"2962";"1983";"799";"140";"40";"-";"-";"-"
"MU";"3304409";"Rio Claro (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"610";"609";"416";"145";"37";"11";"-";"1";"-"
"MU";"3304409";"Rio Claro (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"531";"531";"346";"141";"24";"20";"-";"-";"-"
"MU";"3304409";"Rio Claro (RJ)";"Fossa rudimentar ou buraco";"526";"525";"429";"80";"8";"8";"1";"-";"-"
"MU";"3304409";"Rio Claro (RJ)";"Vala";"161";"161";"125";"31";"4";"1";"-";"-";"-"
"MU";"3304409";"Rio Claro (RJ)";"Rio, lago, córrego ou mar";"1607";"1606";"1227";"324";"40";"15";"1";"-";"-"
"MU";"3304409";"Rio Claro (RJ)";"Outra forma";"17";"15";"10";"3";"1";"1";"1";"1";"-"
"MU";"3304409";"Rio Claro (RJ)";"Não tinham banheiro nem sanitário";"1";"-";"-";"-";"-";"-";"-";"-";"1"
"MU";"3304508";"Rio das Flores (RJ)";"Total";"3122";"3118";"2259";"661";"133";"65";"2";"1";"1"
"MU";"3304508";"Rio das Flores (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"2305";"2302";"1634";"523";"103";"42";"2";"1";"-"
"MU";"3304508";"Rio das Flores (RJ)";"Rede geral ou pluvial";"2104";"2102";"1491";"480";"95";"36";"1";"1";"-"
"MU";"3304508";"Rio das Flores (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"201";"200";"143";"43";"8";"6";"1";"-";"-"
"MU";"3304508";"Rio das Flores (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"127";"127";"73";"32";"11";"11";"-";"-";"-"
"MU";"3304508";"Rio das Flores (RJ)";"Fossa rudimentar ou buraco";"86";"86";"76";"8";"1";"1";"-";"-";"-"
"MU";"3304508";"Rio das Flores (RJ)";"Vala";"42";"42";"33";"7";"2";"-";"-";"-";"-"
"MU";"3304508";"Rio das Flores (RJ)";"Rio, lago, córrego ou mar";"561";"561";"443";"91";"16";"11";"-";"-";"-"
"MU";"3304508";"Rio das Flores (RJ)";"Outra forma";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"3304508";"Rio das Flores (RJ)";"Não tinham banheiro nem sanitário";"1";"-";"-";"-";"-";"-";"-";"-";"1"
"MU";"3304524";"Rio das Ostras (RJ)";"Total";"59069";"59021";"32548";"18279";"6277";"1917";"18";"21";"9"
"MU";"3304524";"Rio das Ostras (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"36893";"36883";"21348";"10898";"3621";"1016";"3";"7";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"Rede geral ou pluvial";"31125";"31120";"17849";"9229";"3158";"884";"2";"3";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"5768";"5763";"3499";"1669";"463";"132";"1";"4";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"20219";"20208";"9799";"6983";"2567";"859";"9";"2";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"Fossa rudimentar ou buraco";"1302";"1295";"886";"302";"75";"32";"3";"4";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"Vala";"207";"202";"161";"33";"7";"1";"2";"3";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"Rio, lago, córrego ou mar";"113";"112";"95";"15";"1";"1";"-";"1";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"Outra forma";"326";"321";"259";"48";"6";"8";"1";"4";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"Não tinham banheiro nem sanitário";"9";"-";"-";"-";"-";"-";"-";"-";"9"
"MU";"3304557";"Rio de Janeiro (RJ)";"Total";"2436971";"2433711";"1563093";"591706";"214862";"64050";"2558";"411";"291"
"MU";"3304557";"Rio de Janeiro (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"2312653";"2310276";"1467368";"571699";"209936";"61273";"2169";"208";"-"
"MU";"3304557";"Rio de Janeiro (RJ)";"Rede geral ou pluvial";"2245577";"2243262";"1425087";"554896";"204607";"58672";"2120";"195";"-"
"MU";"3304557";"Rio de Janeiro (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"67076";"67014";"42281";"16803";"5329";"2601";"49";"13";"-"
"MU";"3304557";"Rio de Janeiro (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"26786";"26716";"15462";"6286";"2872";"2096";"54";"16";"-"
"MU";"3304557";"Rio de Janeiro (RJ)";"Fossa rudimentar ou buraco";"9537";"9457";"7316";"1655";"327";"159";"40";"40";"-"
"MU";"3304557";"Rio de Janeiro (RJ)";"Vala";"50837";"50629";"43527";"6094";"790";"218";"137";"71";"-"
"MU";"3304557";"Rio de Janeiro (RJ)";"Rio, lago, córrego ou mar";"31917";"31829";"26030";"4914";"712";"173";"58";"30";"-"
"MU";"3304557";"Rio de Janeiro (RJ)";"Outra forma";"4950";"4804";"3390";"1058";"225";"131";"100";"46";"-"
"MU";"3304557";"Rio de Janeiro (RJ)";"Não tinham banheiro nem sanitário";"291";"-";"-";"-";"-";"-";"-";"-";"291"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Total";"3989";"3984";"2828";"868";"208";"80";"1";"2";"2"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"1987";"1986";"1366";"469";"114";"37";"-";"1";"-"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Rede geral ou pluvial";"1908";"1907";"1305";"456";"112";"34";"-";"1";"-"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"79";"79";"61";"13";"2";"3";"-";"-";"-"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"445";"445";"283";"107";"34";"21";"-";"-";"-"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Fossa rudimentar ou buraco";"497";"496";"394";"75";"23";"4";"1";"-";"-"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Vala";"234";"234";"190";"36";"4";"4";"-";"-";"-"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Rio, lago, córrego ou mar";"806";"805";"584";"175";"32";"14";"-";"1";"-"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Outra forma";"18";"18";"11";"6";"1";"-";"-";"-";"-"
"MU";"3304607";"Santa Maria Madalena (RJ)";"Não tinham banheiro nem sanitário";"2";"-";"-";"-";"-";"-";"-";"-";"2"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Total";"15817";"15811";"10899";"3710";"828";"374";"4";"2";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"13389";"13386";"9062";"3247";"734";"343";"3";"-";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Rede geral ou pluvial";"13270";"13267";"8988";"3220";"723";"336";"3";"-";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"119";"119";"74";"27";"11";"7";"-";"-";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"682";"682";"511";"124";"29";"18";"-";"-";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Fossa rudimentar ou buraco";"315";"315";"242";"59";"11";"3";"-";"-";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Vala";"872";"871";"713";"129";"27";"2";"-";"1";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Rio, lago, córrego ou mar";"540";"538";"353";"150";"27";"8";"1";"1";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Outra forma";"19";"19";"18";"1";"-";"-";"-";"-";"-"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"Não tinham banheiro nem sanitário";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Total";"17278";"17140";"13841";"2745";"428";"126";"56";"52";"30"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"554";"553";"450";"90";"10";"3";"1";"-";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Rede geral ou pluvial";"190";"190";"135";"48";"6";"1";"-";"-";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"364";"363";"315";"42";"4";"2";"1";"-";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"288";"288";"168";"77";"29";"14";"-";"-";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Fossa rudimentar ou buraco";"15702";"15620";"12644";"2490";"379";"107";"45";"37";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Vala";"57";"55";"51";"4";"-";"-";"-";"2";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Rio, lago, córrego ou mar";"609";"605";"510";"83";"10";"2";"2";"2";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Outra forma";"38";"19";"18";"1";"-";"-";"8";"11";"-"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"Não tinham banheiro nem sanitário";"30";"-";"-";"-";"-";"-";"-";"-";"30"
"MU";"3304805";"São Fidélis (RJ)";"Total";"14908";"14897";"10109";"3855";"696";"237";"2";"6";"3"
"MU";"3304805";"São Fidélis (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"10534";"10533";"6677";"3068";"585";"203";"1";"-";"-"
"MU";"3304805";"São Fidélis (RJ)";"Rede geral ou pluvial";"10466";"10465";"6634";"3046";"584";"201";"1";"-";"-"
"MU";"3304805";"São Fidélis (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"68";"68";"43";"22";"1";"2";"-";"-";"-"
"MU";"3304805";"São Fidélis (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"745";"745";"570";"146";"21";"8";"-";"-";"-"
"MU";"3304805";"São Fidélis (RJ)";"Fossa rudimentar ou buraco";"1068";"1066";"841";"192";"23";"10";"1";"1";"-"
"MU";"3304805";"São Fidélis (RJ)";"Vala";"1038";"1037";"850";"166";"18";"3";"-";"1";"-"
"MU";"3304805";"São Fidélis (RJ)";"Rio, lago, córrego ou mar";"1436";"1436";"1102";"272";"49";"13";"-";"-";"-"
"MU";"3304805";"São Fidélis (RJ)";"Outra forma";"84";"80";"69";"11";"-";"-";"-";"4";"-"
"MU";"3304805";"São Fidélis (RJ)";"Não tinham banheiro nem sanitário";"3";"-";"-";"-";"-";"-";"-";"-";"3"
"MU";"3304904";"São Gonçalo (RJ)";"Total";"358103";"357516";"285762";"61606";"8127";"2021";"314";"195";"78"
"MU";"3304904";"São Gonçalo (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"299788";"299533";"238004";"52681";"7065";"1783";"183";"72";"-"
"MU";"3304904";"São Gonçalo (RJ)";"Rede geral ou pluvial";"260586";"260382";"207907";"45077";"5909";"1489";"157";"47";"-"
"MU";"3304904";"São Gonçalo (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"39202";"39151";"30097";"7604";"1156";"294";"26";"25";"-"
"MU";"3304904";"São Gonçalo (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"13350";"13317";"10619";"2305";"319";"74";"20";"13";"-"
"MU";"3304904";"São Gonçalo (RJ)";"Fossa rudimentar ou buraco";"8214";"8161";"6842";"1155";"132";"32";"19";"34";"-"
"MU";"3304904";"São Gonçalo (RJ)";"Vala";"20384";"20295";"17026";"2877";"313";"79";"41";"48";"-"
"MU";"3304904";"São Gonçalo (RJ)";"Rio, lago, córrego ou mar";"14329";"14294";"11645";"2336";"267";"46";"23";"12";"-"
"MU";"3304904";"São Gonçalo (RJ)";"Outra forma";"1960";"1916";"1626";"252";"31";"7";"28";"16";"-"
"MU";"3304904";"São Gonçalo (RJ)";"Não tinham banheiro nem sanitário";"78";"-";"-";"-";"-";"-";"-";"-";"78"
"MU";"3305000";"São João da Barra (RJ)";"Total";"14464";"14446";"10472";"3280";"514";"180";"10";"6";"2"
"MU";"3305000";"São João da Barra (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"3842";"3841";"2724";"904";"160";"53";"1";"-";"-"
"MU";"3305000";"São João da Barra (RJ)";"Rede geral ou pluvial";"3238";"3237";"2226";"810";"153";"48";"1";"-";"-"
"MU";"3305000";"São João da Barra (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"604";"604";"498";"94";"7";"5";"-";"-";"-"
"MU";"3305000";"São João da Barra (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"5389";"5381";"3792";"1363";"163";"63";"3";"5";"-"
"MU";"3305000";"São João da Barra (RJ)";"Fossa rudimentar ou buraco";"5195";"5190";"3928";"1007";"191";"64";"5";"-";"-"
"MU";"3305000";"São João da Barra (RJ)";"Vala";"13";"13";"12";"1";"-";"-";"-";"-";"-"
"MU";"3305000";"São João da Barra (RJ)";"Rio, lago, córrego ou mar";"18";"18";"14";"4";"-";"-";"-";"-";"-"
"MU";"3305000";"São João da Barra (RJ)";"Outra forma";"5";"3";"2";"1";"-";"-";"1";"1";"-"
"MU";"3305000";"São João da Barra (RJ)";"Não tinham banheiro nem sanitário";"2";"-";"-";"-";"-";"-";"-";"-";"2"
"MU";"3305109";"São João de Meriti (RJ)";"Total";"168771";"168582";"139976";"24411";"3324";"871";"134";"26";"29"
"MU";"3305109";"São João de Meriti (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"164725";"164587";"136505";"23960";"3261";"861";"116";"22";"-"
