"Tabela 6806 - Domicílios particulares permanentes ocupados, por existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio e por tipo de esgotamento sanitário"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Ano x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"2022"
"Nível";"Cód.";"Município";"Tipo de esgotamento sanitário";"Total";"Tinham banheiro de uso exclusivo do domicílio";"Tinham banheiro de uso exclusivo do domicílio - 1 banheiro";"Tinham banheiro de uso exclusivo do domicílio - 2 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 3 banheiros";"Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais";"Apenas banheiro de uso comum a mais de um domicílio";"Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno";"Não tinham banheiro nem sanitário"
"MU";"3300233";"Armação dos Búzios (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"4755";"4754";"2745";"1376";"328";"305";"1";"-";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Rede geral ou pluvial";"3473";"3472";"1990";"1061";"223";"198";"1";"-";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"1282";"1282";"755";"315";"105";"107";"-";"-";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"8962";"8950";"5751";"2037";"624";"538";"10";"2";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Fossa rudimentar ou buraco";"987";"982";"677";"252";"35";"18";"3";"2";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Vala";"39";"39";"29";"8";"2";"-";"-";"-";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Rio, lago, córrego ou mar";"42";"42";"30";"10";"2";"-";"-";"-";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Outra forma";"134";"132";"95";"28";"7";"2";"1";"1";"-"
"MU";"3300233";"Armação dos Búzios (RJ)";"Não tinham banheiro nem sanitário";"1";"-";"-";"-";"-";"-";"-";"-";"1"
"MU";"3300258";"Arraial do Cabo (RJ)";"Total";"11542";"11508";"7163";"3241";"767";"337";"31";"2";"1"
"MU";"3300258";"Arraial do Cabo (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"8011";"7987";"4990";"2264";"513";"220";"22";"2";"-"
"MU";"3300258";"Arraial do Cabo (RJ)";"Rede geral ou pluvial";"7521";"7497";"4717";"2100";"473";"207";"22";"2";"-"
"MU";"3300258";"Arraial do Cabo (RJ)";"Fossa séptica ou fossa filtro ligada à rede";"490";"490";"273";"164";"40";"13";"-";"-";"-"
"MU";"3300258";"Arraial do Cabo (RJ)";"Fossa séptica ou fossa filtro não ligada à rede";"3173";"3167";"1908";"912";"236";"111";"6";"-";"-"
"MU";"3300258";"Arraial do Cabo (RJ)";"Fossa rudimentar ou buraco";"189";"189";"134";"40";"10";"5";"-";"-";"-"
"MU";"3300258";"Arraial do Cabo (RJ)";"Vala";"7";"7";"7";"-";"-";"-";"-";"-";"-"
"MU";"3300258";"Arraial do Cabo (RJ)";"Rio, lago, córrego ou mar";"77";"77";"65";"9";"3";"-";"-";"-";"-"
"MU";"3300258";"Arraial do Cabo (RJ)";"Outra forma";"84";"81";"59";"16";"5";"1";"3";"-";"-"
"MU";"3300258";"Arraial do Cabo (RJ)";"Não tinham banheiro nem sanitário";"1";"-";"-";"-";"-";"-";"-";"-";"1"
"MU";"3300308";"Barra do Piraí (RJ)";"Total";"34992";"34895";"24807";"7956";"1581";"551";"51";"32";"14"
"MU";"3300308";"Barra do Piraí (RJ)";"Rede geral, rede pluvial ou fossa ligada à rede";"27394";"27342";"19006";"6556";"1327";"453";"31";"21";"-"
"MU";"3300308";"Barra do Piraí (RJ)";"Rede geral ou pluvial";"22989";"22942";"16285";"5333";"1018";"306";"29";"18";"-"
