"Tabela 6326 - Domicílios particulares permanentes ocupados, por tipo de domicílio"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Tipo de domicílio"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Casa";"Casa de vila ou em condomínio";"Apartamento";"Habitação em casa de cômodos ou cortiço";"Habitação indígena sem paredes ou maloca";"Estrutura residencial permanente degradada ou inacabada"
"MU";"3304201";"Resende (RJ)";"48207";"37986";"2046";"8102";"65";"-";"8"
"MU";"3304300";"Rio Bonito (RJ)";"21187";"19529";"622";"995";"36";"-";"5"
"MU";"3304409";"Rio Claro (RJ)";"6415";"6234";"28";"152";"-";"-";"1"
"MU";"3304508";"Rio das Flores (RJ)";"3122";"3012";"22";"87";"-";"-";"1"
"MU";"3304524";"Rio das Ostras (RJ)";"59069";"45718";"4798";"8442";"56";"-";"55"
"MU";"3304557";"Rio de Janeiro (RJ)";"2436971";"1282864";"172196";"963002";"17860";"-";"1049"
"MU";"3304607";"Santa Maria Madalena (RJ)";"3989";"3863";"6";"114";"5";"-";"1"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"15817";"14561";"168";"1070";"14";"-";"4"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"17278";"17098";"90";"86";"2";"-";"2"
"MU";"3304805";"São Fidélis (RJ)";"14908";"13817";"155";"927";"5";"-";"4"
"MU";"3304904";"São Gonçalo (RJ)";"358103";"291934";"23127";"42361";"573";"-";"108"
"MU";"3305000";"São João da Barra (RJ)";"14464";"14283";"35";"145";"1";"-";"-"
"MU";"3305109";"São João de Meriti (RJ)";"168771";"142632";"18224";"7231";"636";"-";"48"
"MU";"3305133";"São José de Ubá (RJ)";"2682";"2497";"1";"181";"3";"-";"-"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"8263";"7776";"51";"400";"19";"-";"17"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"38338";"32845";"2989";"2461";"29";"-";"14"
"MU";"3305307";"São Sebastião do Alto (RJ)";"2926";"2835";"7";"80";"2";"-";"2"
"MU";"3305406";"Sapucaia (RJ)";"6693";"6154";"8";"528";"3";"-";"-"
"MU";"3305505";"Saquarema (RJ)";"34117";"30972";"1962";"1145";"17";"-";"21"
"MU";"3305554";"Seropédica (RJ)";"29321";"27642";"877";"775";"12";"-";"15"
"MU";"3305604";"Silva Jardim (RJ)";"7887";"7736";"116";"35";"-";"-";"-"
"MU";"3305703";"Sumidouro (RJ)";"5889";"5568";"8";"296";"1";"-";"16"
"MU";"3305752";"Tanguá (RJ)";"11548";"10583";"497";"368";"49";"-";"51"
"MU";"3305802";"Teresópolis (RJ)";"64415";"47591";"3307";"13337";"163";"-";"17"
"MU";"3305901";"Trajano de Moraes (RJ)";"3895";"3862";"-";"31";"1";"-";"1"
"MU";"3306008";"Três Rios (RJ)";"28427";"23346";"251";"4801";"23";"-";"6"
"MU";"3306107";"Valença (RJ)";"25919";"23937";"214";"1701";"66";"-";"1"
"MU";"3306156";"Varre-Sai (RJ)";"3627";"3465";"15";"140";"7";"-";"-"
"MU";"3306206";"Vassouras (RJ)";"12879";"11909";"197";"757";"9";"-";"7"
"MU";"3306305";"Volta Redonda (RJ)";"97991";"77371";"1228";"19286";"99";"-";"7"
"Fonte: IBGE - Censo Demográfico"

"Tabela 6326 - Domicílios particulares permanentes ocupados, por tipo de domicílio"
"Variável - Domicílios particulares permanentes ocupados - percentual do total geral"
"Nível";"Cód.";"Município";"Ano x Tipo de domicílio"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Casa";"Casa de vila ou em condomínio";"Apartamento";"Habitação em casa de cômodos ou cortiço";"Habitação indígena sem paredes ou maloca";"Estrutura residencial permanente degradada ou inacabada"
"MU";"3300100";"Angra dos Reis (RJ)";"100,00000";"88,65692";"3,69893";"7,45421";"0,13682";"-";"0,05312"
"MU";"3300159";"Aperibé (RJ)";"100,00000";"95,96216";"0,43839";"3,59945";"-";"-";"-"
"MU";"3300209";"Araruama (RJ)";"100,00000";"90,10053";"5,80758";"3,97350";"0,07270";"-";"0,04570"
"MU";"3300225";"Areal (RJ)";"100,00000";"92,64949";"1,72536";"5,45970";"0,14181";"-";"0,02364"
"MU";"3300233";"Armação dos Búzios (RJ)";"100,00000";"89,04155";"8,98794";"1,02547";"0,93164";"-";"0,01340"
"MU";"3300258";"Arraial do Cabo (RJ)";"100,00000";"92,67891";"4,83452";"2,44325";"0,02599";"-";"0,01733"
"MU";"3300308";"Barra do Piraí (RJ)";"100,00000";"91,75240";"1,08882";"6,99017";"0,12860";"-";"0,04001"
"MU";"3300407";"Barra Mansa (RJ)";"100,00000";"86,40165";"0,66942";"12,81126";"0,10813";"-";"0,00954"
"MU";"3300456";"Belford Roxo (RJ)";"100,00000";"88,00617";"4,27988";"7,30321";"0,36265";"-";"0,04809"
"MU";"3300506";"Bom Jardim (RJ)";"100,00000";"89,74076";"0,54238";"9,57897";"0,13789";"-";"-"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"100,00000";"93,46234";"0,73969";"5,71578";"0,02989";"-";"0,05230"
"MU";"3300704";"Cabo Frio (RJ)";"100,00000";"81,72529";"9,35926";"8,67768";"0,16460";"-";"0,07316"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"100,00000";"91,91107";"5,11116";"2,93285";"0,02246";"-";"0,02246"
