"Tabela 6909 - Moradores em domicílios particulares permanentes ocupados, por existência de canalização de água e a principal forma de abastecimento de água, segundo grupos de idade e cor ou raça"
"Variável - Moradores em domicílios particulares permanentes ocupados (Pessoas)"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Ano x Principal forma de abastecimento de água x Existência de canalização de água"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"2022"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";;;;"Rede geral de distribuição";;;;"Poço profundo ou artesiano";;;;"Poço raso, freático ou cacimba";;;;"Fonte, nascente ou mina";;;;"Carro-pipa";;;;"Água da chuva armazenada";;;;"Rios, açudes, córregos, lagos e igarapés";;;;"Outra"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Total";"1105308";"1069950";"22989";"12369";"927260";"913489";"13771";"-";"120749";"106500";"6443";"7806";"18275";"16220";"1057";"998";"23813";"22997";"426";"390";"6150";"4559";"525";"1066";"548";"321";"64";"163";"1334";"1239";"39";"56";"7179";"4625";"664";"1890"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Branca";"451885";"441822";"6543";"3520";"390266";"386388";"3878";"-";"39947";"35708";"1886";"2353";"6101";"5554";"284";"263";"11075";"10778";"151";"146";"2015";"1564";"159";"292";"169";"111";"16";"42";"512";"484";"4";"24";"1800";"1235";"165";"400"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Preta";"188576";"181100";"4808";"2668";"156571";"153624";"2947";"-";"21791";"18950";"1272";"1569";"3386";"2959";"208";"219";"3508";"3345";"89";"74";"1208";"872";"108";"228";"117";"64";"10";"43";"208";"192";"7";"9";"1787";"1094";"167";"526"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Amarela";"1614";"1578";"27";"9";"1433";"1422";"11";"-";"128";"109";"13";"6";"13";"12";"-";"1";"28";"25";"3";"-";"4";"4";"-";"-";"1";"-";"-";"1";"3";"3";"-";"-";"4";"3";"-";"1"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Parda";"462002";"444275";"11574";"6153";"377994";"371075";"6919";"-";"58744";"51612";"3266";"3866";"8751";"7673";"564";"514";"9154";"8815";"172";"167";"2914";"2112";"256";"546";"260";"145";"38";"77";"610";"559";"28";"23";"3575";"2284";"331";"960"
"UF";"33";"Rio de Janeiro";"45 a 49 anos";"Indígena";"1199";"1144";"36";"19";"965";"950";"15";"-";"139";"121";"6";"12";"24";"22";"1";"1";"48";"34";"11";"3";"9";"7";"2";"-";"1";"1";"-";"-";"1";"1";"-";"-";"12";"8";"1";"3"
"UF";"33";"Rio de Janeiro";"50 a 54 anos";"Total";"1060236";"1025926";"22192";"12118";"886180";"872794";"13386";"-";"116927";"103222";"6014";"7691";"18713";"16569";"1119";"1025";"24060";"23218";"467";"375";"5550";"4131";"431";"988";"571";"339";"69";"163";"1324";"1232";"32";"60";"6911";"4421";"674";"1816"
"UF";"33";"Rio de Janeiro";"50 a 54 anos";"Branca";"444518";"434422";"6565";"3531";"382182";"378215";"3967";"-";"39769";"35743";"1759";"2267";"6569";"5920";"340";"309";"11602";"11267";"177";"158";"1924";"1475";"137";"312";"189";"131";"20";"38";"544";"511";"11";"22";"1739";"1160";"154";"425"
"UF";"33";"Rio de Janeiro";"50 a 54 anos";"Preta";"176840";"169851";"4574";"2415";"146104";"143328";"2776";"-";"21117";"18454";"1218";"1445";"3191";"2771";"212";"208";"3414";"3258";"98";"58";"1048";"773";"80";"195";"103";"51";"12";"40";"230";"203";"11";"16";"1633";"1013";"167";"453"
"UF";"33";"Rio de Janeiro";"50 a 54 anos";"Amarela";"1438";"1399";"24";"15";"1251";"1241";"10";"-";"126";"104";"10";"12";"18";"14";"3";"1";"35";"34";"1";"-";"3";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"3";"-";"2"
"UF";"33";"Rio de Janeiro";"50 a 54 anos";"Parda";"436241";"419111";"10991";"6139";"355648";"349038";"6610";"-";"55791";"48813";"3019";"3959";"8912";"7844";"562";"506";"8975";"8630";"187";"158";"2566";"1875";"214";"477";"276";"156";"36";"84";"549";"517";"10";"22";"3524";"2238";"353";"933"
"UF";"33";"Rio de Janeiro";"50 a 54 anos";"Indígena";"1165";"1110";"37";"18";"967";"944";"23";"-";"121";"106";"7";"8";"21";"18";"2";"1";"33";"28";"4";"1";"9";"5";"-";"4";"3";"1";"1";"1";"1";"1";"-";"-";"10";"7";"-";"3"
"UF";"33";"Rio de Janeiro";"55 a 59 anos";"Total";"1008198";"976537";"20663";"10998";"847547";"835189";"12358";"-";"106312";"93765";"5710";"6837";"17863";"15860";"1043";"960";"23230";"22415";"426";"389";"5133";"3818";"407";"908";"620";"375";"68";"177";"1241";"1135";"35";"71";"6252";"3980";"616";"1656"
"UF";"33";"Rio de Janeiro";"55 a 59 anos";"Branca";"446486";"436778";"6328";"3380";"386248";"382436";"3812";"-";"37793";"33876";"1748";"2169";"6513";"5874";"320";"319";"11663";"11350";"167";"146";"1861";"1435";"123";"303";"188";"145";"10";"33";"554";"511";"11";"32";"1666";"1151";"137";"378"
"UF";"33";"Rio de Janeiro";"55 a 59 anos";"Preta";"158778";"152418";"4155";"2205";"131479";"129004";"2475";"-";"18463";"16046";"1135";"1282";"3153";"2770";"184";"199";"3086";"2926";"88";"72";"953";"673";"89";"191";"127";"65";"19";"43";"153";"140";"8";"5";"1364";"794";"157";"413"
"UF";"33";"Rio de Janeiro";"55 a 59 anos";"Amarela";"1268";"1239";"18";"11";"1135";"1122";"13";"-";"88";"75";"5";"8";"15";"14";"-";"1";"24";"24";"-";"-";"3";"2";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"3";"2";"-";"1"
"UF";"33";"Rio de Janeiro";"55 a 59 anos";"Parda";"400523";"385022";"10120";"5381";"327738";"321707";"6031";"-";"49849";"43664";"2816";"3369";"8165";"7188";"539";"438";"8423";"8086";"166";"171";"2303";"1701";"192";"410";"304";"164";"39";"101";"529";"481";"16";"32";"3212";"2031";"321";"860"
"UF";"33";"Rio de Janeiro";"55 a 59 anos";"Indígena";"1108";"1045";"42";"21";"915";"888";"27";"-";"117";"102";"6";"9";"16";"13";"-";"3";"34";"29";"5";"-";"13";"7";"3";"3";"1";"1";"-";"-";"5";"3";"-";"2";"7";"2";"1";"4"
"UF";"33";"Rio de Janeiro";"60 a 64 anos";"Total";"920523";"893181";"17580";"9762";"780186";"769702";"10484";"-";"91940";"81169";"4818";"5953";"15850";"14032";"958";"860";"20645";"19859";"411";"375";"4585";"3440";"323";"822";"567";"336";"47";"184";"1167";"1081";"29";"57";"5583";"3562";"510";"1511"
"UF";"33";"Rio de Janeiro";"60 a 64 anos";"Branca";"419903";"411328";"5534";"3041";"365596";"362327";"3269";"-";"33617";"30153";"1564";"1900";"6078";"5518";"295";"265";"10656";"10338";"161";"157";"1690";"1286";"107";"297";"207";"145";"15";"47";"496";"472";"5";"19";"1563";"1089";"118";"356"
"UF";"33";"Rio de Janeiro";"60 a 64 anos";"Preta";"141336";"135899";"3498";"1939";"118326";"116144";"2182";"-";"15425";"13482";"866";"1077";"2537";"2174";"175";"188";"2644";"2503";"74";"67";"825";"614";"58";"153";"118";"52";"13";"53";"193";"175";"7";"11";"1268";"755";"123";"390"
"UF";"33";"Rio de Janeiro";"60 a 64 anos";"Amarela";"1086";"1051";"17";"18";"926";"919";"7";"-";"111";"94";"5";"12";"12";"7";"2";"3";"27";"25";"2";"-";"3";"2";"1";"-";"2";"1";"-";"1";"2";"1";"-";"1";"3";"2";"-";"1"
"UF";"33";"Rio de Janeiro";"60 a 64 anos";"Parda";"357107";"343855";"8499";"4753";"294426";"289423";"5003";"-";"42688";"37347";"2381";"2960";"7201";"6314";"485";"402";"7279";"6961";"169";"149";"2059";"1532";"156";"371";"239";"137";"19";"83";"475";"432";"17";"26";"2740";"1709";"269";"762"
"UF";"33";"Rio de Janeiro";"60 a 64 anos";"Indígena";"1062";"1019";"32";"11";"887";"864";"23";"-";"98";"92";"2";"4";"20";"17";"1";"2";"39";"32";"5";"2";"8";"6";"1";"1";"1";"1";"-";"-";"1";"1";"-";"-";"8";"6";"-";"2"
"UF";"33";"Rio de Janeiro";"65 a 69 anos";"Total";"753946";"732661";"13661";"7624";"643336";"635176";"8160";"-";"72432";"63894";"3720";"4818";"12566";"11105";"762";"699";"16534";"15923";"313";"298";"3625";"2698";"290";"637";"455";"303";"49";"103";"940";"893";"22";"25";"4058";"2669";"345";"1044"
"UF";"33";"Rio de Janeiro";"65 a 69 anos";"Branca";"358589";"351570";"4529";"2490";"314120";"311358";"2762";"-";"27573";"24782";"1186";"1605";"4987";"4488";"257";"242";"8855";"8594";"129";"132";"1351";"1044";"90";"217";"192";"143";"14";"35";"401";"380";"10";"11";"1110";"781";"81";"248"
"UF";"33";"Rio de Janeiro";"65 a 69 anos";"Preta";"113468";"109287";"2658";"1523";"95251";"93668";"1583";"-";"12366";"10712";"736";"918";"2018";"1754";"135";"129";"1933";"1849";"46";"38";"671";"489";"60";"122";"73";"39";"10";"24";"148";"139";"6";"3";"1008";"637";"82";"289"
"UF";"33";"Rio de Janeiro";"65 a 69 anos";"Amarela";"1016";"989";"17";"10";"894";"883";"11";"-";"74";"62";"4";"8";"14";"13";"1";"-";"29";"28";"1";"-";"1";"-";"-";"1";"1";"-";"-";"1";"1";"1";"-";"-";"2";"2";"-";"-"
"UF";"33";"Rio de Janeiro";"65 a 69 anos";"Parda";"279886";"269873";"6426";"3587";"232235";"228448";"3787";"-";"32321";"28253";"1787";"2281";"5533";"4839";"367";"327";"5692";"5433";"132";"127";"1597";"1161";"140";"296";"187";"121";"25";"41";"389";"373";"6";"10";"1932";"1245";"182";"505"
"UF";"33";"Rio de Janeiro";"65 a 69 anos";"Indígena";"969";"926";"30";"13";"820";"803";"17";"-";"98";"85";"7";"6";"13";"11";"1";"1";"25";"19";"5";"1";"5";"4";"-";"1";"1";"-";"-";"1";"1";"-";"-";"1";"6";"4";"-";"2"
"UF";"33";"Rio de Janeiro";"70 a 74 anos";"Total";"557642";"543294";"9338";"5010";"480169";"474625";"5544";"-";"50667";"44806";"2608";"3253";"9272";"8277";"530";"465";"11659";"11245";"213";"201";"2340";"1787";"186";"367";"297";"192";"23";"82";"728";"679";"11";"38";"2510";"1683";"223";"604"
"UF";"33";"Rio de Janeiro";"70 a 74 anos";"Branca";"285104";"279878";"3448";"1778";"251642";"249554";"2088";"-";"20784";"18688";"945";"1151";"3862";"3516";"170";"176";"6624";"6441";"93";"90";"957";"743";"69";"145";"124";"82";"7";"35";"363";"341";"5";"17";"748";"513";"71";"164"
"UF";"33";"Rio de Janeiro";"70 a 74 anos";"Preta";"78829";"76110";"1724";"995";"66609";"65568";"1041";"-";"8268";"7172";"467";"629";"1458";"1266";"98";"94";"1358";"1297";"30";"31";"374";"275";"37";"62";"59";"37";"3";"19";"91";"86";"1";"4";"612";"409";"47";"156"
"UF";"33";"Rio de Janeiro";"70 a 74 anos";"Amarela";"1040";"1013";"22";"5";"942";"929";"13";"-";"67";"59";"4";"4";"10";"8";"1";"1";"16";"15";"1";"-";"2";"-";"2";"-";"-";"-";"-";"-";"1";"1";"-";"-";"2";"1";"1";"-"
"UF";"33";"Rio de Janeiro";"70 a 74 anos";"Parda";"191956";"185599";"4135";"2222";"160365";"157971";"2394";"-";"21492";"18837";"1192";"1463";"3926";"3472";"261";"193";"3644";"3476";"89";"79";"1001";"763";"78";"160";"114";"73";"13";"28";"272";"250";"5";"17";"1142";"757";"103";"282"
"UF";"33";"Rio de Janeiro";"70 a 74 anos";"Indígena";"689";"670";"9";"10";"590";"582";"8";"-";"55";"49";"-";"6";"16";"15";"-";"1";"15";"14";"-";"1";"6";"6";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"6";"3";"1";"2"
"UF";"33";"Rio de Janeiro";"75 a 79 anos";"Total";"351656";"343440";"5292";"2924";"305434";"302273";"3161";"-";"30214";"26799";"1504";"1911";"5469";"4903";"304";"262";"7187";"6972";"99";"116";"1360";"1028";"96";"236";"154";"103";"11";"40";"412";"392";"12";"8";"1426";"970";"105";"351"
"UF";"33";"Rio de Janeiro";"75 a 79 anos";"Branca";"192968";"189850";"1988";"1130";"171872";"170691";"1181";"-";"13153";"11826";"571";"756";"2384";"2171";"113";"100";"4258";"4141";"46";"71";"567";"447";"37";"83";"72";"48";"4";"20";"189";"184";"3";"2";"473";"342";"33";"98"
"UF";"33";"Rio de Janeiro";"75 a 79 anos";"Preta";"45571";"44011";"1014";"546";"38602";"37978";"624";"-";"4677";"4075";"267";"335";"850";"754";"54";"42";"804";"773";"13";"18";"234";"165";"19";"50";"25";"15";"3";"7";"52";"45";"4";"3";"327";"206";"30";"91"
"UF";"33";"Rio de Janeiro";"75 a 79 anos";"Amarela";"697";"688";"6";"3";"610";"607";"3";"-";"56";"50";"3";"3";"3";"3";"-";"-";"22";"22";"-";"-";"4";"4";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"1";"1";"-";"-"
"UF";"33";"Rio de Janeiro";"75 a 79 anos";"Parda";"111938";"108427";"2271";"1240";"93941";"92591";"1350";"-";"12284";"10809";"660";"815";"2222";"1967";"136";"119";"2090";"2028";"36";"26";"554";"411";"40";"103";"57";"40";"4";"13";"170";"162";"5";"3";"620";"419";"40";"161"
"UF";"33";"Rio de Janeiro";"75 a 79 anos";"Indígena";"465";"448";"12";"5";"396";"393";"3";"-";"41";"37";"2";"2";"10";"8";"1";"1";"12";"7";"4";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"5";"2";"2";"1"
"UF";"33";"Rio de Janeiro";"80 a 84 anos";"Total";"227188";"222441";"3119";"1628";"199510";"197671";"1839";"-";"18180";"16206";"883";"1091";"3303";"2986";"170";"147";"4184";"4064";"62";"58";"837";"637";"74";"126";"83";"62";"5";"16";"258";"243";"6";"9";"833";"572";"80";"181"
"UF";"33";"Rio de Janeiro";"80 a 84 anos";"Branca";"131669";"129760";"1226";"683";"118465";"117735";"730";"-";"8323";"7516";"346";"461";"1445";"1319";"65";"61";"2572";"2514";"24";"34";"384";"297";"35";"52";"36";"31";"-";"5";"151";"142";"3";"6";"293";"206";"23";"64"
"UF";"33";"Rio de Janeiro";"80 a 84 anos";"Preta";"27541";"26643";"586";"312";"23384";"23035";"349";"-";"2887";"2525";"163";"199";"498";"438";"29";"31";"424";"400";"12";"12";"120";"90";"11";"19";"13";"8";"2";"3";"26";"24";"-";"2";"189";"123";"20";"46"
"UF";"33";"Rio de Janeiro";"80 a 84 anos";"Amarela";"520";"513";"4";"3";"471";"469";"2";"-";"25";"22";"1";"2";"6";"4";"1";"1";"16";"16";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-"
"UF";"33";"Rio de Janeiro";"80 a 84 anos";"Parda";"67148";"65230";"1291";"627";"56935";"56182";"753";"-";"6914";"6116";"372";"426";"1345";"1217";"74";"54";"1163";"1129";"22";"12";"327";"244";"28";"55";"34";"23";"3";"8";"81";"77";"3";"1";"349";"242";"36";"71"
"UF";"33";"Rio de Janeiro";"80 a 84 anos";"Indígena";"299";"284";"12";"3";"245";"240";"5";"-";"30";"26";"1";"3";"9";"8";"1";"-";"9";"5";"4";"-";"5";"5";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"1";"-"
"UF";"33";"Rio de Janeiro";"85 a 89 anos";"Total";"126114";"123820";"1524";"770";"112350";"111449";"901";"-";"9023";"8068";"422";"533";"1699";"1551";"97";"51";"2149";"2073";"46";"30";"358";"279";"20";"59";"32";"25";"1";"6";"96";"92";"1";"3";"407";"283";"36";"88"
"UF";"33";"Rio de Janeiro";"85 a 89 anos";"Branca";"77180";"76252";"619";"309";"70376";"69991";"385";"-";"4254";"3878";"153";"223";"804";"749";"41";"14";"1367";"1330";"24";"13";"177";"143";"6";"28";"16";"13";"-";"3";"51";"50";"-";"1";"135";"98";"10";"27"
"UF";"33";"Rio de Janeiro";"85 a 89 anos";"Preta";"14377";"13952";"287";"138";"12365";"12194";"171";"-";"1347";"1182";"77";"88";"271";"247";"14";"10";"218";"203";"7";"8";"57";"40";"6";"11";"11";"8";"1";"2";"16";"15";"1";"-";"92";"63";"10";"19"
"UF";"33";"Rio de Janeiro";"85 a 89 anos";"Amarela";"283";"280";"2";"1";"246";"244";"2";"-";"25";"24";"-";"1";"4";"4";"-";"-";"8";"8";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"85 a 89 anos";"Parda";"34111";"33181";"614";"316";"29226";"28883";"343";"-";"3382";"2972";"191";"219";"620";"551";"42";"27";"552";"529";"14";"9";"119";"94";"8";"17";"5";"4";"-";"1";"29";"27";"-";"2";"178";"121";"16";"41"
"UF";"33";"Rio de Janeiro";"85 a 89 anos";"Indígena";"158";"150";"2";"6";"132";"132";"-";"-";"15";"12";"1";"2";"-";"-";"-";"-";"4";"3";"1";"-";"5";"2";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"2";"1";"-";"1"
"UF";"33";"Rio de Janeiro";"90 a 94 anos";"Total";"56436";"55550";"589";"297";"50835";"50491";"344";"-";"3539";"3179";"162";"198";"723";"653";"35";"35";"965";"934";"22";"9";"130";"104";"9";"17";"18";"12";"2";"4";"63";"61";"-";"2";"163";"116";"15";"32"
"UF";"33";"Rio de Janeiro";"90 a 94 anos";"Branca";"36105";"35726";"256";"123";"33260";"33103";"157";"-";"1705";"1565";"59";"81";"349";"321";"16";"12";"616";"597";"13";"6";"59";"49";"2";"8";"11";"8";"1";"2";"37";"37";"-";"-";"68";"46";"8";"14"
"UF";"33";"Rio de Janeiro";"90 a 94 anos";"Preta";"6104";"5968";"89";"47";"5311";"5255";"56";"-";"522";"470";"24";"28";"99";"89";"3";"7";"102";"100";"2";"-";"25";"18";"3";"4";"3";"1";"1";"1";"9";"9";"-";"-";"33";"26";"-";"7"
"UF";"33";"Rio de Janeiro";"90 a 94 anos";"Amarela";"112";"108";"2";"2";"92";"91";"1";"-";"11";"9";"-";"2";"5";"4";"1";"-";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"2";"2";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"90 a 94 anos";"Parda";"14024";"13665";"237";"122";"12099";"11970";"129";"-";"1289";"1125";"79";"85";"269";"238";"15";"16";"241";"235";"4";"2";"45";"37";"3";"5";"4";"3";"-";"1";"15";"13";"-";"2";"62";"44";"7";"11"
"UF";"33";"Rio de Janeiro";"90 a 94 anos";"Indígena";"90";"82";"5";"3";"72";"71";"1";"-";"12";"10";"-";"2";"1";"1";"-";"-";"4";"-";"3";"1";"1";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"95 a 99 anos";"Total";"15200";"14975";"146";"79";"13717";"13636";"81";"-";"947";"861";"34";"52";"182";"162";"14";"6";"253";"239";"10";"4";"40";"31";"4";"5";"5";"3";"-";"2";"18";"18";"-";"-";"38";"25";"3";"10"
"UF";"33";"Rio de Janeiro";"95 a 99 anos";"Branca";"9896";"9814";"50";"32";"9142";"9118";"24";"-";"465";"422";"16";"27";"84";"79";"3";"2";"166";"162";"3";"1";"17";"15";"2";"-";"1";"1";"-";"-";"8";"8";"-";"-";"13";"9";"2";"2"
"UF";"33";"Rio de Janeiro";"95 a 99 anos";"Preta";"1733";"1695";"26";"12";"1509";"1494";"15";"-";"153";"141";"6";"6";"30";"27";"2";"1";"24";"20";"2";"2";"7";"4";"1";"2";"-";"-";"-";"-";"5";"5";"-";"-";"5";"4";"-";"1"
"UF";"33";"Rio de Janeiro";"95 a 99 anos";"Amarela";"19";"19";"-";"-";"17";"17";"-";"-";"1";"1";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"95 a 99 anos";"Parda";"3532";"3432";"65";"35";"3036";"2994";"42";"-";"328";"297";"12";"19";"67";"55";"9";"3";"59";"57";"1";"1";"14";"11";"-";"3";"3";"1";"-";"2";"5";"5";"-";"-";"20";"12";"1";"7"
"UF";"33";"Rio de Janeiro";"95 a 99 anos";"Indígena";"19";"14";"5";"-";"12";"12";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"4";"-";"4";"-";"2";"1";"1";"-";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"100 anos ou mais";"Total";"2574";"2534";"25";"15";"2309";"2294";"15";"-";"153";"140";"3";"10";"56";"49";"4";"3";"35";"31";"3";"1";"14";"13";"-";"1";"-";"-";"-";"-";"2";"2";"-";"-";"5";"5";"-";"-"
"UF";"33";"Rio de Janeiro";"100 anos ou mais";"Branca";"1579";"1558";"12";"9";"1455";"1448";"7";"-";"73";"65";"2";"6";"26";"21";"3";"2";"14";"14";"-";"-";"8";"7";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"3";"3";"-";"-"
"UF";"33";"Rio de Janeiro";"100 anos ou mais";"Preta";"376";"370";"3";"3";"318";"315";"3";"-";"29";"27";"-";"2";"17";"16";"-";"1";"11";"11";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"100 anos ou mais";"Amarela";"1";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"100 anos ou mais";"Parda";"612";"603";"7";"2";"533";"528";"5";"-";"51";"48";"1";"2";"13";"12";"1";"-";"6";"6";"-";"-";"6";"6";"-";"-";"-";"-";"-";"-";"1";"1";"-";"-";"2";"2";"-";"-"
"UF";"33";"Rio de Janeiro";"100 anos ou mais";"Indígena";"5";"2";"2";"1";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"3";"-";"2";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"Fonte: IBGE - Censo Demográfico"

"Tabela 6909 - Moradores em domicílios particulares permanentes ocupados, por existência de canalização de água e a principal forma de abastecimento de água, segundo grupos de idade e cor ou raça"
"Variável - Moradores em domicílios particulares permanentes ocupados - percentual do total geral"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Ano x Principal forma de abastecimento de água x Existência de canalização de água"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"2022"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";;;;"Rede geral de distribuição";;;;"Poço profundo ou artesiano";;;;"Poço raso, freático ou cacimba";;;;"Fonte, nascente ou mina";;;;"Carro-pipa";;;;"Água da chuva armazenada";;;;"Rios, açudes, córregos, lagos e igarapés";;;;"Outra"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada";"Total";"Canalizada até dentro da casa, apartamento ou habitação";"Canalizada, mas apenas no terreno";"Sem água canalizada"
"UF";"33";"Rio de Janeiro";"Total";"Total";"100,00";"96,74";"2,14";"1,12";"84,12";"82,82";"1,30";"-";"10,71";"9,44";"0,57";"0,70";"1,65";"1,46";"0,10";"0,09";"2,11";"2,04";"0,04";"0,04";"0,54";"0,40";"0,04";"0,10";"0,05";"0,03";"0,01";"0,01";"0,12";"0,11";"0,00";"0,01";"0,69";"0,44";"0,07";"0,18"
"UF";"33";"Rio de Janeiro";"Total";"Branca";"42,01";"41,06";"0,62";"0,32";"36,35";"35,97";"0,38";"-";"3,66";"3,28";"0,17";"0,21";"0,57";"0,52";"0,03";"0,03";"1,00";"0,98";"0,01";"0,01";"0,19";"0,14";"0,01";"0,03";"0,02";"0,01";"0,00";"0,00";"0,05";"0,05";"0,00";"0,00";"0,17";"0,12";"0,02";"0,04"
"UF";"33";"Rio de Janeiro";"Total";"Preta";"16,14";"15,48";"0,43";"0,22";"13,46";"13,19";"0,27";"-";"1,84";"1,60";"0,11";"0,13";"0,28";"0,24";"0,02";"0,02";"0,28";"0,27";"0,01";"0,01";"0,10";"0,07";"0,01";"0,02";"0,01";"0,00";"0,00";"0,00";"0,02";"0,02";"0,00";"0,00";"0,16";"0,10";"0,02";"0,05"
"UF";"33";"Rio de Janeiro";"Total";"Amarela";"0,14";"0,13";"0,00";"0,00";"0,12";"0,12";"0,00";"-";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-";"0,00";"0,00";"0,00";"-";"0,00";"0,00";"0,00";"0,00";"0,00"
"UF";"33";"Rio de Janeiro";"Total";"Parda";"41,61";"39,97";"1,07";"0,57";"34,11";"33,46";"0,65";"-";"5,20";"4,55";"0,29";"0,35";"0,80";"0,70";"0,05";"0,05";"0,82";"0,79";"0,02";"0,02";"0,26";"0,19";"0,02";"0,05";"0,02";"0,01";"0,00";"0,01";"0,05";"0,05";"0,00";"0,00";"0,35";"0,22";"0,03";"0,10"
"UF";"33";"Rio de Janeiro";"Total";"Indígena";"0,10";"0,09";"0,01";"0,00";"0,08";"0,08";"0,00";"-";"0,01";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,01";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"0,00";"-";"0,00";"0,00";"0,00";"0,00";"0,00"
