"Tabela 6803 - Domicílios particulares permanentes ocupados, por existência de ligação à rede geral de distribuição de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados (Unidades)"
"Nível";"Cód.";"Município";"Ano x Existência de ligação à rede geral de distribuição de água e principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Possui ligação à rede geral e a utiliza como forma principal";"Possui ligação à rede geral, mas utiliza principalmente outra forma";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra";"Não possui ligação com a rede geral";"Não possui ligação com a rede geral - Poço profundo ou artesiano";"Não possui ligação com a rede geral - Poço raso, freático ou cacimba";"Não possui ligação com a rede geral - Fonte, nascente ou mina";"Não possui ligação com a rede geral - Carro-pipa";"Não possui ligação com a rede geral - Água da chuva armazenada";"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés";"Não possui ligação com a rede geral - Outra"
"MU";"3302007";"Itaguaí (RJ)";"42279";"34163";"2729";"2410";"81";"154";"3";"2";"26";"53";"5387";"3843";"115";"527";"4";"8";"291";"599"
"MU";"3302056";"Italva (RJ)";"5598";"4835";"71";"41";"10";"3";"14";"-";"-";"3";"692";"335";"108";"107";"109";"-";"5";"28"
"MU";"3302106";"Itaocara (RJ)";"9046";"7364";"226";"192";"21";"10";"-";"-";"-";"3";"1456";"1098";"204";"108";"7";"-";"30";"9"
"MU";"3302205";"Itaperuna (RJ)";"38479";"35384";"1056";"508";"266";"158";"5";"2";"31";"86";"2039";"919";"222";"800";"3";"1";"29";"65"
"MU";"3302254";"Itatiaia (RJ)";"11374";"10106";"749";"9";"3";"692";"21";"-";"21";"3";"519";"29";"25";"385";"50";"-";"24";"6"
"MU";"3302270";"Japeri (RJ)";"32110";"19877";"3732";"2994";"358";"34";"6";"3";"6";"331";"8501";"7042";"588";"241";"71";"18";"106";"435"
"MU";"3302304";"Laje do Muriaé (RJ)";"2728";"2084";"223";"145";"2";"75";"-";"-";"1";"-";"421";"290";"37";"87";"-";"2";"1";"4"
"MU";"3302403";"Macaé (RJ)";"92716";"75306";"4202";"2734";"73";"279";"910";"9";"47";"150";"13208";"8861";"423";"1933";"850";"26";"165";"950"
"MU";"3302452";"Macuco (RJ)";"1940";"1757";"30";"9";"-";"19";"-";"-";"-";"2";"153";"58";"4";"90";"-";"-";"-";"1"
"MU";"3302502";"Magé (RJ)";"82906";"25455";"7934";"5897";"286";"1021";"84";"28";"526";"92";"49517";"40706";"2738";"4206";"195";"121";"526";"1025"
"MU";"3302601";"Mangaratiba (RJ)";"15765";"8052";"1983";"177";"12";"1526";"2";"3";"258";"5";"5730";"555";"31";"4146";"2";"3";"909";"84"
"MU";"3302700";"Maricá (RJ)";"73454";"25870";"10542";"9431";"632";"79";"322";"30";"13";"35";"37042";"31230";"2355";"285";"2414";"355";"47";"356"
"MU";"3302809";"Mendes (RJ)";"6917";"4937";"606";"153";"337";"106";"5";"-";"1";"4";"1374";"449";"500";"297";"121";"2";"2";"3"
"MU";"3302858";"Mesquita (RJ)";"62611";"57006";"1822";"1420";"63";"76";"58";"26";"22";"157";"3783";"1894";"108";"895";"82";"16";"32";"756"
"MU";"3302908";"Miguel Pereira (RJ)";"10250";"7193";"889";"491";"324";"69";"1";"-";"3";"1";"2168";"823";"536";"746";"1";"-";"59";"3"
"MU";"3303005";"Miracema (RJ)";"9601";"8434";"280";"220";"40";"15";"-";"-";"-";"5";"887";"649";"58";"167";"-";"-";"-";"13"
"MU";"3303104";"Natividade (RJ)";"5691";"4647";"189";"139";"15";"24";"8";"-";"3";"-";"855";"430";"24";"351";"1";"2";"39";"8"
"MU";"3303203";"Nilópolis (RJ)";"57005";"52446";"1988";"1832";"47";"25";"24";"2";"2";"56";"2571";"2376";"39";"9";"21";"3";"1";"122"
"MU";"3303302";"Niterói (RJ)";"194492";"190529";"1556";"1072";"186";"38";"151";"18";"13";"78";"2407";"1691";"237";"56";"147";"20";"3";"253"
"MU";"3303401";"Nova Friburgo (RJ)";"76597";"59825";"2861";"1364";"81";"1382";"4";"6";"7";"17";"13911";"3736";"323";"9750";"27";"15";"35";"25"
"MU";"3303500";"Nova Iguaçu (RJ)";"287615";"195171";"29527";"25364";"1344";"185";"1077";"44";"114";"1399";"62917";"54167";"3386";"625";"1281";"160";"44";"3254"
"MU";"3303609";"Paracambi (RJ)";"16107";"9708";"1527";"1250";"137";"114";"8";"1";"10";"7";"4872";"3489";"247";"1042";"4";"7";"9";"74"
"MU";"3303708";"Paraíba do Sul (RJ)";"15203";"13805";"239";"89";"70";"66";"3";"-";"8";"3";"1159";"346";"169";"595";"13";"4";"19";"13"
"MU";"3303807";"Paraty (RJ)";"16138";"10244";"2580";"8";"5";"2458";"1";"-";"18";"90";"3314";"55";"30";"3174";"2";"5";"27";"21"
"MU";"3303856";"Paty do Alferes (RJ)";"10881";"6592";"415";"170";"176";"50";"15";"-";"1";"3";"3874";"783";"1473";"1587";"6";"4";"2";"19"
"MU";"3303906";"Petrópolis (RJ)";"108238";"78945";"9762";"2810";"900";"5922";"49";"11";"39";"31";"19531";"5104";"1978";"12003";"126";"33";"218";"69"
"MU";"3303955";"Pinheiral (RJ)";"8814";"8107";"255";"193";"26";"31";"-";"1";"-";"4";"452";"233";"57";"139";"1";"1";"-";"21"
"MU";"3304003";"Piraí (RJ)";"10089";"8760";"124";"45";"39";"28";"6";"-";"3";"3";"1205";"464";"195";"475";"35";"1";"13";"22"
"MU";"3304102";"Porciúncula (RJ)";"6421";"5040";"160";"99";"15";"41";"-";"1";"3";"1";"1221";"414";"127";"667";"2";"1";"9";"1"
"MU";"3304110";"Porto Real (RJ)";"7187";"7075";"52";"32";"15";"3";"-";"-";"-";"2";"60";"20";"24";"10";"2";"-";"-";"4"
"MU";"3304128";"Quatis (RJ)";"5035";"4348";"196";"106";"78";"10";"-";"1";"1";"-";"491";"134";"101";"203";"4";"2";"42";"5"
"MU";"3304144";"Queimados (RJ)";"51217";"39663";"4550";"3579";"763";"63";"27";"2";"2";"114";"7004";"5130";"1231";"118";"115";"15";"5";"390"
"MU";"3304151";"Quissamã (RJ)";"8099";"5847";"285";"157";"107";"2";"17";"-";"2";"-";"1967";"1061";"601";"11";"267";"1";"-";"26"
"MU";"3304201";"Resende (RJ)";"48207";"46283";"276";"31";"15";"193";"16";"2";"6";"13";"1648";"155";"63";"1124";"37";"1";"232";"36"
"MU";"3304300";"Rio Bonito (RJ)";"21187";"10469";"2245";"2001";"77";"152";"3";"2";"9";"1";"8473";"6256";"623";"1352";"14";"4";"160";"64"
"MU";"3304409";"Rio Claro (RJ)";"6415";"4759";"249";"69";"10";"163";"-";"-";"6";"1";"1407";"230";"146";"983";"-";"-";"44";"4"
"MU";"3304508";"Rio das Flores (RJ)";"3122";"2664";"114";"46";"-";"64";"1";"-";"1";"2";"344";"96";"13";"228";"3";"-";"4";"-"
"MU";"3304524";"Rio das Ostras (RJ)";"59069";"38026";"6116";"3906";"253";"8";"1862";"33";"4";"50";"14927";"10475";"1340";"32";"2793";"117";"2";"168"
"MU";"3304557";"Rio de Janeiro (RJ)";"2436971";"2396945";"15520";"6951";"458";"2959";"390";"156";"473";"4133";"24506";"11983";"909";"6572";"589";"223";"534";"3696"
"MU";"3304607";"Santa Maria Madalena (RJ)";"3989";"2074";"406";"61";"54";"291";"-";"-";"-";"-";"1509";"224";"206";"1016";"-";"1";"54";"8"
"MU";"3304706";"Santo Antônio de Pádua (RJ)";"15817";"13760";"331";"205";"47";"73";"2";"-";"2";"2";"1726";"780";"300";"603";"6";"1";"13";"23"
"MU";"3304755";"São Francisco de Itabapoana (RJ)";"17278";"3895";"1224";"460";"747";"5";"1";"1";"1";"9";"12159";"3979";"7874";"38";"3";"1";"5";"259"
"MU";"3304805";"São Fidélis (RJ)";"14908";"11976";"138";"40";"8";"36";"-";"1";"15";"38";"2794";"1261";"162";"1076";"14";"4";"196";"81"
"MU";"3304904";"São Gonçalo (RJ)";"358103";"302847";"20139";"14181";"2145";"70";"1390";"74";"64";"2215";"35117";"21220";"3866";"155";"4037";"338";"27";"5474"
"MU";"3305000";"São João da Barra (RJ)";"14464";"11112";"1359";"442";"893";"6";"17";"-";"-";"1";"1993";"1096";"824";"11";"53";"-";"2";"7"
"MU";"3305109";"São João de Meriti (RJ)";"168771";"154579";"5321";"4483";"305";"28";"95";"12";"23";"375";"8871";"6726";"290";"23";"278";"48";"3";"1503"
"MU";"3305133";"São José de Ubá (RJ)";"2682";"1610";"164";"61";"85";"17";"1";"-";"-";"-";"908";"159";"535";"211";"2";"-";"-";"1"
"MU";"3305158";"São José do Vale do Rio Preto (RJ)";"8263";"4368";"667";"481";"16";"165";"2";"-";"1";"2";"3228";"1976";"69";"1172";"1";"1";"7";"2"
"MU";"3305208";"São Pedro da Aldeia (RJ)";"38338";"36543";"350";"126";"14";"6";"151";"3";"-";"50";"1445";"473";"26";"10";"712";"43";"2";"179"
"MU";"3305307";"São Sebastião do Alto (RJ)";"2926";"1552";"64";"54";"3";"7";"-";"-";"-";"-";"1310";"812";"42";"430";"-";"-";"15";"11"
"MU";"3305406";"Sapucaia (RJ)";"6693";"4944";"100";"47";"8";"35";"3";"-";"5";"2";"1649";"689";"76";"806";"2";"1";"65";"10"
"MU";"3305505";"Saquarema (RJ)";"34117";"17186";"3709";"3111";"155";"33";"351";"39";"-";"20";"13222";"11126";"578";"259";"987";"152";"23";"97"
"MU";"3305554";"Seropédica (RJ)";"29321";"28168";"238";"169";"20";"4";"10";"4";"4";"27";"915";"614";"73";"78";"30";"11";"6";"103"
"MU";"3305604";"Silva Jardim (RJ)";"7887";"3226";"1062";"939";"35";"86";"-";"-";"-";"2";"3599";"2543";"372";"656";"-";"1";"7";"20"
"MU";"3305703";"Sumidouro (RJ)";"5889";"1605";"258";"126";"2";"130";"-";"-";"-";"-";"4026";"1381";"177";"2454";"3";"-";"9";"2"
"MU";"3305752";"Tanguá (RJ)";"11548";"4919";"1948";"1153";"697";"54";"26";"-";"8";"10";"4681";"2183";"2127";"183";"108";"4";"44";"32"
"MU";"3305802";"Teresópolis (RJ)";"64415";"45078";"3238";"1250";"62";"1887";"7";"3";"11";"18";"16099";"5793";"323";"9873";"13";"12";"16";"69"
"MU";"3305901";"Trajano de Moraes (RJ)";"3895";"1558";"186";"22";"3";"155";"4";"-";"2";"-";"2151";"158";"16";"1932";"3";"1";"41";"-"
"MU";"3306008";"Três Rios (RJ)";"28427";"27057";"365";"182";"52";"89";"3";"-";"6";"33";"1005";"385";"200";"377";"14";"1";"4";"24"
"MU";"3306107";"Valença (RJ)";"25919";"21177";"1128";"586";"252";"254";"11";"-";"21";"4";"3614";"935";"614";"1914";"3";"2";"129";"17"
"MU";"3306156";"Varre-Sai (RJ)";"3627";"1422";"345";"136";"95";"37";"77";"-";"-";"-";"1860";"519";"527";"755";"53";"-";"5";"1"
"MU";"3306206";"Vassouras (RJ)";"12879";"10645";"597";"303";"87";"192";"1";"-";"12";"2";"1637";"664";"378";"500";"3";"1";"8";"83"
"MU";"3306305";"Volta Redonda (RJ)";"97991";"97180";"284";"142";"38";"77";"2";"2";"5";"18";"527";"230";"58";"182";"3";"7";"6";"41"
"Fonte: IBGE - Censo Demográfico"

"Tabela 6803 - Domicílios particulares permanentes ocupados, por existência de ligação à rede geral de distribuição de água e principal forma de abastecimento de água"
"Variável - Domicílios particulares permanentes ocupados - percentual do total geral"
"Nível";"Cód.";"Município";"Ano x Existência de ligação à rede geral de distribuição de água e principal forma de abastecimento de água"
"Nível";"Cód.";"Município";"2022"
"Nível";"Cód.";"Município";"Total";"Possui ligação à rede geral e a utiliza como forma principal";"Possui ligação à rede geral, mas utiliza principalmente outra forma";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço profundo ou artesiano";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Poço raso, freático ou cacimba";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Fonte, nascente ou mina";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Carro-pipa";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Água da chuva armazenada";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Rios, açudes, córregos, lagos e igarapés";"Possui ligação à rede geral, mas utiliza principalmente outra forma - Outra";"Não possui ligação com a rede geral";"Não possui ligação com a rede geral - Poço profundo ou artesiano";"Não possui ligação com a rede geral - Poço raso, freático ou cacimba";"Não possui ligação com a rede geral - Fonte, nascente ou mina";"Não possui ligação com a rede geral - Carro-pipa";"Não possui ligação com a rede geral - Água da chuva armazenada";"Não possui ligação com a rede geral - Rios, açudes, córregos, lagos e igarapés";"Não possui ligação com a rede geral - Outra"
"MU";"3300100";"Angra dos Reis (RJ)";"100,00000";"87,74104";"3,57338";"0,38953";"0,02897";"2,90861";"0,00161";"0,00483";"0,11106";"0,12877";"8,68557";"0,54084";"0,08048";"7,79223";"0,00966";"0,01288";"0,13199";"0,11750"
"MU";"3300159";"Aperibé (RJ)";"100,00000";"86,77896";"3,25335";"2,69958";"0,53069";"-";"-";"-";"-";"0,02307";"9,96770";"8,21412";"1,08445";"0,59991";"-";"-";"-";"0,06922"
"MU";"3300209";"Araruama (RJ)";"100,00000";"95,18320";"1,11540";"0,57328";"0,16617";"0,05816";"0,12047";"0,02493";"0,00208";"0,17032";"3,70140";"2,01479";"1,11748";"0,17655";"0,18071";"0,03531";"0,01039";"0,16617"
"MU";"3300225";"Areal (RJ)";"100,00000";"71,16521";"4,18341";"1,32356";"0,54361";"2,22170";"-";"0,02364";"0,04727";"0,02364";"24,65138";"6,68873";"4,86883";"12,17206";"0,16545";"-";"0,70905";"0,04727"
"MU";"3300233";"Armação dos Búzios (RJ)";"100,00000";"94,41019";"1,89008";"0,81099";"0,08043";"0,01340";"0,75067";"0,02011";"0,01340";"0,20107";"3,69973";"1,47453";"0,10054";"0,06702";"1,57507";"0,04021";"0,00670";"0,43566"
"MU";"3300258";"Arraial do Cabo (RJ)";"100,00000";"78,59990";"6,31606";"6,16011";"0,06065";"0,00866";"-";"-";"-";"0,08664";"15,08404";"12,77075";"0,23393";"0,26858";"1,50754";"0,08664";"0,00866";"0,20794"
"MU";"3300308";"Barra do Piraí (RJ)";"100,00000";"80,63843";"9,29641";"3,15215";"4,66107";"0,73731";"0,67730";"0,00572";"0,02000";"0,04287";"10,06516";"3,22074";"3,36077";"2,32053";"1,00880";"0,01143";"0,05716";"0,08573"
"MU";"3300407";"Barra Mansa (RJ)";"100,00000";"93,49658";"2,54253";"1,46287";"0,65511";"0,34505";"0,03180";"0,00318";"0,03021";"0,01431";"3,96088";"1,96693";"0,75529";"1,01606";"0,06996";"0,05565";"0,04770";"0,04929"
"MU";"3300456";"Belford Roxo (RJ)";"100,00000";"74,24113";"6,59340";"6,10637";"0,18243";"0,01382";"0,02930";"0,00885";"0,01824";"0,23439";"19,16547";"16,94593";"0,52738";"0,10282";"0,11664";"0,04091";"0,01050";"1,42128"
"MU";"3300506";"Bom Jardim (RJ)";"100,00000";"57,80474";"4,76190";"2,98768";"0,15628";"1,57198";"0,02758";"-";"0,01839";"-";"37,43335";"10,34197";"1,85696";"24,94944";"0,20224";"-";"0,07354";"0,00919"
"MU";"3300605";"Bom Jesus do Itabapoana (RJ)";"100,00000";"86,87238";"2,57770";"2,06964";"0,23162";"0,17185";"0,02989";"-";"0,00747";"0,06724";"10,54991";"4,20652";"0,82188";"5,17782";"0,18679";"0,00747";"0,06724";"0,08219"
"MU";"3300704";"Cabo Frio (RJ)";"100,00000";"87,16089";"5,55020";"4,57112";"0,17436";"0,01585";"0,57185";"0,01585";"-";"0,20118";"7,28891";"4,74913";"0,66451";"0,04633";"1,29367";"0,07072";"0,00854";"0,45601"
"MU";"3300803";"Cachoeiras de Macacu (RJ)";"100,00000";"75,46822";"2,74422";"1,08691";"0,13474";"1,46867";"-";"0,00898";"0,02246";"0,02246";"21,78756";"8,68179";"1,75612";"11,17000";"0,01797";"0,00898";"0,03144";"0,12127"
"MU";"3300902";"Cambuci (RJ)";"100,00000";"73,56441";"1,93137";"1,25884";"0,24142";"0,37938";"-";"-";"0,05173";"-";"24,50422";"10,22590";"3,56958";"9,82928";"0,01724";"-";"0,13795";"0,72426"
"MU";"3300936";"Carapebus (RJ)";"100,00000";"23,36114";"7,40961";"2,62217";"4,48947";"0,01986";"0,25824";"-";"-";"0,01986";"69,22924";"23,48033";"40,90187";"0,29797";"4,15177";"0,01986";"0,03973";"0,33770"
"MU";"3300951";"Comendador Levy Gasparian (RJ)";"100,00000";"94,22886";"1,39303";"0,56385";"0,03317";"0,66335";"0,03317";"0,06633";"0,03317";"-";"4,37811";"1,49254";"0,16584";"2,45439";"-";"-";"0,16584";"0,09950"
"MU";"3301009";"Campos dos Goytacazes (RJ)";"100,00000";"81,00646";"4,29773";"3,05843";"1,11014";"0,01992";"0,00967";"0,00228";"0,00398";"0,09332";"14,69581";"8,13968";"5,71001";"0,30556";"0,14339";"0,01309";"0,06885";"0,31523"
"MU";"3301108";"Cantagalo (RJ)";"100,00000";"81,08108";"1,48168";"0,72712";"0,06860";"0,67225";"-";"-";"-";"0,01372";"17,43723";"6,88709";"0,31554";"9,48004";"0,04116";"0,05488";"0,54877";"0,10975"
"MU";"3301157";"Cardoso Moreira (RJ)";"100,00000";"72,35707";"1,92578";"1,32397";"0,14042";"0,36108";"0,04012";"-";"0,04012";"0,02006";"25,71715";"14,94483";"5,79739";"4,39318";"0,34102";"-";"0,06018";"0,18054"
"MU";"3301207";"Carmo (RJ)";"100,00000";"91,62053";"1,78064";"1,06240";"0,07482";"0,47883";"-";"-";"0,02993";"0,13467";"6,59883";"1,24196";"0,34416";"4,86309";"-";"-";"-";"0,14963"
"MU";"3301306";"Casimiro de Abreu (RJ)";"100,00000";"87,98131";"2,10564";"1,20069";"0,13012";"0,31348";"0,21884";"0,07098";"0,00591";"0,16561";"9,91305";"5,09848";"0,75708";"2,76217";"0,37854";"0,28982";"0,02957";"0,59739"
"MU";"3301405";"Conceição de Macabu (RJ)";"100,00000";"44,67789";"29,62916";"24,97152";"4,21466";"0,32907";"0,06328";"0,01266";"-";"0,03797";"25,69295";"15,08670";"6,32831";"4,10075";"0,03797";"-";"0,05063";"0,08860"
"MU";"3301504";"Cordeiro (RJ)";"100,00000";"94,71039";"0,79156";"0,11308";"0,01256";"0,62822";"-";"-";"0,01256";"0,02513";"4,49805";"1,23131";"0,11308";"3,01545";"0,01256";"0,02513";"-";"0,10052"
"MU";"3301603";"Duas Barras (RJ)";"100,00000";"70,34450";"7,03445";"2,04770";"0,07227";"4,84221";"0,02409";"-";"0,04818";"-";"22,62106";"5,15538";"0,40954";"16,76704";"0,16863";"-";"0,07227";"0,04818"
"MU";"3301702";"Duque de Caxias (RJ)";"100,00000";"59,29331";"9,83111";"8,71927";"0,46198";"0,04898";"0,34791";"0,01275";"0,00705";"0,23317";"30,87558";"27,03983";"1,80465";"0,41031";"0,56800";"0,08119";"0,02986";"0,94174"
"MU";"3301801";"Engenheiro Paulo de Frontin (RJ)";"100,00000";"49,61386";"9,01691";"3,48570";"3,61094";"1,77416";"-";"0,02087";"0,04174";"0,08349";"41,36923";"17,38677";"12,87831";"10,66583";"0,02087";"0,04174";"0,35483";"0,02087"
"MU";"3301850";"Guapimirim (RJ)";"100,00000";"63,53660";"3,87609";"2,49216";"0,63791";"0,62169";"0,01081";"0,01081";"0,03784";"0,06487";"32,58731";"21,74830";"2,67596";"6,34663";"0,16218";"0,05406";"0,31355";"1,28663"
"MU";"3301876";"Iguaba Grande (RJ)";"100,00000";"96,60590";"0,90186";"0,21334";"0,01939";"0,17455";"0,33941";"0,04849";"0,05818";"0,04849";"2,49224";"0,54306";"0,11637";"0,16486";"1,37704";"0,05818";"0,02909";"0,20365"
"MU";"3301900";"Itaboraí (RJ)";"100,00000";"25,24023";"9,95103";"7,32352";"2,20595";"0,01732";"0,28412";"0,01270";"0,00577";"0,10164";"64,80874";"46,26374";"13,58565";"0,13397";"2,33415";"0,17440";"0,20789";"2,10893"
"MU";"3302007";"Itaguaí (RJ)";"100,00000";"80,80371";"6,45474";"5,70023";"0,19158";"0,36425";"0,00710";"0,00473";"0,06150";"0,12536";"12,74155";"9,08962";"0,27200";"1,24648";"0,00946";"0,01892";"0,68828";"1,41678"
"MU";"3302056";"Italva (RJ)";"100,00000";"86,37013";"1,26831";"0,73240";"0,17864";"0,05359";"0,25009";"-";"-";"0,05359";"12,36156";"5,98428";"1,92926";"1,91140";"1,94712";"-";"0,08932";"0,50018"
"MU";"3302106";"Itaocara (RJ)";"100,00000";"81,40615";"2,49834";"2,12249";"0,23215";"0,11055";"-";"-";"-";"0,03316";"16,09551";"12,13796";"2,25514";"1,19390";"0,07738";"-";"0,33164";"0,09949"
"MU";"3302205";"Itaperuna (RJ)";"100,00000";"91,95665";"2,74435";"1,32020";"0,69129";"0,41061";"0,01299";"0,00520";"0,08056";"0,22350";"5,29899";"2,38832";"0,57694";"2,07906";"0,00780";"0,00260";"0,07537";"0,16892"
