"Tabela 9397 - Moradores em domicílios particulares permanentes ocupados, por existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio e por tipo de esgotamento sanitário, segundo grupos de idade e cor ou raça"
"Variável - Moradores em domicílios particulares permanentes ocupados (Pessoas)"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Ano x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de esgotamento sanitário"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"2022"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 1 banheiro";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 2 banheiros";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 3 banheiros";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais";;;;;;;;;;"Apenas banheiro de uso comum a mais de um domicílio";;;;;;;;;;"Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno";;;;;;;;;;"Não tinham banheiro nem sanitário"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Preta";"140299";"115183";"105082";"10101";"8561";"4987";"6401";"4401";"723";"43";"139941";"115034";"104949";"10085";"8530";"4928";"6364";"4379";"706";"-";"110013";"89957";"82223";"7734";"6280";"4113";"5383";"3670";"610";"-";"24298";"20360";"18493";"1867";"1717";"682";"855";"605";"79";"-";"4356";"3687";"3322";"365";"381";"100";"100";"75";"13";"-";"1274";"1030";"911";"119";"152";"33";"26";"29";"4";"-";"163";"97";"87";"10";"15";"20";"16";"5";"10";"-";"152";"52";"46";"6";"16";"39";"21";"17";"7";"-";"43";"-";"-";"-";"-";"-";"-";"-";"-";"43"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Amarela";"1065";"941";"872";"69";"68";"18";"21";"13";"4";"-";"1062";"938";"869";"69";"68";"18";"21";"13";"4";"-";"482";"417";"381";"36";"28";"10";"14";"10";"3";"-";"361";"324";"304";"20";"20";"8";"5";"3";"1";"-";"141";"127";"119";"8";"12";"-";"2";"-";"-";"-";"78";"70";"65";"5";"8";"-";"-";"-";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"2";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Parda";"456608";"367365";"331313";"36052";"33941";"17973";"20450";"14522";"2290";"67";"455833";"367042";"331027";"36015";"33871";"17859";"20351";"14452";"2258";"-";"343873";"274974";"248809";"26165";"23748";"14498";"17020";"11794";"1839";"-";"89040";"72948";"65157";"7791";"7764";"2832";"2849";"2299";"348";"-";"17479";"14634";"13121";"1513";"1719";"392";"403";"280";"51";"-";"5441";"4486";"3940";"546";"640";"137";"79";"79";"20";"-";"414";"241";"218";"23";"46";"40";"47";"19";"21";"-";"294";"82";"68";"14";"24";"74";"52";"51";"11";"-";"67";"-";"-";"-";"-";"-";"-";"-";"-";"67"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Indígena";"681";"440";"397";"43";"99";"92";"13";"21";"7";"9";"638";"440";"397";"43";"83";"79";"13";"21";"2";"-";"452";"305";"276";"29";"56";"62";"11";"16";"2";"-";"123";"89";"83";"6";"20";"8";"2";"4";"-";"-";"51";"37";"30";"7";"6";"8";"-";"-";"-";"-";"12";"9";"8";"1";"1";"1";"-";"1";"-";"-";"26";"-";"-";"-";"16";"10";"-";"-";"-";"-";"8";"-";"-";"-";"-";"3";"-";"-";"5";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"9"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Total";"1009836";"830372";"754151";"76221";"71331";"34427";"38420";"30837";"4288";"161";"1008276";"829685";"753536";"76149";"71200";"34219";"38265";"30704";"4203";"-";"684677";"556269";"505778";"50491";"44414";"26288";"30774";"23751";"3181";"-";"235448";"196739";"177679";"19060";"19171";"6517";"6424";"5828";"769";"-";"63191";"55035";"50404";"4631";"5175";"1054";"862";"882";"183";"-";"24960";"21642";"19675";"1967";"2440";"360";"205";"243";"70";"-";"855";"521";"478";"43";"87";"88";"71";"40";"48";"-";"544";"166";"137";"29";"44";"120";"84";"93";"37";"-";"161";"-";"-";"-";"-";"-";"-";"-";"-";"161"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Branca";"379447";"318002";"290053";"27949";"27800";"11206";"10531";"10579";"1293";"36";"379148";"317856";"289919";"27937";"27780";"11175";"10501";"10556";"1280";"-";"216557";"177461";"161521";"15940";"14675";"7945";"8020";"7632";"824";"-";"106595";"90556";"82354";"8202";"8743";"2547";"2063";"2365";"321";"-";"38588";"34408";"31890";"2518";"2815";"511";"335";"431";"88";"-";"17408";"15431";"14154";"1277";"1547";"172";"83";"128";"47";"-";"161";"108";"102";"6";"12";"12";"16";"4";"9";"-";"102";"38";"32";"6";"8";"19";"14";"19";"4";"-";"36";"-";"-";"-";"-";"-";"-";"-";"-";"36"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Preta";"169516";"139685";"127356";"12329";"10043";"5847";"7503";"5569";"835";"34";"169073";"139484";"127175";"12309";"10016";"5783";"7449";"5533";"808";"-";"129969";"106657";"97443";"9214";"7251";"4699";"6162";"4526";"674";"-";"31891";"26718";"24174";"2544";"2147";"929";"1127";"866";"104";"-";"5539";"4718";"4286";"432";"449";"119";"120";"109";"24";"-";"1674";"1391";"1272";"119";"169";"36";"40";"32";"6";"-";"211";"144";"132";"12";"10";"18";"17";"10";"12";"-";"198";"57";"49";"8";"17";"46";"37";"26";"15";"-";"34";"-";"-";"-";"-";"-";"-";"-";"-";"34"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Amarela";"1093";"951";"891";"60";"63";"28";"29";"17";"5";"-";"1093";"951";"891";"60";"63";"28";"29";"17";"5";"-";"543";"455";"419";"36";"28";"17";"26";"14";"3";"-";"344";"312";"294";"18";"18";"9";"1";"3";"1";"-";"135";"128";"124";"4";"4";"2";"1";"-";"-";"-";"71";"56";"54";"2";"13";"-";"1";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Parda";"458987";"371196";"335369";"35827";"33331";"17243";"20334";"14658";"2143";"82";"458232";"370858";"335071";"35787";"33266";"17157";"20263";"14584";"2104";"-";"337098";"271332";"246064";"25268";"22409";"13565";"16546";"11571";"1675";"-";"96468";"79042";"70760";"8282";"8244";"3021";"3230";"2589";"342";"-";"18879";"15740";"14069";"1671";"1902";"419";"406";"341";"71";"-";"5787";"4744";"4178";"566";"711";"152";"81";"83";"16";"-";"437";"268";"243";"25";"46";"35";"38";"26";"24";"-";"236";"70";"55";"15";"19";"51";"33";"48";"15";"-";"82";"-";"-";"-";"-";"-";"-";"-";"-";"82"
"UF";"33";"Rio de Janeiro";"15 a 19 anos";"Indígena";"772";"521";"468";"53";"91";"102";"23";"14";"12";"9";"709";"519";"466";"53";"72";"75";"23";"14";"6";"-";"498";"354";"322";"32";"49";"62";"20";"8";"5";"-";"143";"106";"94";"12";"18";"10";"3";"5";"1";"-";"48";"39";"33";"6";"5";"3";"-";"1";"-";"-";"20";"20";"17";"3";"-";"-";"-";"-";"-";"-";"46";"1";"1";"-";"19";"23";"-";"-";"3";"-";"8";"1";"1";"-";"-";"4";"-";"-";"3";"-";"9";"-";"-";"-";"-";"-";"-";"-";"-";"9"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Total";"1140370";"951110";"867986";"83124";"72440";"35463";"42390";"34068";"4704";"195";"1138490";"950205";"867190";"83015";"72284";"35258";"42199";"33942";"4602";"-";"793187";"653554";"597059";"56495";"47107";"27751";"34482";"26714";"3579";"-";"252868";"215338";"195636";"19702";"17978";"6157";"6587";"6036";"772";"-";"66931";"59100";"54282";"4818";"4861";"978";"889";"931";"172";"-";"25504";"22213";"20213";"2000";"2338";"372";"241";"261";"79";"-";"1197";"759";"673";"86";"117";"105";"100";"51";"65";"-";"488";"146";"123";"23";"39";"100";"91";"75";"37";"-";"195";"-";"-";"-";"-";"-";"-";"-";"-";"195"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Branca";"434383";"369287";"339093";"30194";"28176";"11758";"11777";"11889";"1453";"43";"434001";"369086";"338917";"30169";"28144";"11714";"11749";"11870";"1438";"-";"259862";"216455";"198536";"17919";"15888";"8625";"9167";"8767";"960";"-";"116110";"100569";"92217";"8352";"8099";"2432";"2161";"2515";"334";"-";"40577";"36584";"34018";"2566";"2662";"458";"332";"451";"90";"-";"17452";"15478";"14146";"1332";"1495";"199";"89";"137";"54";"-";"271";"174";"152";"22";"26";"28";"18";"11";"14";"-";"68";"27";"24";"3";"6";"16";"10";"8";"1";"-";"43";"-";"-";"-";"-";"-";"-";"-";"-";"43"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Preta";"209069";"173751";"158571";"15180";"11342";"6655";"9630";"6629";"989";"73";"208459";"173463";"158319";"15144";"11303";"6591";"9559";"6591";"952";"-";"162724";"134542";"123046";"11496";"8365";"5413";"8133";"5460";"811";"-";"37158";"31507";"28548";"2959";"2319";"1006";"1219";"986";"121";"-";"6596";"5711";"5168";"543";"469";"133";"163";"104";"16";"-";"1981";"1703";"1557";"146";"150";"39";"44";"41";"4";"-";"360";"232";"206";"26";"22";"28";"36";"19";"23";"-";"177";"56";"46";"10";"17";"36";"35";"19";"14";"-";"73";"-";"-";"-";"-";"-";"-";"-";"-";"73"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Amarela";"1383";"1237";"1140";"97";"49";"33";"36";"21";"7";"-";"1383";"1237";"1140";"97";"49";"33";"36";"21";"7";"-";"730";"626";"576";"50";"28";"21";"33";"17";"5";"-";"419";"386";"364";"22";"14";"11";"2";"4";"2";"-";"164";"158";"139";"19";"4";"1";"1";"-";"-";"-";"70";"67";"61";"6";"3";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Parda";"494577";"406102";"368527";"37575";"32781";"16941";"20923";"15512";"2244";"74";"493739";"405691";"368161";"37530";"32720";"16856";"20831";"15443";"2198";"-";"369236";"301433";"274454";"26979";"22780";"13638";"17131";"12458";"1796";"-";"98983";"82708";"74353";"8355";"7531";"2703";"3199";"2527";"315";"-";"19541";"16606";"14923";"1683";"1719";"382";"393";"375";"66";"-";"5979";"4944";"4431";"513";"690";"133";"108";"83";"21";"-";"525";"348";"313";"35";"45";"39";"46";"21";"26";"-";"239";"63";"53";"10";"16";"46";"46";"48";"20";"-";"74";"-";"-";"-";"-";"-";"-";"-";"-";"74"
"UF";"33";"Rio de Janeiro";"20 a 24 anos";"Indígena";"927";"705";"629";"76";"92";"75";"23";"16";"11";"5";"877";"700";"627";"73";"68";"63";"23";"16";"7";"-";"619";"482";"432";"50";"46";"54";"18";"12";"7";"-";"187";"160";"147";"13";"15";"4";"5";"3";"-";"-";"53";"41";"34";"7";"7";"4";"-";"1";"-";"-";"18";"17";"14";"3";"-";"1";"-";"-";"-";"-";"41";"5";"2";"3";"24";"10";"-";"-";"2";"-";"4";"-";"-";"-";"-";"2";"-";"-";"2";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"5"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Total";"1151010";"968671";"885155";"83516";"71550";"34471";"39826";"31993";"4336";"163";"1149327";"967855";"884422";"83433";"71415";"34273";"39655";"31887";"4242";"-";"822249";"683819";"624295";"59524";"48594";"27680";"33176";"25626";"3354";"-";"244476";"211030";"193094";"17936";"16608";"5395";"5524";"5223";"696";"-";"60863";"54143";"49924";"4219";"4137";"870";"770";"821";"122";"-";"21739";"18863";"17109";"1754";"2076";"328";"185";"217";"70";"-";"1113";"685";"619";"66";"106";"109";"104";"49";"60";"-";"407";"131";"114";"17";"29";"89";"67";"57";"34";"-";"163";"-";"-";"-";"-";"-";"-";"-";"-";"163"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Branca";"442163";"379657";"350016";"29641";"27931";"11360";"10906";"10996";"1285";"28";"441867";"379498";"349868";"29630";"27914";"11331";"10879";"10979";"1266";"-";"273885";"230725";"211993";"18732";"16695";"8563";"8779";"8245";"878";"-";"116688";"102532";"94916";"7616";"7674";"2229";"1759";"2212";"282";"-";"36983";"33603";"31396";"2207";"2263";"374";"272";"407";"64";"-";"14311";"12638";"11563";"1075";"1282";"165";"69";"115";"42";"-";"193";"137";"128";"9";"10";"13";"18";"3";"12";"-";"75";"22";"20";"2";"7";"16";"9";"14";"7";"-";"28";"-";"-";"-";"-";"-";"-";"-";"-";"28"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Preta";"215476";"180333";"164329";"16004";"11784";"6809";"9015";"6537";"935";"63";"214923";"180079";"164107";"15972";"11745";"6734";"8954";"6503";"908";"-";"171079";"142244";"129748";"12496";"9061";"5734";"7694";"5568";"778";"-";"35577";"30635";"27828";"2807";"2094";"843";"1104";"792";"109";"-";"6352";"5576";"5093";"483";"407";"117";"125";"113";"14";"-";"1915";"1624";"1438";"186";"183";"40";"31";"30";"7";"-";"358";"212";"185";"27";"33";"41";"35";"19";"18";"-";"132";"42";"37";"5";"6";"34";"26";"15";"9";"-";"63";"-";"-";"-";"-";"-";"-";"-";"-";"63"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Amarela";"1473";"1323";"1211";"112";"65";"31";"24";"24";"6";"-";"1471";"1322";"1210";"112";"65";"30";"24";"24";"6";"-";"840";"738";"665";"73";"40";"17";"20";"21";"4";"-";"404";"372";"347";"25";"15";"9";"3";"3";"2";"-";"159";"148";"136";"12";"7";"4";"-";"-";"-";"-";"68";"64";"62";"2";"3";"-";"1";"-";"-";"-";"2";"1";"1";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Parda";"490703";"406412";"368734";"37678";"31658";"16202";"19849";"14407";"2105";"70";"489907";"406016";"368377";"37639";"31597";"16116";"19766";"14353";"2059";"-";"375595";"309425";"281259";"28166";"22738";"13316";"16656";"11769";"1691";"-";"91586";"77311";"69838";"7473";"6800";"2307";"2654";"2211";"303";"-";"17303";"14761";"13252";"1509";"1453";"372";"372";"301";"44";"-";"5423";"4519";"4028";"491";"606";"121";"84";"72";"21";"-";"529";"329";"300";"29";"45";"47";"51";"27";"30";"-";"197";"67";"57";"10";"16";"39";"32";"27";"16";"-";"70";"-";"-";"-";"-";"-";"-";"-";"-";"70"
"UF";"33";"Rio de Janeiro";"25 a 29 anos";"Indígena";"1154";"912";"833";"79";"109";"67";"31";"28";"5";"2";"1118";"906";"828";"78";"91";"60";"31";"27";"3";"-";"829";"670";"615";"55";"60";"48";"26";"22";"3";"-";"210";"172";"157";"15";"22";"7";"4";"5";"-";"-";"64";"53";"45";"8";"7";"3";"1";"-";"-";"-";"15";"11";"11";"-";"2";"2";"-";"-";"-";"-";"31";"6";"5";"1";"18";"7";"-";"-";"-";"-";"3";"-";"-";"-";"-";"-";"-";"1";"2";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"2"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Total";"1154609";"973978";"891698";"82280";"74396";"33950";"37683";"30292";"4173";"137";"1153180";"973280";"891080";"82200";"74268";"33777";"37558";"30203";"4094";"-";"805970";"671535";"614328";"57207";"48841";"26933";"31396";"24078";"3187";"-";"262103";"226874";"207855";"19019";"18494";"5601";"5284";"5125";"725";"-";"64419";"56938";"52593";"4345";"4967";"920";"701";"767";"126";"-";"20688";"17933";"16304";"1629";"1966";"323";"177";"233";"56";"-";"915";"582";"523";"59";"92";"90";"67";"38";"46";"-";"377";"116";"95";"21";"36";"83";"58";"51";"33";"-";"137";"-";"-";"-";"-";"-";"-";"-";"-";"137"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Branca";"454415";"390570";"360862";"29708";"29792";"11536";"10471";"10748";"1266";"32";"454130";"390414";"360720";"29694";"29769";"11506";"10453";"10734";"1254";"-";"272304";"229347";"211145";"18202";"17084";"8620";"8443";"7976";"834";"-";"128606";"113400";"105259";"8141";"8671";"2307";"1688";"2222";"318";"-";"39566";"35673";"33335";"2338";"2779";"406";"250";"389";"69";"-";"13654";"11994";"10981";"1013";"1235";"173";"72";"147";"33";"-";"187";"132";"120";"12";"17";"17";"11";"4";"6";"-";"66";"24";"22";"2";"6";"13";"7";"10";"6";"-";"32";"-";"-";"-";"-";"-";"-";"-";"-";"32"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Preta";"209348";"175100";"160084";"15016";"11977";"6455";"8643";"6229";"903";"41";"208887";"174873";"159885";"14988";"11941";"6399";"8601";"6207";"866";"-";"164113";"136566";"125029";"11537";"8851";"5427";"7366";"5179";"724";"-";"36624";"31303";"28449";"2854";"2405";"826";"1082";"886";"122";"-";"6413";"5530";"5062";"468";"510";"119";"129";"111";"14";"-";"1737";"1474";"1345";"129";"175";"27";"24";"31";"6";"-";"288";"185";"166";"19";"22";"24";"21";"12";"24";"-";"132";"42";"33";"9";"14";"32";"21";"10";"13";"-";"41";"-";"-";"-";"-";"-";"-";"-";"-";"41"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Amarela";"1763";"1546";"1443";"103";"110";"33";"40";"28";"6";"-";"1763";"1546";"1443";"103";"110";"33";"40";"28";"6";"-";"961";"825";"755";"70";"62";"17";"30";"24";"3";"-";"518";"461";"439";"22";"32";"10";"8";"4";"3";"-";"213";"191";"182";"9";"14";"6";"2";"-";"-";"-";"71";"69";"67";"2";"2";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Parda";"487835";"405768";"368398";"37370";"32389";"15859";"18501";"13263";"1994";"61";"487178";"405460";"368127";"37333";"32328";"15779";"18436";"13210";"1965";"-";"367739";"304111";"276771";"27340";"22770";"12825";"15531";"10878";"1624";"-";"96090";"81484";"73498";"7986";"7356";"2452";"2505";"2011";"282";"-";"18152";"15484";"13962";"1522";"1657";"383";"319";"266";"43";"-";"5197";"4381";"3896";"485";"545";"119";"81";"55";"16";"-";"420";"260";"233";"27";"45";"42";"35";"22";"16";"-";"176";"48";"38";"10";"16";"38";"30";"31";"13";"-";"61";"-";"-";"-";"-";"-";"-";"-";"-";"61"
"UF";"33";"Rio de Janeiro";"30 a 34 anos";"Indígena";"1202";"953";"877";"76";"124";"66";"28";"24";"4";"3";"1176";"946";"871";"75";"116";"59";"28";"24";"3";"-";"828";"663";"607";"56";"73";"43";"26";"21";"2";"-";"250";"214";"201";"13";"27";"6";"1";"2";"-";"-";"72";"57";"51";"6";"7";"6";"1";"1";"-";"-";"26";"12";"12";"-";"9";"4";"-";"-";"1";"-";"20";"5";"4";"1";"8";"7";"-";"-";"-";"-";"3";"2";"2";"-";"-";"-";"-";"-";"1";"-";"3";"-";"-";"-";"-";"-";"-";"-";"-";"3"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Total";"1209083";"1021488";"934600";"86888";"81148";"34897";"36944";"30286";"4163";"157";"1207806";"1020907";"934064";"86843";"81053";"34718";"36834";"30205";"4089";"-";"808212";"673745";"616092";"57653";"50754";"27011";"30118";"23460";"3124";"-";"294370";"254138";"232315";"21823";"21804";"6333";"5739";"5631";"725";"-";"79361";"70509";"65141";"5368";"6056";"1012";"775";"867";"142";"-";"25863";"22515";"20516";"1999";"2439";"362";"202";"247";"98";"-";"750";"472";"435";"37";"67";"82";"51";"33";"45";"-";"370";"109";"101";"8";"28";"97";"59";"48";"29";"-";"157";"-";"-";"-";"-";"-";"-";"-";"-";"157"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Branca";"482293";"415306";"383027";"32279";"32546";"11916";"10311";"10901";"1284";"29";"482025";"415167";"382891";"32276";"32524";"11887";"10292";"10887";"1268";"-";"272252";"229328";"210755";"18573";"17471";"8587";"8086";"7937";"843";"-";"143390";"126050";"116456";"9594";"10159";"2645";"1854";"2391";"291";"-";"49285";"44658";"41748";"2910";"3387";"458";"281";"428";"73";"-";"17098";"15131";"13932";"1199";"1507";"197";"71";"131";"61";"-";"172";"116";"115";"1";"16";"15";"8";"9";"8";"-";"67";"23";"21";"2";"6";"14";"11";"5";"8";"-";"29";"-";"-";"-";"-";"-";"-";"-";"-";"29"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Preta";"214062";"180186";"164679";"15507";"12524";"6280";"8173";"5987";"856";"56";"213644";"180008";"164522";"15486";"12498";"6221";"8130";"5953";"834";"-";"162778";"136365";"124789";"11576";"8908";"5121";"6838";"4855";"691";"-";"41472";"35520";"32370";"3150";"2846";"911";"1132";"949";"114";"-";"7277";"6305";"5728";"577";"564";"142";"127";"119";"20";"-";"2117";"1818";"1635";"183";"180";"47";"33";"30";"9";"-";"214";"134";"115";"19";"18";"19";"18";"13";"12";"-";"148";"44";"42";"2";"8";"40";"25";"21";"10";"-";"56";"-";"-";"-";"-";"-";"-";"-";"-";"56"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Amarela";"2014";"1794";"1690";"104";"116";"28";"35";"34";"7";"-";"2013";"1793";"1689";"104";"116";"28";"35";"34";"7";"-";"937";"807";"744";"63";"55";"17";"27";"26";"5";"-";"712";"652";"623";"29";"38";"9";"6";"5";"2";"-";"267";"250";"246";"4";"12";"2";"2";"1";"-";"-";"97";"84";"76";"8";"11";"-";"-";"2";"-";"-";"1";"1";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Parda";"509316";"423108";"384207";"38901";"35808";"16596";"18389";"13338";"2007";"70";"508745";"422846";"383966";"38880";"35764";"16516";"18341";"13305";"1973";"-";"371323";"306525";"279144";"27381";"24221";"13233";"15141";"10624";"1579";"-";"108466";"91648";"82620";"9028";"8721";"2760";"2739";"2281";"317";"-";"22439";"19217";"17355";"1862";"2085";"405";"365";"318";"49";"-";"6517";"5456";"4847";"609";"737";"118";"96";"82";"28";"-";"350";"220";"203";"17";"30";"40";"25";"11";"24";"-";"151";"42";"38";"4";"14";"40";"23";"22";"10";"-";"70";"-";"-";"-";"-";"-";"-";"-";"-";"70"
"UF";"33";"Rio de Janeiro";"35 a 39 anos";"Indígena";"1336";"1042";"950";"92";"149";"72";"36";"26";"9";"2";"1317";"1041";"949";"92";"146";"61";"36";"26";"7";"-";"881";"687";"632";"55";"94";"50";"26";"18";"6";"-";"323";"261";"239";"22";"40";"8";"8";"5";"1";"-";"83";"71";"56";"15";"8";"3";"-";"1";"-";"-";"30";"22";"22";"-";"4";"-";"2";"2";"-";"-";"13";"1";"1";"-";"3";"8";"-";"-";"1";"-";"4";"-";"-";"-";"-";"3";"-";"-";"1";"-";"2";"-";"-";"-";"-";"-";"-";"-";"-";"2"
"UF";"33";"Rio de Janeiro";"40 a 44 anos";"Total";"1288484";"1086644";"992513";"94131";"88865";"36938";"39078";"32183";"4627";"149";"1287149";"1085997";"991924";"94073";"88753";"36794";"38975";"32077";"4553";"-";"829416";"690740";"630619";"60121";"52610";"27577";"31086";"24150";"3253";"-";"330320";"282866";"257948";"24918";"25606";"7528";"6814";"6535";"971";"-";"94471";"83769";"77343";"6426";"7312";"1266";"845";"1061";"218";"-";"32942";"28622";"26014";"2608";"3225";"423";"230";"331";"111";"-";"801";"527";"487";"40";"77";"55";"59";"42";"41";"-";"385";"120";"102";"18";"35";"89";"44";"64";"33";"-";"149";"-";"-";"-";"-";"-";"-";"-";"-";"149"
