"Tabela 9397 - Moradores em domicílios particulares permanentes ocupados, por existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio e por tipo de esgotamento sanitário, segundo grupos de idade e cor ou raça"
"Variável - Moradores em domicílios particulares permanentes ocupados (Pessoas)"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Ano x Existência de banheiro ou sanitário e número de banheiros de uso exclusivo do domicílio x Tipo de esgotamento sanitário"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"2022"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 1 banheiro";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 2 banheiros";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 3 banheiros";;;;;;;;;;"Tinham banheiro de uso exclusivo do domicílio - 4 banheiros ou mais";;;;;;;;;;"Apenas banheiro de uso comum a mais de um domicílio";;;;;;;;;;"Apenas sanitário ou buraco para dejeções, inclusive os localizados no terreno";;;;;;;;;;"Não tinham banheiro nem sanitário"
"Nível";"Cód.";"Unidade da Federação";"Grupo de idade";"Cor ou raça";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário";"Total";"Rede geral, rede pluvial ou fossa ligada à rede";"Rede geral ou pluvial";"Fossa séptica ou fossa filtro ligada à rede";"Fossa séptica ou fossa filtro não ligada à rede";"Fossa rudimentar ou buraco";"Vala";"Rio, lago, córrego ou mar";"Outra forma";"Não tinham banheiro nem sanitário"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Parda";"383256";"305405";"275431";"29974";"28326";"16045";"18342";"13000";"2044";"94";"382203";"304968";"275050";"29918";"28241";"15881";"18202";"12923";"1988";"-";"301931";"238718";"215610";"23108";"21304";"13528";"15652";"11029";"1700";"-";"64593";"53070";"47568";"5502";"5402";"1994";"2233";"1653";"241";"-";"12136";"10247";"9232";"1015";"1134";"279";"246";"198";"32";"-";"3543";"2933";"2640";"293";"401";"80";"71";"43";"15";"-";"649";"356";"318";"38";"67";"75";"83";"33";"35";"-";"310";"81";"63";"18";"18";"89";"57";"44";"21";"-";"94";"-";"-";"-";"-";"-";"-";"-";"-";"94"
"UF";"33";"Rio de Janeiro";"0 a 4 anos";"Indígena";"500";"261";"235";"26";"83";"100";"23";"20";"5";"8";"434";"257";"233";"24";"54";"79";"23";"20";"1";"-";"324";"175";"158";"17";"40";"73";"19";"16";"1";"-";"81";"66";"61";"5";"8";"1";"4";"2";"-";"-";"21";"14";"13";"1";"4";"3";"-";"-";"-";"-";"8";"2";"1";"1";"2";"2";"-";"2";"-";"-";"52";"4";"2";"2";"29";"19";"-";"-";"-";"-";"6";"-";"-";"-";"-";"2";"-";"-";"4";"-";"8";"-";"-";"-";"-";"-";"-";"-";"-";"8"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Total";"1014589";"831408";"754811";"76597";"72349";"36301";"39603";"30372";"4360";"196";"1012806";"830679";"754151";"76528";"72204";"36022";"39390";"30250";"4261";"-";"723328";"584454";"530549";"53905";"48493";"29218";"33194";"24575";"3394";"-";"210118";"176660";"159836";"16824";"17013";"5630";"5369";"4767";"679";"-";"57731";"50763";"46606";"4157";"4612";"863";"653";"725";"115";"-";"21629";"18802";"17160";"1642";"2086";"311";"174";"183";"73";"-";"1025";"573";"522";"51";"98";"138";"109";"44";"63";"-";"562";"156";"138";"18";"47";"141";"104";"78";"36";"-";"196";"-";"-";"-";"-";"-";"-";"-";"-";"196"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Branca";"398879";"333655";"304048";"29607";"29250";"12304";"11392";"10893";"1346";"39";"398536";"333506";"303909";"29597";"29223";"12256";"11350";"10866";"1335";"-";"243509";"198871";"180637";"18234";"16961";"9296";"9162";"8284";"935";"-";"102064";"87303";"79483";"7820";"8124";"2390";"1858";"2104";"285";"-";"37488";"33625";"31196";"2429";"2744";"416";"256";"379";"68";"-";"15475";"13707";"12593";"1114";"1394";"154";"74";"99";"47";"-";"195";"109";"99";"10";"20";"26";"23";"8";"9";"-";"109";"40";"40";"-";"7";"22";"19";"19";"2";"-";"39";"-";"-";"-";"-";"-";"-";"-";"-";"39"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Preta";"139089";"114234";"104381";"9853";"8145";"5085";"6457";"4419";"696";"53";"138631";"114041";"104212";"9829";"8115";"5024";"6400";"4391";"660";"-";"112138";"91629";"83886";"7743";"6295";"4287";"5616";"3733";"578";"-";"21746";"18369";"16648";"1721";"1432";"624";"677";"578";"66";"-";"3652";"3130";"2842";"288";"277";"88";"87";"57";"13";"-";"1095";"913";"836";"77";"111";"25";"20";"23";"3";"-";"246";"145";"126";"19";"15";"26";"24";"11";"25";"-";"159";"48";"43";"5";"15";"35";"33";"17";"11";"-";"53";"-";"-";"-";"-";"-";"-";"-";"-";"53"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Amarela";"1023";"889";"834";"55";"59";"21";"30";"22";"2";"-";"1023";"889";"834";"55";"59";"21";"30";"22";"2";"-";"497";"402";"365";"37";"36";"14";"27";"16";"2";"-";"313";"290";"277";"13";"12";"7";"2";"2";"-";"-";"134";"129";"127";"2";"4";"-";"1";"-";"-";"-";"79";"68";"65";"3";"7";"-";"-";"4";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Parda";"474955";"382209";"345182";"37027";"34816";"18791";"21704";"15028";"2308";"99";"474026";"381825";"344831";"36994";"34748";"18640";"21590";"14961";"2262";"-";"366757";"293260";"265405";"27855";"25162";"15553";"18371";"12534";"1877";"-";"85894";"70618";"63358";"7260";"7432";"2605";"2830";"2081";"328";"-";"16401";"13835";"12404";"1431";"1581";"353";"309";"289";"34";"-";"4974";"4112";"3664";"448";"573";"129";"80";"57";"23";"-";"546";"317";"296";"21";"43";"70";"62";"25";"29";"-";"284";"67";"55";"12";"25";"81";"52";"42";"17";"-";"99";"-";"-";"-";"-";"-";"-";"-";"-";"99"
"UF";"33";"Rio de Janeiro";"5 a 9 anos";"Indígena";"622";"403";"348";"55";"78";"98";"20";"10";"8";"5";"569";"400";"347";"53";"58";"79";"20";"10";"2";"-";"415";"282";"246";"36";"38";"67";"18";"8";"2";"-";"96";"75";"65";"10";"13";"4";"2";"2";"-";"-";"52";"41";"34";"7";"6";"5";"-";"-";"-";"-";"6";"2";"2";"-";"1";"3";"-";"-";"-";"-";"38";"2";"1";"1";"20";"16";"-";"-";"-";"-";"10";"1";"-";"1";"-";"3";"-";"-";"6";"-";"5";"-";"-";"-";"-";"-";"-";"-";"-";"5"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Total";"963548";"788879";"715687";"73192";"70250";"34148";"37095";"28819";"4211";"146";"962105";"788276";"715142";"73134";"70113";"33929";"36933";"28707";"4147";"-";"665433";"537341";"487789";"49552";"45010";"26778";"30408";"22669";"3227";"-";"213612";"178514";"161194";"17320";"17888";"5893";"5573";"5067";"677";"-";"59566";"51998";"47674";"4324";"4959";"929";"774";"740";"166";"-";"23494";"20423";"18485";"1938";"2256";"329";"178";"231";"77";"-";"754";"435";"397";"38";"93";"89";"72";"27";"38";"-";"543";"168";"148";"20";"44";"130";"90";"85";"26";"-";"146";"-";"-";"-";"-";"-";"-";"-";"-";"146"
"UF";"33";"Rio de Janeiro";"10 a 14 anos";"Branca";"364870";"304929";"278003";"26926";"27579";"11078";"10208";"9862";"1187";"27";"364606";"304801";"277880";"26921";"27559";"11045";"10182";"9842";"1177";"-";"210598";"171675";"156087";"15588";"14896";"8095";"7980";"7179";"773";"-";"99782";"84787";"77152";"7635";"8367";"2363";"1860";"2156";"249";"-";"37537";"33511";"31080";"2431";"2841";"429";"269";"385";"102";"-";"16689";"14828";"13561";"1267";"1455";"158";"73";"122";"53";"-";"150";"96";"91";"5";"16";"19";"9";"3";"7";"-";"87";"32";"32";"-";"4";"14";"17";"17";"3";"-";"27";"-";"-";"-";"-";"-";"-";"-";"-";"27"
