"Tabela 7555 - Moradores em domicílios particulares permanentes ocupados, por tipo de esgotamento sanitário, segundo grupos de idade e cor ou raça"
"Variável - Moradores em domicílios particulares permanentes ocupados (Pessoas)"
"Nível";"Cód.";"Brasil e Unidade da Federação";"Cor ou raça";"Ano x Tipo de esgotamento sanitário x Grupo de idade"
"Nível";"Cód.";"Brasil e Unidade da Federação";"Cor ou raça";"2022"
"Nível";"Cód.";"Brasil e Unidade da Federação";"Cor ou raça";"Total";;;;;;;;;;;;;;;;;;;;;;"Rede geral, rede pluvial ou fossa ligada à rede";;;;;;;;;;;;;;;;;;;;;;"Rede geral ou pluvial";;;;;;;;;;;;;;;;;;;;;;"Fossa séptica ou fossa filtro ligada à rede";;;;;;;;;;;;;;;;;;;;;;"Fossa séptica ou fossa filtro não ligada à rede";;;;;;;;;;;;;;;;;;;;;;"Fossa rudimentar ou buraco";;;;;;;;;;;;;;;;;;;;;;"Vala";;;;;;;;;;;;;;;;;;;;;;"Rio, lago, córrego ou mar";;;;;;;;;;;;;;;;;;;;;;"Outra forma";;;;;;;;;;;;;;;;;;;;;;"Não tinham banheiro nem sanitário"
"Nível";"Cód.";"Brasil e Unidade da Federação";"Cor ou raça";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais";"Total";"0 a 4 anos";"5 a 9 anos";"10 a 14 anos";"15 a 19 anos";"20 a 24 anos";"25 a 29 anos";"30 a 34 anos";"35 a 39 anos";"40 a 44 anos";"45 a 49 anos";"50 a 54 anos";"55 a 59 anos";"60 a 64 anos";"65 a 69 anos";"70 a 74 anos";"75 a 79 anos";"80 a 84 anos";"85 a 89 anos";"90 a 94 anos";"95 a 99 anos";"100 anos ou mais"
"BR";"1";"Brasil";"Total";"202083020";"12680524";"13726738";"13652666";"14337045";"15351342";"15322789";"15348421";"16072764";"15994181";"13587854";"12559097";"11535566";"9912393";"7846287";"5829650";"3818480";"2445409";"1303646";"562724";"159126";"36318";"126325822";"7260499";"7997931";"7876780";"8360795";"9476003";"9658301";"9744161";"10234423";"10313631";"8704107";"8088588";"7462602";"6516880";"5207642";"3866442";"2531482";"1629388";"885190";"385772";"105207";"19998";"117776427";"6730741";"7424906";"7321472";"7777786";"8828272";"8994017";"9068941";"9531505";"9620045";"8120637";"7549098";"6962760";"6094012";"4880496";"3628695";"2382423";"1537742";"837711";"366294";"99976";"18898";"8549395";"529758";"573025";"555308";"583009";"647731";"664284";"675220";"702918";"693586";"583470";"539490";"499842";"422868";"327146";"237747";"149059";"91646";"47479";"19478";"5231";"1100";"26726877";"1807146";"1931383";"1911322";"1962983";"2014320";"2016487";"2056988";"2165390";"2106976";"1787635";"1634986";"1485056";"1244844";"962124";"698627";"443079";"275223";"141566";"59114";"17234";"4394";"39291581";"2836762";"2986526";"3052683";"3175296";"3047636";"2911221";"2858503";"2979364";"2894479";"2503769";"2288946";"2093657";"1742282";"1365435";"1039656";"697795";"448417";"230118";"98458";"30673";"9905";"2980178";"230881";"246211";"247385";"253987";"246301";"225796";"214502";"215921";"211447";"182960";"168375";"150979";"124992";"95529";"69894";"44967";"27934";"14043";"5745";"1739";"590";"4072681";"295678";"316339";"312782";"330395";"335534";"309735";"290016";"295845";"294572";"259048";"242192";"217943";"184309";"143551";"102155";"66022";"42002";"22008";"9162";"2664";"729";"1503532";"130447";"132233";"132937";"135332";"127946";"115301";"107844";"107179";"102102";"87467";"78581";"71222";"57442";"42571";"31044";"20401";"13164";"6342";"2665";"939";"373";"1182349";"119111";"116115";"118777";"118257";"103602";"85948";"76407";"74642";"70974";"62868";"57429";"54107";"41644";"29435";"21832";"14734";"9281";"4379";"1808";"670";"329"
"BR";"1";"Brasil";"Branca";"87880356";"5776367";"5728243";"5402529";"5599498";"6045102";"6141127";"6337343";"6693471";"6801104";"5839856";"5613138";"5428414";"4836423";"3963750";"3055441";"2072604";"1360427";"753203";"328702";"88085";"15529";"62317034";"3816860";"3870956";"3643193";"3795372";"4276804";"4415192";"4585824";"4841831";"4948511";"4198560";"4014552";"3884877";"3496907";"2885400";"2227944";"1518052";"1003683";"565204";"250524";"66169";"10619";"57672421";"3516865";"3567319";"3361553";"3504732";"3954591";"4078514";"4232609";"4471118";"4578792";"3885564";"3713819";"3592134";"3242417";"2684026";"2077548";"1422025";"944182";"533943";"237686";"62911";"10073";"4644613";"299995";"303637";"281640";"290640";"322213";"336678";"353215";"370713";"369719";"312996";"300733";"292743";"254490";"201374";"150396";"96027";"59501";"31261";"12838";"3258";"546";"11098037";"799381";"777706";"727725";"731594";"747641";"762100";"798778";"851365";"846244";"731657";"708519";"687880";"599185";"478640";"358150";"230549";"144072";"75751";"31199";"8408";"1493";"11848291";"935441";"871230";"836318";"867545";"820483";"783726";"782231";"825995";"828963";"750057";"734877";"708929";"613639";"498854";"392179";"272157";"178324";"93798";"39355";"11358";"2832";"786450";"69229";"64383";"60565";"62814";"60457";"54381";"51112";"52342";"53095";"47343";"45719";"42769";"36802";"29259";"22892";"15345";"9791";"5278";"2116";"575";"183";"1326559";"107006";"101295";"93466";"98374";"100015";"90834";"86191";"88135";"90540";"82505";"81891";"77981";"68437";"55342";"41766";"28024";"18750";"10269";"4301";"1184";"253";"344958";"31671";"28318";"26678";"28421";"26785";"24542";"23681";"24344";"24036";"20766";"19095";"17904";"15078";"11490";"8767";"6008";"4090";"2034";"883";"262";"105";"159027";"16779";"14355";"14584";"15378";"12917";"10352";"9526";"9459";"9715";"8968";"8485";"8074";"6375";"4765";"3743";"2469";"1717";"869";"324";"129";"44"
"BR";"1";"Brasil";"Preta";"20517410";"799074";"1017792";"1106449";"1396952";"1707345";"1758681";"1728638";"1835862";"1839756";"1551575";"1398398";"1221260";"1034351";"791512";"567983";"354782";"222673";"114216";"49346";"15529";"5236";"12966098";"481235";"618585";"664353";"846295";"1084112";"1136952";"1113584";"1180642";"1186762";"990081";"892701";"774069";"660831";"506855";"358491";"219723";"136862";"71212";"30777";"9368";"2608";"12201657";"450561";"580203";"623378";"794594";"1018961";"1068277";"1046769";"1110459";"1117514";"932082";"841198";"729761";"623911";"478974";"339154";"208126";"129628";"67543";"29230";"8875";"2459";"764441";"30674";"38382";"40975";"51701";"65151";"68675";"66815";"70183";"69248";"57999";"51503";"44308";"36920";"27881";"19337";"11597";"7234";"3669";"1547";"493";"149";"2420673";"96361";"123132";"134234";"169119";"199561";"204691";"207457";"222402";"219528";"186666";"164503";"141506";"117397";"87776";"62368";"39185";"24629";"12348";"5344";"1746";"720";"3920601";"164005";"205311";"230841";"288403";"319094";"317093";"312538";"334456";"334759";"289042";"261152";"234373";"196382";"152190";"115277";"76025";"48848";"24775";"10799";"3632";"1606";"390072";"18480";"23206";"24931";"29597";"33567";"32151";"31170";"31978";"32063";"27536";"25805";"22641";"19073";"14448";"10354";"6292";"3876";"1835";"747";"234";"88";"526655";"23397";"29356";"31971";"39983";"46143";"44723";"42427";"44183";"44281";"38049";"34970";"30440";"25660";"19512";"13601";"8519";"5260";"2595";"1105";"350";"130";"165871";"8576";"10075";"11002";"13122";"14278";"13673";"12778";"13096";"13088";"11438";"10615";"9772";"8262";"5926";"4390";"2709";"1752";"831";"335";"114";"39";"127440";"7020";"8127";"9117";"10433";"10590";"9398";"8684";"9105";"9275";"8763";"8652";"8459";"6746";"4805";"3502";"2329";"1446";"620";"239";"85";"45"
"BR";"1";"Brasil";"Amarela";"845845";"27105";"33164";"35839";"41965";"49185";"51200";"56493";"64788";"69374";"59574";"56677";"55643";"53059";"52478";"50336";"39101";"26922";"14562";"6269";"1818";"293";"720140";"21963";"27017";"29184";"33775";"40309";"42600";"47810";"55387";"59618";"50976";"48752";"47843";"45827";"46102";"44440";"34507";"23774";"12834";"5535";"1616";"271";"702623";"21305";"26171";"28319";"32744";"39148";"41363";"46441";"53863";"58119";"49699";"47655";"46746";"44829";"45256";"43624";"33999";"23398";"12632";"5457";"1589";"266";"17517";"658";"846";"865";"1031";"1161";"1237";"1369";"1524";"1499";"1277";"1097";"1097";"998";"846";"816";"508";"376";"202";"78";"27";"5";"56276";"2087";"2658";"2854";"3267";"3600";"3573";"3728";"4237";"4597";"3936";"3766";"3660";"3474";"3035";"2824";"2144";"1501";"831";"380";"109";"15";"58963";"2508";"2930";"3178";"4148";"4316";"4207";"4114";"4338";"4369";"3975";"3552";"3523";"3272";"2913";"2719";"2198";"1500";"804";"311";"83";"5";"2959";"187";"182";"163";"253";"287";"237";"246";"231";"201";"187";"184";"162";"104";"117";"81";"62";"42";"26";"5";"2";"-";"4243";"179";"214";"254";"290";"379";"319";"309";"355";"335";"285";"243";"234";"211";"192";"174";"122";"73";"45";"25";"4";"1";"2290";"118";"101";"147";"139";"194";"188";"215";"185";"176";"158";"123";"155";"130";"91";"74";"45";"18";"17";"12";"3";"1";"974";"63";"62";"59";"93";"100";"76";"71";"55";"78";"57";"57";"66";"41";"28";"24";"23";"14";"5";"1";"1";"-"
"BR";"1";"Brasil";"Parda";"91613309";"5939434";"6812677";"6980041";"7175794";"7437512";"7276218";"7142387";"7400423";"7213974";"6078835";"5441979";"4788129";"3953581";"3011464";"2136053";"1338408";"826148";"416816";"176074";"52715";"14647";"50089078";"2927961";"3467647";"3525589";"3668856";"4055073";"4044166";"3978394";"4137839";"4100324";"3448374";"3118029";"2742643";"2301568";"1759932";"1228811";"754825";"462224";"234347";"98219";"27836";"6421";"46989685";"2731348";"3239403";"3295564";"3431181";"3798045";"3788437";"3726378";"3879154";"3848875";"3238605";"2933088";"2581984";"2172041";"1663580";"1162110";"714213";"437891";"222103";"93259";"26396";"6030";"3099393";"196613";"228244";"230025";"237675";"257028";"255729";"252016";"258685";"251449";"209769";"184941";"160659";"129527";"96352";"66701";"40612";"24333";"12244";"4960";"1440";"391";"13014750";"897170";"1015425";"1034427";"1046369";"1051335";"1034963";"1036726";"1077402";"1027455";"857425";"751594";"646201";"520079";"389015";"272621";"169529";"103993";"52077";"21953";"6881";"2110";"22936090";"1671173";"1844462";"1922644";"1958687";"1854001";"1764952";"1724202";"1782248";"1698452";"1438083";"1270721";"1131057";"916326";"701710";"522368";"342330";"216240";"108944";"47103";"15202";"5185";"1749790";"136435";"152181";"155527";"155438";"147052";"135144";"128812";"128436";"123571";"105893";"95065";"84060";"67920";"50896";"35967";"22819";"13868";"6742";"2788";"884";"292";"2183489";"161288";"181859";"183764";"188358";"186060";"171440";"159109";"161166";"157735";"136759";"123902";"108219";"89099";"67785";"46149";"29022";"17684";"8973";"3681";"1105";"332";"922382";"79721";"83972";"86431";"85935";"80256";"72012";"67146";"66018";"61781";"52810";"46925";"41906";"32769";"24188";"17159";"11134";"6931";"3270";"1334";"501";"183";"717730";"65686";"67131";"71659";"72151";"63735";"53541";"47998";"47314";"44656";"39491";"35743";"34043";"25820";"17938";"12978";"8749";"5208";"2463";"996";"306";"124"
"BR";"1";"Brasil";"Indígena";"1218936";"138230";"134535";"127431";"122422";"111648";"94910";"82889";"77613";"69314";"57492";"48426";"41695";"34610";"26822";"19606";"13470";"9123";"4804";"2310";"976";"610";"228388";"12276";"13508";"14199";"16220";"19314";"18962";"18080";"18289";"17924";"15742";"14193";"12847";"11473";"9165";"6592";"4291";"2765";"1557";"698";"216";"77";"205226";"10467";"11603";"12411";"14270";"17154";"17021";"16307";"16495";"16269";"14350";"12995";"11833";"10552";"8482";"6106";"3978";"2565";"1454";"643";"203";"68";"23162";"1809";"1905";"1788";"1950";"2160";"1941";"1773";"1794";"1655";"1392";"1198";"1014";"921";"683";"486";"313";"200";"103";"55";"13";"9";"136337";"12106";"12420";"12042";"12574";"12123";"11086";"10218";"9916";"9084";"7880";"6556";"5773";"4674";"3634";"2637";"1661";"1014";"557";"236";"90";"56";"526642";"63580";"62537";"59647";"56450";"49669";"41120";"35327";"32236";"27856";"22550";"18592";"15729";"12621";"9734";"7083";"5070";"3488";"1790";"889";"397";"277";"50847";"6546";"6258";"6191";"5881";"4932";"3877";"3156";"2933";"2514";"1997";"1599";"1344";"1091";"806";"596";"447";"357";"162";"89";"44";"27";"31596";"3801";"3611";"3319";"3383";"2927";"2408";"1966";"1997";"1668";"1442";"1180";"1055";"894";"712";"461";"333";"231";"126";"49";"21";"12";"67982";"10361";"9763";"8676";"7713";"6427";"4879";"4017";"3535";"3019";"2293";"1816";"1485";"1198";"874";"654";"505";"372";"190";"101";"59";"45";"177144";"29560";"26438";"23357";"20201";"16256";"12578";"10125";"8707";"7249";"5588";"4490";"3462";"2659";"1897";"1583";"1163";"896";"422";"248";"149";"116"
"UF";"33";"Rio de Janeiro";"Total";"15991284";"874734";"1014589";"963548";"1009836";"1140370";"1151010";"1154609";"1209083";"1288484";"1105308";"1060236";"1008198";"920523";"753946";"557642";"351656";"227188";"126114";"56436";"15200";"2574";"13397247";"711277";"831408";"788879";"830372";"951110";"968671";"973978";"1021488";"1086644";"927444";"887384";"846022";"775756";"639525";"476775";"303949";"198774";"111465";"50436";"13612";"2278";"12234229";"644880";"754811";"715687";"754151";"867986";"885155";"891698";"934600";"992513";"844859";"807812";"771652";"710673";"586956";"438813";"280975";"184482";"104168";"47455";"12760";"2143";"1163018";"66397";"76597";"73192";"76221";"83124";"83516";"82280";"86888";"94131";"82585";"79572";"74370";"65083";"52569";"37962";"22974";"14292";"7297";"2981";"852";"135";"1089458";"63161";"72349";"70250";"71331";"72440";"71550";"74396";"81148";"88865";"77782";"75544";"71399";"65389";"52258";"36910";"21588";"12733";"6654";"2820";"762";"129";"486884";"32884";"36301";"34148";"34427";"35463";"34471";"33950";"34897";"36938";"32810";"31548";"29890";"26118";"20380";"14765";"8544";"5289";"2671";"1038";"285";"67";"519923";"35508";"39603";"37095";"38420";"42390";"39826";"37683";"36944";"39078";"34127";"33246";"29976";"26014";"20040";"13807";"8052";"4608";"2313";"891";"258";"44";"437111";"27562";"30372";"28819";"30837";"34068";"31993";"30292";"30286";"32183";"29095";"28597";"27449";"24161";"19408";"13856";"8642";"5306";"2752";"1127";"254";"52";"58292";"4145";"4360";"4211";"4288";"4704";"4336";"4173";"4163";"4627";"3880";"3759";"3301";"2939";"2225";"1472";"848";"460";"249";"120";"28";"4";"2369";"197";"196";"146";"161";"195";"163";"137";"157";"149";"170";"158";"161";"146";"110";"57";"33";"18";"10";"4";"1";"-"
"UF";"33";"Rio de Janeiro";"Branca";"6718307";"383829";"398879";"364870";"379447";"434383";"442163";"454415";"482293";"522146";"451885";"444518";"446486";"419903";"358589";"285104";"192968";"131669";"77180";"36105";"9896";"1579";"5733285";"318104";"333655";"304929";"318002";"369287";"379657";"390570";"415306";"448330";"385720";"377802";"380415";"358765";"307889";"246781";"169012";"116793";"69118";"32723";"8997";"1430";"5276655";"289304";"304048";"278003";"290053";"339093";"350016";"360862";"383027";"413092";"354445";"347098";"350185";"330990";"284528";"228804";"157568";"109404";"65197";"31073";"8508";"1357";"456630";"28800";"29607";"26926";"27949";"30194";"29641";"29708";"32279";"35238";"31275";"30704";"30230";"27775";"23361";"17977";"11444";"7389";"3921";"1650";"489";"73";"466715";"28498";"29250";"27579";"27800";"28176";"27931";"29792";"32546";"36292";"32165";"32411";"32422";"30721";"25905";"19525";"11986";"7374";"4033";"1760";"486";"63";"177504";"12646";"12304";"11078";"11206";"11758";"11360";"11536";"11916";"13054";"11887";"11736";"11840";"10736";"8840";"6691";"4125";"2670";"1388";"557";"147";"29";"154777";"11953";"11392";"10208";"10531";"11777";"10906";"10471";"10311";"11173";"9927";"9993";"9426";"8402";"6677";"5039";"3166";"1879";"1020";"396";"104";"26";"166250";"11045";"10893";"9862";"10579";"11889";"10996";"10748";"10901";"11778";"10868";"11240";"11197";"10137";"8384";"6450";"4286";"2716";"1496";"614";"144";"27";"19220";"1537";"1346";"1187";"1293";"1453";"1285";"1266";"1284";"1490";"1278";"1297";"1135";"1112";"861";"595";"377";"231";"119";"52";"18";"4";"556";"46";"39";"27";"36";"43";"28";"32";"29";"29";"40";"39";"51";"30";"33";"23";"16";"6";"6";"3";"-";"-"
"UF";"33";"Rio de Janeiro";"Preta";"2580603";"106288";"139089";"140299";"169516";"209069";"215476";"209348";"214062";"223927";"188576";"176840";"158778";"141336";"113468";"78829";"45571";"27541";"14377";"6104";"1733";"376";"2154050";"86759";"114234";"115183";"139685";"173751";"180333";"175100";"180186";"187627";"157411";"147017";"132506";"118559";"96089";"67038";"39064";"23765";"12544";"5347";"1530";"322";"1965838";"79220";"104381";"105082";"127356";"158571";"164329";"160084";"164679";"171007";"143033";"133621";"120660";"108496";"88021";"61443";"35871";"21760";"11562";"4950";"1417";"295";"188212";"7539";"9853";"10101";"12329";"15180";"16004";"15016";"15507";"16620";"14378";"13396";"11846";"10063";"8068";"5595";"3193";"2005";"982";"397";"113";"27";"151105";"6211";"8145";"8561";"10043";"11342";"11784";"11977";"12524";"13502";"11522";"11109";"9816";"8578";"6571";"4549";"2472";"1367";"646";"281";"82";"23";"80710";"4071";"5085";"4987";"5847";"6655";"6809";"6455";"6280";"6749";"5896";"5469";"4846";"4016";"3058";"2091";"1161";"706";"362";"130";"26";"11";"105614";"5165";"6457";"6401";"7503";"9630";"9015";"8643";"8173";"8683";"7371";"7207";"6190";"5480";"4071";"2696";"1450";"854";"405";"162";"51";"7";"77402";"3480";"4419";"4401";"5569";"6629";"6537";"6229";"5987";"6352";"5546";"5310";"4736";"4140";"3248";"2188";"1277";"771";"366";"164";"40";"13";"11072";"553";"696";"723";"835";"989";"935";"903";"856";"981";"784";"695";"645";"529";"405";"256";"140";"72";"52";"20";"3";"-";"650";"49";"53";"43";"34";"73";"63";"41";"56";"33";"46";"33";"39";"34";"26";"11";"7";"6";"2";"-";"1";"-"
"UF";"33";"Rio de Janeiro";"Amarela";"21775";"840";"1023";"1065";"1093";"1383";"1473";"1763";"2014";"2027";"1614";"1438";"1268";"1086";"1016";"1040";"697";"520";"283";"112";"19";"1";"19144";"729";"889";"941";"951";"1237";"1323";"1546";"1794";"1809";"1439";"1248";"1102";"919";"881";"928";"602";"459";"238";"92";"16";"1";"17856";"671";"834";"872";"891";"1140";"1211";"1443";"1690";"1697";"1334";"1183";"1027";"841";"810";"873";"572";"440";"228";"86";"12";"1";"1288";"58";"55";"69";"60";"97";"112";"103";"104";"112";"105";"65";"75";"78";"71";"55";"30";"19";"10";"6";"4";"-";"1361";"42";"59";"68";"63";"49";"65";"110";"116";"133";"96";"98";"91";"97";"83";"63";"54";"38";"24";"11";"1";"-";"461";"22";"21";"18";"28";"33";"31";"33";"28";"32";"34";"35";"28";"27";"22";"27";"21";"11";"5";"4";"1";"-";"401";"24";"30";"21";"29";"36";"24";"40";"35";"25";"22";"30";"25";"17";"17";"8";"6";"4";"6";"2";"-";"-";"338";"17";"22";"13";"17";"21";"24";"28";"34";"24";"19";"24";"20";"23";"8";"12";"14";"7";"8";"2";"1";"-";"69";"6";"2";"4";"5";"7";"6";"6";"7";"4";"4";"3";"2";"2";"5";"2";"-";"1";"2";"1";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"1";"-";"-";"-";"-";"-";"-";"-";"-"
