ano,id_municipio,nome_municipio,pib_total_mil_reais,populacao_estimada,pib_per_capita
2013,3303807,Paraty - RJ,3157541,39434,80071.54
2014,3303807,Paraty - RJ,3671118,39965,91858.33
2015,3303807,Paraty - RJ,2222637,40478,54909.75
2016,3303807,Paraty - RJ,1252001,40975,30555.24
2017,3303807,Paraty - RJ,1591755,41454,38398.10
2018,3303807,Paraty - RJ,2619607,42630,61449.85
2019,3303807,Paraty - RJ,2760234,43165,63946.11
2020,3303807,Paraty - RJ,1719490,43680,39365.61
2021,3303807,Paraty - RJ,1955280,44175,44262.14
2002,3303856,Paty do Alferes - RJ,125969,25738,4894.28
2003,3303856,Paty do Alferes - RJ,136739,26113,5236.43
2004,3303856,Paty do Alferes - RJ,160241,26899,5957.14
2005,3303856,Paty do Alferes - RJ,157474,27334,5761.10
2006,3303856,Paty do Alferes - RJ,191524,27766,6897.79
2008,3303856,Paty do Alferes - RJ,229506,26099,8793.67
2009,3303856,Paty do Alferes - RJ,237994,26196,9085.13
2011,3303856,Paty do Alferes - RJ,318567,26469,12035.48
2012,3303856,Paty do Alferes - RJ,340631,26575,12817.72
2013,3303856,Paty do Alferes - RJ,391092,26696,14649.84
2014,3303856,Paty do Alferes - RJ,415503,26758,15528.18
2015,3303856,Paty do Alferes - RJ,484175,26818,18054.11
2016,3303856,Paty do Alferes - RJ,497392,26939,18463.64
2017,3303856,Paty do Alferes - RJ,534908,26991,19818.01
2018,3303856,Paty do Alferes - RJ,545971,27678,19725.81
2019,3303856,Paty do Alferes - RJ,557462,27769,20074.98
2020,3303856,Paty do Alferes - RJ,639645,27858,22960.91
2021,3303856,Paty do Alferes - RJ,684851,27942,24509.73
2002,3303906,Petrópolis - RJ,2854461,293074,9739.73
2003,3303906,Petrópolis - RJ,2962578,296108,10005.06
2004,3303906,Petrópolis - RJ,3206301,302477,10600.15
2005,3303906,Petrópolis - RJ,3642394,306002,11903.17
2006,3303906,Petrópolis - RJ,4410371,310216,14217.10
2008,3303906,Petrópolis - RJ,5655397,312766,18081.88
2009,3303906,Petrópolis - RJ,6887228,315119,21855.96
2011,3303906,Petrópolis - RJ,9287903,296565,31318.27
2012,3303906,Petrópolis - RJ,9981675,297192,33586.62
2013,3303906,Petrópolis - RJ,9501646,297888,31896.71
2014,3303906,Petrópolis - RJ,11070793,298017,37148.19
2015,3303906,Petrópolis - RJ,11497016,298142,38562.22
2016,3303906,Petrópolis - RJ,12693830,298158,42574.17
2017,3303906,Petrópolis - RJ,12817939,298235,42979.33
2018,3303906,Petrópolis - RJ,12761259,305687,41746.16
2019,3303906,Petrópolis - RJ,13662993,306191,44622.45
2020,3303906,Petrópolis - RJ,15388292,306678,50177.36
2021,3303906,Petrópolis - RJ,15665370,307144,51003.34
2002,3303955,Pinheiral - RJ,87510,20487,4271.49
2003,3303955,Pinheiral - RJ,93564,20954,4465.21
2004,3303955,Pinheiral - RJ,108727,21933,4957.23
2005,3303955,Pinheiral - RJ,115969,22476,5159.68
2006,3303955,Pinheiral - RJ,127402,23014,5535.85
2008,3303955,Pinheiral - RJ,174889,22129,7903.16
2009,3303955,Pinheiral - RJ,177427,22382,7927.22
2011,3303955,Pinheiral - RJ,224940,22968,9793.63
2012,3303955,Pinheiral - RJ,245452,23208,10576.18
2013,3303955,Pinheiral - RJ,277742,23488,11824.85
2014,3303955,Pinheiral - RJ,294415,23691,12427.29
2015,3303955,Pinheiral - RJ,325219,23887,13614.90
2016,3303955,Pinheiral - RJ,382103,24076,15870.70
2017,3303955,Pinheiral - RJ,409247,24282,16853.92
2018,3303955,Pinheiral - RJ,526633,24941,21115.15
2019,3303955,Pinheiral - RJ,716240,25156,28471.94
2020,3303955,Pinheiral - RJ,777071,25364,30636.77
2021,3303955,Pinheiral - RJ,1452638,25563,56825.80
2002,3304003,Piraí - RJ,374270,22757,16446.37
2003,3304003,Piraí - RJ,482703,23054,20937.93
2004,3304003,Piraí - RJ,626803,23676,26474.19
2005,3304003,Piraí - RJ,610489,24021,25414.80
2006,3304003,Piraí - RJ,679152,24363,27876.37
2008,3304003,Piraí - RJ,793044,25762,30783.48
2009,3304003,Piraí - RJ,931169,26114,35657.85
2011,3304003,Piraí - RJ,1063179,26637,39913.62
2012,3304003,Piraí - RJ,1424869,26948,52874.76
2013,3304003,Piraí - RJ,1578737,27311,57805.90
2014,3304003,Piraí - RJ,1563986,27579,56709.31
2015,3304003,Piraí - RJ,1745385,27838,62697.93
2016,3304003,Piraí - RJ,1981325,28088,70539.91
2017,3304003,Piraí - RJ,1858360,28222,65847.92
2018,3304003,Piraí - RJ,1886912,28999,65068.17
2019,3304003,Piraí - RJ,2231565,29277,76222.46
2020,3304003,Piraí - RJ,2612517,29545,88425.01
2021,3304003,Piraí - RJ,2449973,29802,82208.34
2002,3304102,Porciúncula - RJ,80358,16245,4946.63
2003,3304102,Porciúncula - RJ,96576,16381,5895.61
2004,3304102,Porciúncula - RJ,143629,16666,8618.08
2005,3304102,Porciúncula - RJ,113531,16823,6748.56
2006,3304102,Porciúncula - RJ,130839,16980,7705.48
2008,3304102,Porciúncula - RJ,199928,18227,10968.78
2009,3304102,Porciúncula - RJ,201524,18444,10926.26
2011,3304102,Porciúncula - RJ,214953,17899,12009.22
2012,3304102,Porciúncula - RJ,231837,18034,12855.55
2013,3304102,Porciúncula - RJ,263140,18188,14467.78
2014,3304102,Porciúncula - RJ,271679,18293,14851.53
2015,3304102,Porciúncula - RJ,315757,18059,17484.74
2016,3304102,Porciúncula - RJ,317558,18156,17490.53
2017,3304102,Porciúncula - RJ,334102,18248,18308.97
2018,3304102,Porciúncula - RJ,350147,18730,18694.45
2019,3304102,Porciúncula - RJ,348627,18847,18497.74
2020,3304102,Porciúncula - RJ,417428,18960,22016.24
2021,3304102,Porciúncula - RJ,415943,19068,21813.67
2002,3304110,Porto Real - RJ,952266,13010,73194.93
2003,3304110,Porto Real - RJ,1251406,13435,93145.22
2004,3304110,Porto Real - RJ,2049477,14326,143059.96
2005,3304110,Porto Real - RJ,1779930,14820,120103.24
2006,3304110,Porto Real - RJ,1846948,15309,120644.59
2008,3304110,Porto Real - RJ,4034105,15879,254052.84
2009,3304110,Porto Real - RJ,3815676,16253,234767.49
2011,3304110,Porto Real - RJ,4546258,16938,268405.83
2012,3304110,Porto Real - RJ,4048765,17272,234412.05
2013,3304110,Porto Real - RJ,4512728,17663,255490.46
2014,3304110,Porto Real - RJ,3097650,17970,172378.96
2015,3304110,Porto Real - RJ,2804597,18266,153541.94
2016,3304110,Porto Real - RJ,2555768,18552,137762.40
2017,3304110,Porto Real - RJ,2858922,18829,151836.10
2018,3304110,Porto Real - RJ,2894247,19381,149334.24
2019,3304110,Porto Real - RJ,2424736,19683,123189.35
2020,3304110,Porto Real - RJ,2433344,19974,121825.57
2021,3304110,Porto Real - RJ,4245725,20254,209624.02
2002,3304128,Quatis - RJ,79071,11143,7096.02
2003,3304128,Quatis - RJ,106109,11335,9361.18
2004,3304128,Quatis - RJ,504732,11738,42999.83
2005,3304128,Quatis - RJ,190062,11960,15891.47
2006,3304128,Quatis - RJ,123179,12182,10111.56
2008,3304128,Quatis - RJ,212460,12923,16440.46
2009,3304128,Quatis - RJ,238879,13137,18183.68
2011,3304128,Quatis - RJ,280229,12952,21635.96
2012,3304128,Quatis - RJ,251482,13105,19189.77
2013,3304128,Quatis - RJ,261053,13283,19653.17
2014,3304128,Quatis - RJ,264162,13415,19691.54
2015,3304128,Quatis - RJ,243645,13543,17990.47
2016,3304128,Quatis - RJ,248237,13666,18164.57
2017,3304128,Quatis - RJ,255484,13785,18533.48
2018,3304128,Quatis - RJ,265051,14165,18711.68
2019,3304128,Quatis - RJ,277991,14302,19437.21
2020,3304128,Quatis - RJ,314017,14435,21753.86
2021,3304128,Quatis - RJ,305010,14562,20945.61
2002,3304144,Queimados - RJ,792104,126868,6243.53
2003,3304144,Queimados - RJ,814767,129131,6309.62
2004,3304144,Queimados - RJ,930677,133881,6951.52
2005,3304144,Queimados - RJ,865695,136509,6341.67
2006,3304144,Queimados - RJ,957258,139118,6880.91
2008,3304144,Queimados - RJ,1179364,137870,8554.17
2009,3304144,Queimados - RJ,1386774,139378,9949.73
2011,3304144,Queimados - RJ,2316167,139188,16640.57
2012,3304144,Queimados - RJ,3060380,140374,21801.62
2013,3304144,Queimados - RJ,3669775,141753,25888.52
2014,3304144,Queimados - RJ,3925114,142709,27504.32
2015,3304144,Queimados - RJ,4900734,143632,34120.07
2016,3304144,Queimados - RJ,4668405,144525,32301.71
2017,3304144,Queimados - RJ,3704985,145386,25483.78
2018,3304144,Queimados - RJ,3627917,149265,24305.21
2019,3304144,Queimados - RJ,3877125,150319,25792.65
2020,3304144,Queimados - RJ,3851232,151335,25448.39
2021,3304144,Queimados - RJ,4361684,152311,28636.70
2002,3304151,Quissamã - RJ,1475885,14349,102856.30
2003,3304151,Quissamã - RJ,1808932,14662,123375.53
2004,3304151,Quissamã - RJ,2081145,15319,135853.84
2005,3304151,Quissamã - RJ,2608703,15683,166339.54
2006,3304151,Quissamã - RJ,3722112,16044,231994.02
2008,3304151,Quissamã - RJ,5628250,19315,291392.70
2009,3304151,Quissamã - RJ,3260181,19878,164009.51
2011,3304151,Quissamã - RJ,4529790,20747,218334.70
2012,3304151,Quissamã - RJ,5467885,21234,257506.12
2013,3304151,Quissamã - RJ,4850482,21806,222437.95
2014,3304151,Quissamã - RJ,4574472,22261,205492.66
2015,3304151,Quissamã - RJ,2412852,22700,106293.04
2016,3304151,Quissamã - RJ,995115,23125,43032.00
2017,3304151,Quissamã - RJ,1445640,23535,61425.11
2018,3304151,Quissamã - RJ,2471196,24246,101921.80
2019,3304151,Quissamã - RJ,3822545,24700,154758.91
2020,3304151,Quissamã - RJ,3047661,25126,121295.11
2021,3304151,Quissamã - RJ,5996886,25535,234849.66
2002,3304201,Resende - RJ,1511570,108870,13884.17
2003,3304201,Resende - RJ,1980278,110876,17860.29
2004,3304201,Resende - RJ,2634038,115086,22887.56
2005,3304201,Resende - RJ,2487591,117416,21186.13
2006,3304201,Resende - RJ,2653043,119729,22158.73
2008,3304201,Resende - RJ,4392660,127763,34381.32
2009,3304201,Resende - RJ,3830880,130035,29460.38
2011,3304201,Resende - RJ,6020006,120938,49777.62
2012,3304201,Resende - RJ,6905838,122068,56573.70
2013,3304201,Resende - RJ,9003959,123385,72974.50
2014,3304201,Resende - RJ,7757843,124316,62404.22
2015,3304201,Resende - RJ,6383742,125214,50982.65
2016,3304201,Resende - RJ,6332463,126084,50224.16
2017,3304201,Resende - RJ,7735583,126923,60947.05
2018,3304201,Resende - RJ,8471496,130334,64998.36
2019,3304201,Resende - RJ,8565370,131341,65214.75
2020,3304201,Resende - RJ,8123187,132312,61394.18
2021,3304201,Resende - RJ,10754357,133244,80711.75
2002,3304300,Rio Bonito - RJ,448271,50644,8851.41
2003,3304300,Rio Bonito - RJ,604160,51087,11826.10
2004,3304300,Rio Bonito - RJ,737175,52015,14172.35
2005,3304300,Rio Bonito - RJ,854184,52529,16261.19
2006,3304300,Rio Bonito - RJ,852511,53039,16073.29
2008,3304300,Rio Bonito - RJ,921529,54596,16879.06
2009,3304300,Rio Bonito - RJ,1070537,55051,19446.28
2011,3304300,Rio Bonito - RJ,1212396,56001,21649.54
2012,3304300,Rio Bonito - RJ,1310262,56436,23216.78
2013,3304300,Rio Bonito - RJ,1361919,56942,23917.65
2014,3304300,Rio Bonito - RJ,1491127,57284,26030.43
2015,3304300,Rio Bonito - RJ,1483972,57615,25756.70
2016,3304300,Rio Bonito - RJ,1543308,57963,26625.74
2017,3304300,Rio Bonito - RJ,1600886,58272,27472.65
2018,3304300,Rio Bonito - RJ,1663589,59814,27812.70
2019,3304300,Rio Bonito - RJ,1555794,60201,25843.32
2020,3304300,Rio Bonito - RJ,1730819,60573,28574.10
2021,3304300,Rio Bonito - RJ,1831391,60930,30057.30
2002,3304409,Rio Claro - RJ,84826,16767,5059.10
2003,3304409,Rio Claro - RJ,88617,17018,5207.25
2004,3304409,Rio Claro - RJ,101690,17543,5796.61
2005,3304409,Rio Claro - RJ,105725,17834,5928.28
2006,3304409,Rio Claro - RJ,113541,18122,6265.37
2008,3304409,Rio Claro - RJ,165683,18181,9112.98
2009,3304409,Rio Claro - RJ,187201,18366,10192.80
2011,3304409,Rio Claro - RJ,211522,17517,12075.24
2012,3304409,Rio Claro - RJ,224730,17606,12764.40
2013,3304409,Rio Claro - RJ,289025,17709,16320.80
2014,3304409,Rio Claro - RJ,297151,17768,16723.94
2015,3304409,Rio Claro - RJ,325951,17826,18285.15
2016,3304409,Rio Claro - RJ,334235,17850,18724.65
2017,3304409,Rio Claro - RJ,359021,17988,19958.92
2018,3304409,Rio Claro - RJ,401562,18451,21763.70
2019,3304409,Rio Claro - RJ,390420,18529,21070.75
2020,3304409,Rio Claro - RJ,469707,18605,25246.28
2021,3304409,Rio Claro - RJ,435959,18677,23342.02
2002,3304508,Rio das Flores - RJ,114689,7872,14569.23
2003,3304508,Rio das Flores - RJ,172578,7987,21607.36
2004,3304508,Rio das Flores - RJ,210562,8227,25594.02
2005,3304508,Rio das Flores - RJ,159168,8361,19036.96
2006,3304508,Rio das Flores - RJ,160231,8493,18866.24
2008,3304508,Rio das Flores - RJ,225897,8686,26007.02
2009,3304508,Rio das Flores - RJ,313875,8787,35720.38
2011,3304508,Rio das Flores - RJ,374739,8633,43407.74
2012,3304508,Rio das Flores - RJ,178298,8703,20486.96
2013,3304508,Rio das Flores - RJ,170263,8783,19385.52
2014,3304508,Rio das Flores - RJ,177114,8838,20040.05
2015,3304508,Rio das Flores - RJ,182359,8892,20508.21
2016,3304508,Rio das Flores - RJ,256668,8943,28700.44
2017,3304508,Rio das Flores - RJ,243838,8984,27141.36
2018,3304508,Rio das Flores - RJ,205351,9222,22267.51
2019,3304508,Rio das Flores - RJ,218301,9284,23513.68
2020,3304508,Rio das Flores - RJ,275517,9344,29485.98
2021,3304508,Rio das Flores - RJ,294384,9401,31314.12
2002,3304524,Rio das Ostras - RJ,4026865,40248,100051.31
2003,3304524,Rio das Ostras - RJ,4528681,42024,107764.16
2004,3304524,Rio das Ostras - RJ,5117014,45755,111835.08
2005,3304524,Rio das Ostras - RJ,7841393,47819,163980.70
2006,3304524,Rio das Ostras - RJ,9127760,49868,183038.42
2008,3304524,Rio das Ostras - RJ,10037034,91085,110194.15
2009,3304524,Rio das Ostras - RJ,7667138,96622,79351.89
2011,3304524,Rio das Ostras - RJ,12516380,110992,112768.31
2012,3304524,Rio das Ostras - RJ,14917410,116134,128449.98
2013,3304524,Rio das Ostras - RJ,14893638,122196,121883.19
2014,3304524,Rio das Ostras - RJ,14336159,127171,112731.35
2015,3304524,Rio das Ostras - RJ,8716421,131976,66045.50
2016,3304524,Rio das Ostras - RJ,4888905,136626,35783.12
2017,3304524,Rio das Ostras - RJ,5602589,141117,39701.73
2018,3304524,Rio das Ostras - RJ,8591344,145989,58849.26
2019,3304524,Rio das Ostras - RJ,7745325,150674,51404.52
2020,3304524,Rio das Ostras - RJ,6342613,155193,40869.20
2021,3304524,Rio das Ostras - RJ,8948996,159529,56096.36
2002,3304557,Rio de Janeiro - RJ,94302738,5937253,15883.23
2003,3304557,Rio de Janeiro - RJ,99307638,5974081,16623.08
2004,3304557,Rio de Janeiro - RJ,118557612,6051399,19591.77
2005,3304557,Rio de Janeiro - RJ,123338521,6094183,20238.73
2006,3304557,Rio de Janeiro - RJ,132586054,6136652,21605.60
2008,3304557,Rio de Janeiro - RJ,162937567,6161047,26446.41
2009,3304557,Rio de Janeiro - RJ,187409801,6186710,30292.32
2011,3304557,Rio de Janeiro - RJ,229567799,6355949,36118.57
2012,3304557,Rio de Janeiro - RJ,253200785,6390290,39622.74
2013,3304557,Rio de Janeiro - RJ,284299248,6429923,44215.03
2014,3304557,Rio de Janeiro - RJ,300270152,6453682,46526.95
2015,3304557,Rio de Janeiro - RJ,320186615,6476631,49437.22
2016,3304557,Rio de Janeiro - RJ,328440481,6498837,50538.35
2017,3304557,Rio de Janeiro - RJ,337675255,6520266,51788.57
2018,3304557,Rio de Janeiro - RJ,363403233,6688927,54329.08
2019,3304557,Rio de Janeiro - RJ,354932611,6718903,52825.98
2020,3304557,Rio de Janeiro - RJ,331471515,6747815,49122.79
2021,3304557,Rio de Janeiro - RJ,359632648,6775561,53077.91
2002,3304607,Santa Maria Madalena - RJ,65514,10397,6301.24
2003,3304607,Santa Maria Madalena - RJ,64885,10361,6262.43
2004,3304607,Santa Maria Madalena - RJ,71213,10284,6924.64
2005,3304607,Santa Maria Madalena - RJ,68809,10242,6718.32
2006,3304607,Santa Maria Madalena - RJ,77425,10200,7590.69
2008,3304607,Santa Maria Madalena - RJ,101373,10756,9424.79
2009,3304607,Santa Maria Madalena - RJ,134277,10775,12461.90
2011,3304607,Santa Maria Madalena - RJ,119243,10310,11565.76
2012,3304607,Santa Maria Madalena - RJ,136201,10298,13225.97
2013,3304607,Santa Maria Madalena - RJ,149431,10282,14533.26
2014,3304607,Santa Maria Madalena - RJ,159233,10253,15530.38
2015,3304607,Santa Maria Madalena - RJ,156610,10225,15316.38
2016,3304607,Santa Maria Madalena - RJ,168832,10198,16555.40
2017,3304607,Santa Maria Madalena - RJ,173484,10172,17055.05
2018,3304607,Santa Maria Madalena - RJ,181395,10417,17413.36
2019,3304607,Santa Maria Madalena - RJ,189002,10404,18166.28
2020,3304607,Santa Maria Madalena - RJ,212259,10392,20425.23
2021,3304607,Santa Maria Madalena - RJ,234575,10380,22598.75
2002,3304706,Santo Antônio de Pádua - RJ,224959,39829,5648.12
2003,3304706,Santo Antônio de Pádua - RJ,245298,40357,6078.20
2004,3304706,Santo Antônio de Pádua - RJ,275290,41465,6639.09
2005,3304706,Santo Antônio de Pádua - RJ,309244,42078,7349.30
2006,3304706,Santo Antônio de Pádua - RJ,344704,42686,8075.34
2008,3304706,Santo Antônio de Pádua - RJ,487914,42093,11591.33
2009,3304706,Santo Antônio de Pádua - RJ,532365,42405,12554.30
2011,3304706,Santo Antônio de Pádua - RJ,640121,40735,15714.28
2012,3304706,Santo Antônio de Pádua - RJ,742666,40876,18168.75
2013,3304706,Santo Antônio de Pádua - RJ,867903,41035,21150.31
2014,3304706,Santo Antônio de Pádua - RJ,924938,41108,22500.19
2015,3304706,Santo Antônio de Pádua - RJ,1031526,41178,25050.42
2016,3304706,Santo Antônio de Pádua - RJ,1077169,41246,26115.72
2017,3304706,Santo Antônio de Pádua - RJ,1049780,41312,25411.02
2018,3304706,Santo Antônio de Pádua - RJ,1112973,42359,26274.77
2019,3304706,Santo Antônio de Pádua - RJ,1158143,42479,27263.90
2020,3304706,Santo Antônio de Pádua - RJ,1195427,42594,28065.62
2021,3304706,Santo Antônio de Pádua - RJ,1284632,42705,30081.54
2002,3304755,São Francisco de Itabapoana - RJ,193959,42783,4533.55
2003,3304755,São Francisco de Itabapoana - RJ,199634,43544,4584.65
2004,3304755,São Francisco de Itabapoana - RJ,234374,45140,5192.16
2005,3304755,São Francisco de Itabapoana - RJ,263131,46024,5717.26
2006,3304755,São Francisco de Itabapoana - RJ,294610,46900,6281.66
2008,3304755,São Francisco de Itabapoana - RJ,417421,47247,8834.87
2009,3304755,São Francisco de Itabapoana - RJ,462944,47832,9678.54
2011,3304755,São Francisco de Itabapoana - RJ,600231,41371,14508.50
2012,3304755,São Francisco de Itabapoana - RJ,1024441,41386,24753.32
2013,3304755,São Francisco de Itabapoana - RJ,1368577,41397,33059.81
2014,3304755,São Francisco de Itabapoana - RJ,1002625,41343,24251.38
2015,3304755,São Francisco de Itabapoana - RJ,910098,41291,22041.07
2016,3304755,São Francisco de Itabapoana - RJ,956780,41240,23200.29
2017,3304755,São Francisco de Itabapoana - RJ,939797,41191,22815.59
2018,3304755,São Francisco de Itabapoana - RJ,1023335,42201,24249.07
2019,3304755,São Francisco de Itabapoana - RJ,1013581,42205,24015.66
2020,3304755,São Francisco de Itabapoana - RJ,1245619,42210,29510.05
2021,3304755,São Francisco de Itabapoana - RJ,1184513,42214,28059.72
2002,3304805,São Fidélis - RJ,218200,37254,5857.09
2003,3304805,São Fidélis - RJ,208890,37469,5575.01
2004,3304805,São Fidélis - RJ,271377,37922,7156.19
2005,3304805,São Fidélis - RJ,272665,38172,7143.06
2006,3304805,São Fidélis - RJ,286155,38421,7447.88
2008,3304805,São Fidélis - RJ,403979,39057,10343.32
2009,3304805,São Fidélis - RJ,358226,39256,9125.38
2011,3304805,São Fidélis - RJ,477681,37601,12703.94
2012,3304805,São Fidélis - RJ,610938,37657,16223.76
2013,3304805,São Fidélis - RJ,601875,37717,15957.66
2014,3304805,São Fidélis - RJ,676774,37710,17946.80
2015,3304805,São Fidélis - RJ,716979,37703,19016.50
2016,3304805,São Fidélis - RJ,729989,37696,19365.16
2017,3304805,São Fidélis - RJ,669862,37689,17773.41
2018,3304805,São Fidélis - RJ,695121,38626,17996.19
2019,3304805,São Fidélis - RJ,751081,38669,19423.34
2020,3304805,São Fidélis - RJ,800639,38710,20683.00
2021,3304805,São Fidélis - RJ,845178,38749,21811.61
2002,3304904,São Gonçalo - RJ,4614212,914534,5045.42
2003,3304904,São Gonçalo - RJ,5063762,925402,5471.96
2004,3304904,São Gonçalo - RJ,5776984,948216,6092.48
2005,3304904,São Gonçalo - RJ,5917110,960841,6158.26
2006,3304904,São Gonçalo - RJ,6526561,973372,6705.10
2008,3304904,São Gonçalo - RJ,7754880,982832,7890.34
2009,3304904,São Gonçalo - RJ,8968781,991382,9046.75
2011,3304904,São Gonçalo - RJ,11428471,1008065,11337.04
2012,3304904,São Gonçalo - RJ,12357811,1016128,12161.67
2013,3304904,São Gonçalo - RJ,13943168,1025507,13596.37
2014,3304904,São Gonçalo - RJ,15527350,1031903,15047.30
2015,3304904,São Gonçalo - RJ,16639685,1038081,16029.27
2016,3304904,São Gonçalo - RJ,16903510,1044058,16190.20
2017,3304904,São Gonçalo - RJ,17228897,1049826,16411.19
2018,3304904,São Gonçalo - RJ,18554621,1077687,17217.08
2019,3304904,São Gonçalo - RJ,18368097,1084839,16931.63
2020,3304904,São Gonçalo - RJ,19009507,1091737,17412.17
2021,3304904,São Gonçalo - RJ,20324752,1098357,18504.69
2002,3305000,São João da Barra - RJ,192586,27993,6879.79
2003,3305000,São João da Barra - RJ,677423,28138,24075.02
2004,3305000,São João da Barra - RJ,855804,28441,30090.50
2005,3305000,São João da Barra - RJ,1026166,28609,35868.64
2006,3305000,São João da Barra - RJ,1302539,28775,45266.34
2008,3305000,São João da Barra - RJ,4264896,30348,140533.02
2009,3305000,São João da Barra - RJ,3728763,30595,121874.91
2011,3305000,São João da Barra - RJ,9081763,33136,274075.42
2012,3305000,São João da Barra - RJ,7016927,33512,209385.50
2013,3305000,São João da Barra - RJ,7239582,33951,213236.19
2014,3305000,São João da Barra - RJ,8844406,34273,258057.54
2015,3305000,São João da Barra - RJ,7310408,34583,211387.33
2016,3305000,São João da Barra - RJ,3890155,34884,111516.88
2017,3305000,São João da Barra - RJ,4693340,35174,133432.08
2018,3305000,São João da Barra - RJ,7204709,36138,199366.57
2019,3305000,São João da Barra - RJ,7968880,36102,220732.37
2020,3305000,São João da Barra - RJ,6463427,36423,177454.55
2021,3305000,São João da Barra - RJ,9886849,36731,269169.07
2002,3305109,São João de Meriti - RJ,2244410,454463,4938.60
2003,3305109,São João de Meriti - RJ,2387331,456778,5226.46
2004,3305109,São João de Meriti - RJ,2592684,461638,5616.27
2005,3305109,São João de Meriti - RJ,2828092,464327,6090.73
2006,3305109,São João de Meriti - RJ,3111539,466996,6662.88
2008,3305109,São João de Meriti - RJ,3775940,468309,8062.92
2009,3305109,São João de Meriti - RJ,4381896,469827,9326.62
2011,3305109,São João de Meriti - RJ,6893914,459379,15007.03
2012,3305109,São João de Meriti - RJ,5987481,460062,13014.51
2013,3305109,São João de Meriti - RJ,6545532,460799,14204.74
2014,3305109,São João de Meriti - RJ,7253960,460711,15745.14
2015,3305109,São João de Meriti - RJ,9085882,460625,19725.12
2016,3305109,São João de Meriti - RJ,9405814,460541,20423.40
2017,3305109,São João de Meriti - RJ,9196061,460461,19971.42
2018,3305109,São João de Meriti - RJ,9319208,471888,19748.77
2019,3305109,São João de Meriti - RJ,9746519,472406,20631.66
2020,3305109,São João de Meriti - RJ,9112402,472906,19268.95
2021,3305109,São João de Meriti - RJ,8963716,473385,18935.36
2002,3305133,São José de Ubá - RJ,36131,6506,5553.49
2003,3305133,São José de Ubá - RJ,36403,6549,5558.56
2004,3305133,São José de Ubá - RJ,44525,6639,6706.58
2005,3305133,São José de Ubá - RJ,58589,6689,8759.01
2006,3305133,São José de Ubá - RJ,58518,6738,8684.77
2008,3305133,São José de Ubá - RJ,100351,7220,13899.03
2009,3305133,São José de Ubá - RJ,84441,7297,11572.02
2011,3305133,São José de Ubá - RJ,123695,7049,17547.88
2012,3305133,São José de Ubá - RJ,129201,7093,18215.28
2013,3305133,São José de Ubá - RJ,125853,7143,17619.07
2014,3305133,São José de Ubá - RJ,168769,7175,23521.81
2015,3305133,São José de Ubá - RJ,178968,7206,24835.97
2016,3305133,São José de Ubá - RJ,182164,7236,25174.68
2017,3305133,São José de Ubá - RJ,159812,6953,22984.61
2018,3305133,São José de Ubá - RJ,204869,7134,28717.27
2019,3305133,São José de Ubá - RJ,179374,7171,25013.81
2020,3305133,São José de Ubá - RJ,169063,7206,23461.42
2021,3305133,São José de Ubá - RJ,196857,7240,27190.19
2002,3305158,São José do Vale do Rio Preto - RJ,210866,20079,10501.82
2003,3305158,São José do Vale do Rio Preto - RJ,238962,20450,11685.18
2004,3305158,São José do Vale do Rio Preto - RJ,274922,21231,12949.08
2005,3305158,São José do Vale do Rio Preto - RJ,274594,21662,12676.30
2006,3305158,São José do Vale do Rio Preto - RJ,292872,21375,13701.61
2008,3305158,São José do Vale do Rio Preto - RJ,400523,20412,19621.94
2009,3305158,São José do Vale do Rio Preto - RJ,497218,20574,24167.30
2011,3305158,São José do Vale do Rio Preto - RJ,429996,20398,21080.30
2012,3305158,São José do Vale do Rio Preto - RJ,282063,20540,13732.38
2013,3305158,São José do Vale do Rio Preto - RJ,338479,20704,16348.48
2014,3305158,São José do Vale do Rio Preto - RJ,343377,20812,16498.99
2015,3305158,São José do Vale do Rio Preto - RJ,397748,20916,19016.45
2016,3305158,São José do Vale do Rio Preto - RJ,452906,21017,21549.51
2017,3305158,São José do Vale do Rio Preto - RJ,452015,21114,21408.31
2018,3305158,São José do Vale do Rio Preto - RJ,532224,21670,24560.41
2019,3305158,São José do Vale do Rio Preto - RJ,544438,21795,24979.95
2020,3305158,São José do Vale do Rio Preto - RJ,700757,21916,31974.68
2021,3305158,São José do Vale do Rio Preto - RJ,744334,22032,33784.22
2002,3305208,São Pedro da Aldeia - RJ,339406,67494,5028.68
2003,3305208,São Pedro da Aldeia - RJ,363884,69474,5237.70
2004,3305208,São Pedro da Aldeia - RJ,412843,73632,5606.84
2005,3305208,São Pedro da Aldeia - RJ,491420,76414,6431.02
2006,3305208,São Pedro da Aldeia - RJ,518317,78717,6584.56
2008,3305208,São Pedro da Aldeia - RJ,604606,82951,7288.71
2009,3305208,São Pedro da Aldeia - RJ,817208,84866,9629.39
2011,3305208,São Pedro da Aldeia - RJ,1074129,89739,11969.48
2012,3305208,São Pedro da Aldeia - RJ,1245547,91542,13606.29
2013,3305208,São Pedro da Aldeia - RJ,1452297,93659,15506.22
2014,3305208,São Pedro da Aldeia - RJ,1779711,95318,18671.30
2015,3305208,São Pedro da Aldeia - RJ,1958302,96920,20205.34
2016,3305208,São Pedro da Aldeia - RJ,2036820,98470,20684.68
2017,3305208,São Pedro da Aldeia - RJ,2159191,99906,21612.23
