ano,id_municipio,Município,Sigla UF,População Total Residente,População Rural Residente,População Urbana Residente,População total atendida com abastecimento de água,População urbana atendida com rede de abastecimento de água,Atendimento da população urbana com rede de abastecimento de água,Atendimento da população total com rede de abastecimento de água,População total atendida com esgotamento sanitário,População urbana atendida com rede de esgotamento sanitário,Extensão de rede de distribuição de água,Extensão da rede pública de esgotamento sanitário,Quantidade de ligações ativas de água,Quantidade de ligações ativas de esgoto,Volume de água produzido,Volume de água tratada em ETAs,Volume de água consumido,Volume de água tratada por simples desinfecção,Volume de água tratada importado,Volume de água tratada exportado,Volume de água fluoretada,Extensão de rede de distribuição de água.1,Volume total de esgoto coletado,Volume total de esgoto tratado ,Volume total de esgoto bruto exportado ,Volume total de esgoto bruto importado para tratamento ,Extensão da rede pública de esgotamento sanitário.1,Atendimento da população urbana com rede coletora de esgoto,Esgoto tratado referido ao esgoto coletado,Perda na Distribuição de Água,Índice de Macromedição,Índice de Hidrometração,Investimento Total (prestador + município + estado),Investimento per Capita,Quantidade de domicílios totais,Quantidade de domicílios urbanos,Quantidade de domicílios rurais,Área do município,Cobertura da população total com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta de resíduos sólidos domiciliares,Cobertura da população rural com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta direta de resíduos sólidos,Cobertura da população total com coleta seletiva de resíduos sólidos,Cobertura da população urbana com coleta seletiva direta de resíduos sólidos,Incidência do transbordo de resíduos sólidos urbanos,Capacidade média utilizada dos veículos motorizados na coleta de RSU,Quantidade média de pontos de entrega voluntária (PEV) de recicláveis por mil habitantes,Massa média per capita de resíduos sólidos urbanos coletados,Massa média per capita de resíduos sólidos domiciliares coletados,Massa média per capita de resíduos de limpeza urbana coletados,Massa média per capita de resíduos domiciliares coletados na coleta seletiva,Massa média per capita de resíduos domiciliares secos e orgânicos recuperados,Desempenho da coleta seletiva,Disposição final inadequada de resíduos sólidos urbanos,Recuperação de recicláveis secos em relação à composição gravimétrica,Recuperação de recicláveis orgânicos em relação à composição gravimétrica,Recuperação de recicláveis secos e orgânicos em relação ao total coletado,Recuperação de recicláveis secos em relação ao total coletado,Recuperação de recicláveis orgânicos em relação ao total coletado
2024,3300605,Bom Jesus do Itabapoana,RJ,35896,5559,30337,,30916.0,93.26,93.26,,,,,9247.0,,2988.66,2989.0,1604.0,0.0,0.0,0.0,0.0,73.38,,,,,,,,45.71,0.0,95.24,,,17852.0,16043.0,1809.0,596.66,80.73,78.39,100.0,78.39,0.0,0.0,0.0,1112.3,0.3,1.31,0.7,0.83,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3300704,Cabo Frio,RJ,204486,50226,154260,213321.0,232283.0,98.0,98.0,213321.0,213321.0,92.49,52.6,92971.0,92971.0,21710.77,21711.0,11073.0,0.0,0.0,0.0,21710.77,1429.83,11831.0,11831.0,0.0,0.0,52.6,90.0,100.0,25.35,104.68,98.76,,,161490.0,160714.0,776.0,413.45,80.3,80.21,100.0,57.14,0.0,0.0,0.0,870.83,0.0,1.62,1.44,0.47,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3300803,Cachoeiras de Macacu,RJ,55967,7558,48409,,43882.0,86.97,85.4,,,73.38,,18085.0,,27287.0,0.0,2243.0,27287.0,0.0,965.0,0.0,266.0,,,,,,,,88.24,0.0,45.82,,,31730.0,26755.0,4975.0,954.75,100.0,100.0,100.0,99.0,0.0,0.0,0.0,1548.33,0.08,0.43,0.18,0.29,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3300902,Cambuci,RJ,14849,3540,11309,,12375.0,100.0,100.0,,,1429.83,,4841.0,,1004.0,909.0,853.0,95.0,254.0,0.0,909.0,69.0,,,,,,,,31.08,79.81,84.6,,,7843.0,6441.0,1402.0,558.28,,,,,,,,,,,,,,,,,,,,,
2024,3300936,Carapebus,RJ,14713,3103,11610,2150.0,5357.0,45.73,28.23,2150.0,2150.0,266.0,7.95,1519.0,640.0,301.14,301.0,202.0,0.0,0.0,0.0,0.0,27.07,82.0,82.0,0.0,0.0,7.95,18.35,100.0,25.08,100.0,94.85,,,7167.0,5798.0,1369.0,304.89,100.0,100.0,100.0,100.0,0.0,0.0,0.0,756.2,0.0,0.87,0.56,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,3300951,Comendador Levy Gasparian,RJ,8245,321,7924,8763.0,8763.0,100.0,100.0,8763.0,8763.0,69.0,32.0,3014.0,1168.0,972.36,855.0,888.0,0.0,0.0,0.0,0.0,45.0,468.0,0.0,0.0,0.0,32.0,100.0,0.0,8.47,1.03,99.94,,,3894.0,3761.0,133.0,108.64,96.89,100.0,0.0,100.0,0.0,0.0,0.0,864.95,0.0,0.52,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024,3301009,Campos dos Goytacazes,RJ,480648,46648,434000,486087.0,484635.0,99.81,99.9,486087.0,466939.0,27.07,1254.92,119690.0,101780.0,38908.0,38761.0,18429.0,147.0,0.0,0.0,38908.0,2026.0,14038.0,14038.0,0.0,0.0,1254.92,96.17,100.0,33.64,100.0,98.98,,,247537.0,231572.0,15965.0,4032.49,100.0,100.0,100.0,100.0,19.31,20.65,40.67,4434.13,0.02,1.33,0.55,0.84,10.16,8.24,0.98,0.0,0.01,0.0,0.33,0.33,0.0
2024,3301108,Cantagalo,RJ,19792,5797,13995,,17105.0,100.0,100.0,,,45.0,,5488.0,,499.0,436.0,1052.0,63.0,1103.0,0.0,436.0,63.0,,,,,,,,33.96,31.15,90.44,,,9685.0,8253.0,1432.0,747.21,91.97,100.0,44.45,100.0,85.54,100.0,0.0,591.25,1.0,0.32,0.33,0.03,1.84,1.43,1.43,93.31,,,1.04,1.04,0.0
2024,3301157,Cardoso Moreira,RJ,12578,3836,8742,,8569.0,89.69,89.69,,,2026.0,,3431.0,,979.15,979.0,409.0,0.0,0.0,0.0,0.0,81.0,,,,,,,,57.48,0.0,90.8,,,6600.0,4797.0,1803.0,522.6,71.28,100.0,0.0,100.0,0.0,0.0,0.0,1016.5,0.0,0.42,0.57,0.01,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2024,3301207,Carmo,RJ,39414,7611,31803,,13837.0,86.43,93.8,,,63.0,,5814.0,,2315.44,1587.0,1005.0,728.03,0.0,0.0,0.0,74.13,,,,,,,,48.63,94.77,67.01,,,8291.0,7512.0,779.0,305.75,93.09,100.0,29.13,100.0,90.25,100.0,0.0,649.73,0.0,0.6,0.64,0.01,27.14,18.7,11.23,100.0,0.11,0.0,7.68,7.68,0.0
