Ano,Codigo do IBGE,Município,Sigla UF,População Total Residente,População Urbana Residente,População total atendida com abastecimento de água,População urbana atendida com rede de abastecimento de água,Atendimento da população urbana com rede de abastecimento de água,Atendimento da população total com rede de abastecimento de água,População total atendida com esgotamento sanitário,População urbana atendida com rede de esgotamento sanitário,Extensão de rede de distribuição de água,Extensão da rede pública de esgotamento sanitário,Quantidade de ligações ativas de água,Quantidade de ligações ativas de esgoto,Volume de água produzido,Volume de água tratada em ETAs,Volume de água consumido,Volume de água tratada por simples desinfecção,Volume de água tratada importado,Volume de água tratada exportado,Volume de água fluoretada,Extensão de rede de distribuição de água,Volume total de esgoto coletado,Volume total de esgoto tratado ,Volume total de esgoto bruto exportado ,Volume total de esgoto bruto importado para tratamento ,Extensão da rede pública de esgotamento sanitário,Atendimento da população urbana com rede coletora de esgoto,Esgoto tratado referido ao esgoto coletado,Perda na Distribuição de Água,Índice de Macromedição,Índice de Hidrometração,Investimento Total (prestador + município + estado),Investimento per Capita,População Rural Residente,Quantidade de domicílios totais,Quantidade de domicílios urbanos,Quantidade de domicílios rurais,Área do município,Cobertura da população total com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta de resíduos sólidos domiciliares,Cobertura da população rural com coleta de resíduos sólidos domiciliares,Cobertura da população urbana com coleta direta de resíduos sólidos,Cobertura da população total com coleta seletiva de resíduos sólidos,Cobertura da população urbana com coleta seletiva direta de resíduos sólidos,Incidência do transbordo de resíduos sólidos urbanos,Capacidade média utilizada dos veículos motorizados na coleta de RSU,Quantidade média de pontos de entrega voluntária (PEV) de recicláveis por mil habitantes,Massa média per capita de resíduos sólidos urbanos coletados,Massa média per capita de resíduos sólidos domiciliares coletados,Massa média per capita de resíduos de limpeza urbana coletados,Massa média per capita de resíduos domiciliares coletados na coleta seletiva,Massa média per capita de resíduos domiciliares secos e orgânicos recuperados,Desempenho da coleta seletiva,Disposição final inadequada de resíduos sólidos urbanos,Recuperação de recicláveis secos em relação à composição gravimétrica,Recuperação de recicláveis orgânicos em relação à composição gravimétrica,Recuperação de recicláveis secos e orgânicos em relação ao total coletado,Recuperação de recicláveis secos em relação ao total coletado,Recuperação de recicláveis orgânicos em relação ao total coletado
2003,3304300,Rio Bonito,RJ,,33362,22764,22764,"68,20","44,56",,,61,,5692,,4684,3868,2196,816,0,0,0,"10,10",,,,,,,,"50,98","82,58","61,39",30175,"0,90",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3304409,Rio Claro,RJ,,12181,9241,9241,"75,90","54,30",,,28,,2498,,733,690,631,42,0,0,0,"10,70",,,,,,,,"9,47",0,"85,79",282635,"23,20",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3304524,Rio das Ostras,RJ,,39870,166,166,"0,40","0,40",,,38,,55,,156,156,156,0,0,0,0,"28,50",,,,,,,,0,0,"66,42",216,"0,01",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3304557,Rio de Janeiro,RJ,,5974081,6549113,6549113,100,100,4900097,4900097,9417,4171,735704,630879,1038670,940021,536077,98649,0,0,1038103,"12,40",402927,306693,,,"6,54","75,16","76,12","45,81","99,97","58,08",88296912,"14,78",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3304607,Santa Maria Madalena,RJ,,5469,3070,3070,"56,10","29,63",,,3,,858,,1060,0,222,1060,0,0,0,"3,50",,,,,,,,"79,06",0,"31,68",3750,"0,69",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3304706,Santo Antônio de Pádua,RJ,,30681,29777,29777,"97,10","73,78",,,41,,7866,,2997,2862,2421,135,8,0,0,"4,90",,,,,,,,"15,17",0,"68,94",37786,"1,23",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3304755,São Francisco de Itabapoana,RJ,,20349,14033,14033,69,"32,23",,,13,,4103,,1775,184,1058,1591,0,0,0,"3,10",,,,,,,,"40,06",0,"72,02",17102,"0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3304805,São Fidélis,RJ,,27003,25804,25804,"95,60","68,87",,,30,,6676,,3215,3215,125,0,0,0,0,"4,50",,,,,,,,"95,90",0,"74,93",32766,"1,21",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3304904,São Gonçalo,RJ,,925402,543603,543603,"58,70","58,74",15455,15455,360,426,101915,3037,158769,158769,100517,0,0,52664,0,"3,20",1259,11198,,,"135,17","2,63","889,22","33,17",100,"46,87",7403681,"8,00",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305000,São João da Barra,RJ,,19954,19954,19954,100,"70,91",,,122,,10703,,5171,1923,2600,3248,0,0,0,"11,10",,,,,,,,"48,72",0,"55,10",43037,"2,16",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305109,São João de Meriti,RJ,,456778,339976,339976,"74,40","74,43",20,20,492,188,60026,6,53685,53685,26771,0,0,0,53685,"7,70",3,0,,,"31.333,33","0,01",0,"47,36",100,"65,28",28474608,"62,34",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305133,São José de Ubá,RJ,,2375,2321,2321,"97,70","35,44",,,2,,620,,264,0,246,264,0,0,0,"3,20",,,,,,,,"6,82",0,"74,57",2853,"1,20",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305208,São Pedro da Aldeia,RJ,,57293,57786,57786,100,"83,18",4045,4045,276,"28,50",20737,1229,4449,4449,4014,0,3379,0,0,"13,40",366,366,,,"20,63","9,12",100,"46,91",100,"89,82","16.088.896,84","280,82",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305307,São Sebastião do Alto,RJ,,3751,3751,3751,100,"43,76",,,10,,1048,,560,97,258,463,0,0,0,"9,40",,,,,,,,"53,51",0,"95,95",4671,"1,25",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305406,Sapucaia,RJ,,12538,12538,12538,100,"70,88",,,13,,3443,,1150,1150,912,0,0,28,0,"3,80",,,,,,,,"16,25","-2,50","96,44",15989,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305505,Saquarema,RJ,,54737,51904,50890,93,"91,14",,,0,,5479,,0,0,854,0,0,0,0,"8,40",,,,,,,,,,"89,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305554,Seropédica,RJ,,55718,18525,18525,"33,30","26,44",,,80,,4399,,12904,0,1978,12904,0,0,12904,"18,20",,,,,,,,"84,67",100,"56,27",22612,"0,41",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305604,Silva Jardim,RJ,,14858,12263,9791,"65,90","55,17",3380,2700,0,31,1969,261,0,0,324,0,0,0,0,"8,80",51,51,,,"111,51","15,74",100,,,"93,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305703,Sumidouro,RJ,,2395,2395,2395,100,"16,47",,,8,,978,,275,275,241,0,0,0,0,"7,90",,,,,,,,"7,66",0,"95,36",4413,"1,84",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305752,Tanguá,RJ,,23899,3816,3816,16,"13,76",,,25,,1009,,860,860,378,0,0,0,0,"23,20",,,,,,,,"53,62",100,"10,76",4789,"0,20",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305802,Teresópolis,RJ,,119663,119663,119663,100,"83,43",,,280,,23156,,14930,14930,10295,0,0,0,0,"11,80",,,,,,,,"27,21",0,"91,63",180597,"1,51",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3305901,Trajano de Moraes,RJ,,3616,539,539,"14,90","5,47",,,8,,162,,284,284,34,0,0,0,0,"16,90",,,,,,,,"87,36",0,"46,55",662,"0,18",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3306156,Varre-Sai,RJ,,4250,2611,2611,"61,40","32,32",,,7,,741,,243,243,191,0,0,0,0,"9,20",,,,,,,,"16,96",0,"79,03",3202,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3306206,Vassouras,RJ,,20432,20432,20432,100,"63,23",,,97,,6058,,3338,3247,2032,91,0,0,0,"15,20",,,,,,,,"35,84",0,"82,21",32405,"1,59",,,,,,,,,,,,,,,,,,,,,,,,,,
2003,3306305,Volta Redonda,RJ,,248697,330390,330390,100,100,297311,297311,"827,80","691,80",63012,61174,29922,29922,18802,29922,0,1367,29922,"12,50",24517,2631,,,"11,13","140,62","10,73","32,43",100,"99,48",3918171,"15,75",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300100,Angra dos Reis,RJ,,130861,28505,28505,"21,80","20,88",,,37,,5842,,"3.269,65",0,2945,"3.269,65",0,0,0,"5,90",,,,,,,,"9,93",0,"23,20","81.051,47","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300159,Aperibé,RJ,,7589,8890,8890,100,"99,97",,,25,,2458,,632,599,598,0,0,0,0,"9,40",,,,,,,,"0,37",0,"88,31","25.320,84","3,34",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300209,Araruama,RJ,,86151,83492,80922,"93,90","87,88",,,430,,17873,,19623,19328,5705,0,0,1809,0,21,,,,,,,,"68,96","98,34","92,34","6.160.638,68","71,51",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300233,Armação dos Búzios,RJ,,22140,23477,23477,100,100,9391,9391,215,20,7758,,4489,4489,2270,0,0,0,0,"24,30",417,417,,,,"18,37",100,"49,43",100,"92,68","8.008.934,52","361,74",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300258,Arraial do Cabo,RJ,,25935,26661,26661,100,100,,,96,,3057,,1769,1769,895,0,0,0,0,"17,60",,,,,,,,"49,41",100,"88,47","1.544.638,81","59,56",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300308,Barra do Piraí,RJ,,89391,2561,,,"2,75",,,,,,,,,,,0,0,,,,,,,,,,,,,"6.584,24","0,07",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300407,Barra Mansa,RJ,,168758,168472,164530,"97,50","96,55",141998,138844,550,"121,40",31988,27709,10150,9975,6765,175,"1.982,40",0,9050,"14,60",6500,100,,,"4,19","96,08","1,54","44,22","83,66","96,83","982.084,83","5,82",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300456,Belford Roxo,RJ,,472325,270596,270596,"57,30","57,29",5015,5015,1405,20,50339,1500,"63.418,69",43293,23335,"20.126,07",0,0,"43.292,62","23,10",6559,6559,,,13,"28,11",100,"61,77",100,"59,80","23.838.464,59","50,47",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300506,Bom Jardim,RJ,,11835,11232,11232,"94,90","47,42",,,24,,2404,,"874,20",819,802,"55,59",0,0,0,"9,50",,,,,,,,"3,25",0,"99,98",32029,"2,71",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300605,Bom Jesus do Itabapoana,RJ,,29006,25055,25055,"86,40","70,39",,,56,,6681,,"3.633,79",3634,2062,0,0,0,0,"7,90",,,,,,,,"39,98",0,"72,93","67.122,94","2,31",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300704,Cabo Frio,RJ,,128776,135585,135585,100,"88,19",54234,54234,342,12,26738,,15472,15472,7825,0,0,0,0,"9,80",5288,5288,,,,"67,58",100,"49,42",100,"90,37","15.767.922,20","122,44",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300803,Cachoeiras de Macacu,RJ,,44739,5305,5305,"11,90","10,04",,,23,,1438,,"4.777,57",0,555,"4.777,57",0,0,0,"14,40",,,,,,,,"88,39",0,"12,80","13.449,37","0,30",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300902,Cambuci,RJ,,9818,11299,11299,100,"78,03",,,40,,3147,,"963,85",721,817,"242,86",0,0,0,12,,,,,,,,"11,64",0,"96,28","29.410,17","3,00",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3300936,Carapebus,RJ,,7894,3663,3663,"46,40","36,81",,,11,,1067,,"286,93",287,228,0,0,0,0,"9,30",,,,,,,,"15,84",0,"92,55","10.235,73","1,30",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301009,Campos dos Goytacazes,RJ,,378263,354000,354000,"93,60","83,74",135000,135000,974,220,69950,24512,23041,22296,14822,745,0,0,23041,"13,40",6519,296,,,"8,41","43,98","4,54","35,66",0,"92,92",9846614,"26,03",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301108,Cantagalo,RJ,,14197,13460,13460,"94,80","65,48",,,11,,3344,,991,917,961,"73,15",0,0,"684,52",3,,,,,,,,"-2,16",0,"99,77","36.969,25","2,60",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301157,Cardoso Moreira,RJ,,7973,7199,7199,"90,30","57,65",,,11,,2178,,1390,1378,544,"11,27",0,0,0,"4,80",,,,,,,,"58,59",0,"55,18","18.943,12","2,38",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301306,Casimiro de Abreu,RJ,,21110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301504,Cordeiro,RJ,,18665,18841,18841,100,"96,36",,,13,,4528,,"2.335,44",2335,1297,0,0,0,"2.335,44","2,70",,,,,,,,"41,27",0,"99,87","50.360,79","2,70",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301603,Duas Barras,RJ,,6160,3423,3423,"55,60","32,39",,,4,,856,,"304,39",304,238,0,0,0,0,"4,50",,,,,,,,"17,37",0,"99,94","9.046,10","1,47",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301702,Duque de Caxias,RJ,,827327,493737,493737,"59,70","59,44",37,37,402,72,85770,10,"84.696,86",55100,40063,"29.597,16",0,0,"55.099,69","4,50",5330,5330,,,"7.578,95","13,30",100,"50,95",100,"59,31","5.398.699,86","6,53",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301801,Engenheiro Paulo de Frontin,RJ,,8804,6787,6787,"77,10","55,55",,,38,,2026,,"784,28",784,418,0,0,0,0,15,,,,,,,,"43,64",0,"95,05","17.249,56","1,96",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301850,Guapimirim,RJ,,29010,,,,,,,,0,,0,,,,,,,,,0,0,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301876,Iguaba Grande,RJ,,18969,24189,24189,100,100,9676,9676,148,5,3945,,0,0,1154,0,1819,0,0,"20,60",0,0,,,,0,,"36,56",100,"94,13","7.769.608,84","409,60",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3301900,Itaboraí,RJ,,199248,48628,48628,"24,40","23,08",223,223,86,5,11915,38,"10.732,22",4196,4094,"6.535,82",0,0,0,"6,40",394,394,,,"131,58","9,62",100,"61,01","39,10","38,37","123.200,55","0,62",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302007,Itaguaí,RJ,,87314,60613,60613,"69,40","66,21",,,261,,14645,,14230,2422,5218,"11.807,07",0,0,"12.412,56","13,60",,,,,,,,"62,99","87,23","49,96","565.087,26","6,47",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302056,Italva,RJ,,8790,7546,7546,"85,90","60,14",,,14,,2130,,"1.425,94",1426,633,0,0,0,0,"6,50",,,,,,,,"53,05",0,"60,52","20.273,19","2,31",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302106,Itaocara,RJ,,15953,19214,19214,100,"83,40",,,26,,5101,,"2.713,96",2653,1350,"60,71",0,0,0,"4,70",,,,,,,,"47,45",0,"84,53","50.269,92","3,15",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302205,Itaperuna,RJ,,81370,67489,67489,"82,90","74,01",,,90,,15634,,"8.651,88",8652,5735,0,0,0,0,"5,50",,,,,,,,"29,87",0,"70,05","180.856,06","2,22",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302270,Japeri,RJ,,92254,54439,54439,59,"59,01",,,65,,9957,,"11.085,48",0,4340,"11.085,48",0,0,0,"5,80",,,,,,,,"60,85",100,"64,09",340767,"3,69",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302304,Laje do Muriaé,RJ,,5786,5328,5328,"92,10","65,48",,,11,,1460,,"607,15",0,411,"607,15",0,0,0,"7,20",,,,,,,,"32,26",0,"70,83","13.721,99","2,37",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302403,Macaé,RJ,,144654,106337,106337,"73,50","69,93",,,272,,26502,,"11.499,99",11500,9239,0,0,0,0,"9,70",,,,,,,,15,0,"64,82","296.497,54","2,05",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302452,Macuco,RJ,,3657,4550,4550,100,"99,96",,,18,,1514,,"563,78",564,465,0,0,0,0,"11,10",,,,,,,,"12,75",0,100,"16.993,46","4,65",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302502,Magé,RJ,,214229,51725,51725,"24,10","22,74",,,74,,13090,,"6.091,40",0,4701,"6.091,40",0,0,0,"4,80",,,,,,,,"22,83",0,"8,36","130.131,77","0,61",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302601,Mangaratiba,RJ,,22714,26747,26747,100,"93,92",,,68,,5578,,"5.903,53",0,2421,"5.903,53",0,0,0,"11,60",,,,,,,,"58,99",0,"36,53","69.865,69","3,08",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302700,Maricá,RJ,,76197,23310,23310,"30,60","25,27",2228,2228,82,12,6261,706,1660,1471,1658,0,0,0,0,"12,70",410,410,,,"17,18","24,73",100,"-4,99","88,63","88,83","64.157,14","0,84",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3302908,Miguel Pereira,RJ,,22002,15714,15714,"71,40",60,,,37,,4313,,"2.980,22",2782,1086,"198,24",0,0,0,"7,60",,,,,,,,"61,59",0,"97,70","42.198,64","1,92",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303005,Miracema,RJ,,24943,23819,23819,"95,50","84,84",,,31,,6608,,"2.768,60",2769,1633,0,0,0,0,"4,20",,,,,,,,"37,58",0,"71,97","62.463,58","2,50",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303104,Natividade,RJ,,11935,11695,11695,98,"76,07",,,11,,3171,,1780,1730,893,"48,57",0,0,0,"3,20",,,,,,,,"49,81",0,"81,79","28.823,62","2,42",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303203,Nilópolis,RJ,,151465,151460,151460,100,100,,,133,,31553,,"13.018,06",13018,10841,0,0,0,"13.018,06","3,90",,,,,,,,"11,89",100,"82,63","1.340.583,05","8,85",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303302,Niterói,RJ,,471403,475800,475800,100,100,357000,357000,1206,467,77792,35953,0,0,34270,0,"54.239,50",0,0,"15,60",26525,25374,,,"13,03","77,40","95,66","36,82",100,"85,02","6.766.136,99","14,35",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303401,Nova Friburgo,RJ,,154698,152180,152180,"98,40","86,14",148938,148938,"436,80","258,10",32513,31930,"20.407,30",16953,7379,0,0,0,0,"13,30",7176,0,,,"7,97","97,24",0,63,"97,73","80,85","3.782.753,11","24,45",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303500,Nova Iguaçu,RJ,,817117,489977,489977,60,"59,96",2997,2997,589,148,89618,900,"109.441,47",81136,39067,"28.305,65",0,0,"81.135,82","5,80",56,0,,,"164,44","0,14",0,"62,79",100,"64,09","8.732.392,98","10,69",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303609,Paracambi,RJ,,38760,20183,20183,"52,10","47,43",,,86,,4988,,"2.603,61",0,1607,"2.603,61",0,0,"2.603,61","16,70",,,,,,,,"38,29",100,"82,52","52.649,17","1,36",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303708,Paraíba do Sul,RJ,,34252,31998,31998,"93,40","81,63",,,34,,7979,,"3.015,61",3016,2409,0,93,0,0,"3,40",,,,,,,,"18,15",0,"90,86","84.636,87","2,47",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303807,Paraty,RJ,,15438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303856,Paty do Alferes,RJ,,18079,14812,14812,"81,90","55,07",,,56,,3648,,"2.467,99",2468,1003,0,0,0,0,14,,,,,,,,"56,99",0,"98,64","39.009,79","2,16",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303906,Petrópolis,RJ,,285728,230521,225970,"79,10","76,21",183382,179201,481,205,38756,30587,12768,12504,9867,264,0,0,12504,"12,20",7150,4043,,,"6,73","72,46","56,55","21,14",100,"97,36",1915000,"6,70",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3303955,Pinheiral,RJ,,19896,14149,14149,"71,10","64,51",,,27,,4068,,"1.734,46",1734,1054,0,0,0,0,"6,10",,,,,,,,"35,73",0,"64,50","36.580,97","1,84",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304003,Piraí,RJ,,19343,20626,20626,100,"87,12",,,48,,5782,,2469,2392,1486,"76,26",0,0,0,"7,80",,,,,,,,"36,44",0,"81,61","53.772,70","2,78",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304102,Porciúncula,RJ,,12556,12654,12654,100,"75,93",,,14,,3589,,1792,1730,827,"60,71",0,0,0,"3,50",,,,,,,,"51,26",0,"73,15","33.003,83","2,63",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304144,Queimados,RJ,,133881,110802,110802,"82,80","82,76",,,121,,23106,,48182,12110,7979,"36.070,92",0,0,"29.669,06","4,90",,,,,,,,"83,21",100,"60,88","2.205.876,87","16,48",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304151,Quissamã,RJ,,8625,8568,8568,"99,30","55,93",,,12,,2492,,"1.260,78",1261,507,0,0,0,0,"4,50",,,,,,,,"57,44",0,"88,55","23.115,07","2,68",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304201,Resende,RJ,,105635,114500,113000,100,"99,49",121250,120000,205,205,25050,23500,"12.358,90",11395,6179,"262,80",7884,0,0,"8,10",4944,110,,,"26,43",80,"2,21","69,47",0,"80,17",79000,"0,75",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304300,Rio Bonito,RJ,,33968,22721,22721,"66,90","43,68",,,61,,5706,,"4.917,46",4320,2092,"597,19",0,0,0,"9,50",,,,,,,,"55,31","87,86","67,78","62.157,91","1,83",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304409,Rio Claro,RJ,,12557,9344,9344,"74,40","53,26",,,28,,2532,,"911,40",868,612,"43,25",0,0,0,"9,90",,,,,,,,"29,10",0,"89,90","24.403,83","1,94",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304524,Rio das Ostras,RJ,,43409,5548,5548,"12,80","12,13",,,38,,1400,,"1.280,13",1280,825,0,0,0,0,"27,40",,,,,,,,"31,86",0,0,"181,74","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304557,Rio de Janeiro,RJ,,6051399,5974081,5974081,"98,70","98,72",4932639,4932639,9548,4192,739153,636179,"1.058.302,33",949714,493855,"108.080,17",0,0,"1.057.490,38","11,90",371020,306700,,,"6,60","75,13","82,66","50,92","99,95","62,76","67.148.366,95","11,10",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304607,Santa Maria Madalena,RJ,,5429,3130,3130,"57,70","30,44",,,3,,875,,"1.068,54",0,220,"1.068,54",0,0,0,"3,20",,,,,,,,"79,41",0,"35,37","8.228,24","1,52",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304706,Santo Antônio de Pádua,RJ,,31523,30596,30596,"97,10","73,79",,,41,,8118,,"3.576,11",3576,2408,0,100,0,0,"4,70",,,,,,,,"30,81",0,73,"82.315,45","2,61",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304755,São Francisco de Itabapoana,RJ,,21095,14349,14349,68,"31,79",,,13,,4185,,"2.404,06",98,988,"2.306,37",0,0,0,"2,90",,,,,,,,"58,82",0,"74,87",37151,"1,76",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304805,São Fidélis,RJ,,27330,26194,26194,"95,80","69,07",,,30,,6767,,"4.167,78",4168,2003,0,0,0,0,"4,30",,,,,,,,"49,15",0,"79,97","70.237,45","2,57",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3304904,São Gonçalo,RJ,,948216,625683,625683,66,"65,99",15378,15378,360,427,101908,3035,"166.841,68",166842,113694,0,0,56765,0,3,17061,17061,,,"140,48","29,97",100,"27,90",100,"49,56","7.577.536,70","7,99",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305000,São João da Barra,RJ,,20169,28440,28440,100,100,,,122,,10830,,"6.269,13",2978,2633,"3.291,48",0,0,0,"10,80",,,,,,,,"56,88",0,"56,90","91.543,30","4,54",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305109,São João de Meriti,RJ,,461638,392451,392451,85,"85,01",10,10,492,188,60094,5,"54.494,20",54494,30408,0,0,0,"54.494,20","7,20",2,0,,,"34.181,82","0,01",0,"40,96",100,"73,38","9.714.352,28","21,04",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305133,São José de Ubá,RJ,,2408,2348,2348,"97,50","35,37",,,2,,627,,425,0,236,425,0,0,0,"2,90",,,,,,,,"44,41",0,"78,27","6.253,79","2,60",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305208,São Pedro da Aldeia,RJ,,60722,59668,59668,"98,30","81,04",23867,23867,262,31,13833,,8005,8005,4048,0,0,0,0,13,703,703,,,"24,21","17,37",100,"49,43",100,"90,69","12.943.137,99","213,15",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305307,São Sebastião do Alto,RJ,,3800,3909,3909,100,"45,01",,,10,,1089,,262,112,261,149,0,0,0,"8,50",,,,,,,,"-2,15",0,"99,95","10.400,95","2,74",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305406,Sapucaia,RJ,,12790,13190,13190,100,"73,10",,,13,,3490,,"1.098,92",1099,934,0,0,30,0,"3,60",,,,,,,,"10,08","-2,81","99,99","34.358,68","2,69",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305505,Saquarema,RJ,,57608,54234,53554,93,"90,48",,,180,,11333,,,,867,0,,,0,9,,,,,,,,,,"92,97",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305554,Seropédica,RJ,,58260,18721,18721,"32,10","25,55",,,80,,4418,,"14.229,04",0,1912,"14.229,04",0,0,"14.229,04","17,80",,,,,,,,"86,56",100,"67,29","382.071,86","6,56",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305604,Silva Jardim,RJ,,15287,13474,11124,"72,80","58,92",3380,2700,45,12,4408,251,,,335,0,,,0,6,52,52,,,"81,59",,100,,,"93,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305703,Sumidouro,RJ,,2435,3536,3536,100,"23,91",,,8,,990,,248,248,247,0,0,0,0,"7,30",,,,,,,,"-4,69",0,"99,85","9.492,21","3,90",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305752,Tanguá,RJ,,24864,3810,3810,"15,30","13,20",,,25,,1010,,"758,33",758,373,0,0,0,0,"21,80",,,,,,,,"47,94",100,"12,88","9.665,70","0,39",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305802,Teresópolis,RJ,,122634,140996,140996,100,"95,92",,,280,,23435,,"13.359,92",13360,10399,0,0,0,0,"11,10",,,,,,,,"17,65",0,"97,63","387.239,51","3,16",,,,,,,,,,,,,,,,,,,,,,,,,,
2004,3305901,Trajano de Moraes,RJ,,3571,539,539,"15,10","5,54",,,8,,162,,"270,54",271,33,0,0,0,0,"45,70",,,,,,,,"87,08",0,"0,62","1.487,03","0,42",,,,,,,,,,,,,,,,,,,,,,,,,,
