ano,id_cid_principal,doenca,categoria,id_municipio_paciente,municipio_paciente,populacao_municipio_paciente,id_municipio_estabelecimento_aih,municipio_estabelecimento_aih,populacao_municipio_estabelecimento_aih,total_internacoes
2024,A90,Dengue,Vetor,3302700,Maricá,211986,3304904,São Gonçalo,960652,18
2016,A90,Dengue,Vetor,3301900,Itaboraí,230786,3304904,São Gonçalo,1044058,18
2022,A04,Infecções Intestinais Bacterianas,Hídrica,3301900,Itaboraí,224267,3301900,Itaboraí,224267,17
2015,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,807492,3304300,Rio Bonito,57615,17
2017,A90,Dengue,Vetor,3301900,Itaboraí,232394,3303302,Niterói,499028,17
2018,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,238695,3304300,Rio Bonito,59814,17
2019,A09,Diarreia e Gastroenterite,Hídrica,3302270,Japeri,104768,3303609,Paracambi,52257,17
2022,A09,Diarreia e Gastroenterite,Hídrica,3302270,Japeri,96289,3302908,Miguel Pereira,26582,17
2022,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,224267,3304300,Rio Bonito,56276,16
2020,A90,Dengue,Vetor,3304300,Rio Bonito,60573,3304300,Rio Bonito,60573,16
2016,A91,Dengue Hemorrágica,Vetor,3301850,Guapimirim,57105,3301850,Guapimirim,57105,16
2022,A90,Dengue,Vetor,3302700,Maricá,197277,3303302,Niterói,481749,16
2024,A91,Dengue Hemorrágica,Vetor,3301850,Guapimirim,54300,3301850,Guapimirim,54300,16
2023,A90,Dengue,Vetor,3301900,Itaboraí,224267,3302700,Maricá,197277,15
2018,A90,Dengue,Vetor,3303500,Nova Iguaçu,818875,3303500,Nova Iguaçu,818875,15
2023,A90,Dengue,Vetor,3301850,Guapimirim,51696,3305802,Teresópolis,165123,15
2017,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,153008,3302700,Maricá,153008,15
