ano,id_cid_principal,doenca,categoria,id_municipio_paciente,municipio_paciente,populacao_municipio_paciente,id_municipio_estabelecimento_aih,municipio_estabelecimento_aih,populacao_municipio_estabelecimento_aih,total_internacoes
2024,A90,Dengue,Vetor,3301900,Itaboraí,240040,3304904,São Gonçalo,960652,110
2024,A90,Dengue,Vetor,3305000,São João da Barra,38708,3301009,Campos dos Goytacazes,519011,109
2016,A90,Dengue,Vetor,3302270,Japeri,100562,3303609,Paracambi,50071,107
2016,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,230786,3301900,Itaboraí,230786,102
2024,A90,Dengue,Vetor,3301850,Guapimirim,54300,3302502,Magé,244092,100
2016,A90,Dengue,Vetor,3302700,Maricá,149876,3302700,Maricá,149876,98
2022,A09,Diarreia e Gastroenterite,Hídrica,3302700,Maricá,197277,3303302,Niterói,481749,98
2014,A90,Dengue,Vetor,3303500,Nova Iguaçu,806177,3303500,Nova Iguaçu,806177,95
2016,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,797435,3304557,Rio de Janeiro,6498837,92
2015,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,807492,3304557,Rio de Janeiro,6476631,92
2023,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,224267,3303302,Niterói,481749,91
2018,A09,Diarreia e Gastroenterite,Hídrica,3301850,Guapimirim,59613,3301850,Guapimirim,59613,89
2024,A90,Dengue,Vetor,3301850,Guapimirim,54300,3301850,Guapimirim,54300,89
2016,A90,Dengue,Vetor,3305000,São João da Barra,34884,3305000,São João da Barra,34884,88
2024,A90,Dengue,Vetor,3301900,Itaboraí,240040,3303302,Niterói,516720,87
2024,A90,Dengue,Vetor,3304300,Rio Bonito,59113,3303500,Nova Iguaçu,843046,87
2014,A90,Dengue,Vetor,3302270,Japeri,99141,3302270,Japeri,99141,86
2024,A90,Dengue,Vetor,3301900,Itaboraí,240040,3305752,Tanguá,32858,85
2024,A91,Dengue Hemorrágica,Vetor,3301900,Itaboraí,240040,3304904,São Gonçalo,960652,82
2020,A09,Diarreia e Gastroenterite,Hídrica,3303500,Nova Iguaçu,823302,3304557,Rio de Janeiro,6747815,78
2022,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,224267,3304904,São Gonçalo,896744,78
2024,A90,Dengue,Vetor,3301900,Itaboraí,240040,3304557,Rio de Janeiro,6729894,78
2024,A90,Dengue,Vetor,3304110,Porto Real,21064,3306305,Volta Redonda,279898,77
2021,A09,Diarreia e Gastroenterite,Hídrica,3301900,Itaboraí,244416,3303302,Niterói,516981,76
2023,A91,Dengue Hemorrágica,Vetor,3300100,Angra dos Reis,167434,3300100,Angra dos Reis,167434,74
2016,A90,Dengue,Vetor,3303500,Nova Iguaçu,797435,3303500,Nova Iguaçu,797435,73
2016,A09,Diarreia e Gastroenterite,Hídrica,3300100,Angra dos Reis,191504,3300100,Angra dos Reis,191504,72
2023,A04,Infecções Intestinais Bacterianas,Hídrica,3303500,Nova Iguaçu,785867,3303500,Nova Iguaçu,785867,72
2024,A90,Dengue,Vetor,3301900,Itaboraí,240040,3303500,Nova Iguaçu,843046,72
2018,A90,Dengue,Vetor,3301900,Itaboraí,238695,3301900,Itaboraí,238695,71
2023,A91,Dengue Hemorrágica,Vetor,3303500,Nova Iguaçu,785867,3303500,Nova Iguaçu,785867,67
2023,A90,Dengue,Vetor,3304300,Rio Bonito,56276,3304300,Rio Bonito,56276,67
2015,A09,Diarreia e Gastroenterite,Hídrica,3301850,Guapimirim,56515,3301850,Guapimirim,56515,65
2019,A90,Dengue,Vetor,3305000,São João da Barra,36102,3305000,São João da Barra,36102,63
2023,A90,Dengue,Vetor,3301900,Itaboraí,224267,3301900,Itaboraí,224267,61
