ano,id_municipio,sigla_uf,populacao_atendida_agua,populacao_atentida_esgoto,populacao_urbana,populacao_urbana_residente_agua,populacao_urbana_atendida_agua,populacao_urbana_atendida_agua_ibge,populacao_urbana_residente_esgoto,populacao_urbana_atendida_esgoto,populacao_urbana_residente_esgoto_ibge,extensao_rede_agua,extensao_rede_esgoto,quantidade_sede_municipal_agua,quantidade_sede_municipal_esgoto,quantidade_localidade_agua,quantidade_localidade_esgoto,quantidade_ligacao_ativa_agua,quantidade_ligacao_ativa_esgoto,quantidade_ligacao_total_agua,quantidade_ligacao_total_esgoto,quantidade_economia_ativa_agua,quantidade_economia_ativa_esgoto,quantidade_ligacao_micromedia_ativa_agua,quantidade_economia_residencial_ativa_agua,quantidade_economia_residencial_ativa_esgoto,quantidade_economia_micromedida_ativa_agua,quantidade_economia_residencial_micromedida_ativa_agua,volume_agua_produzido,volume_agua_tratada_eta,volume_agua_micromedido,volume_agua_consumido,volume_agua_faturado,volume_agua_macromedido,volume_agua_tratada_desinfeccao,volume_agua_bruta_exportado,volume_agua_tratada_importado,volume_agua_tratada_exportado,volume_agua_micromedido_economia_ativa,volume_servico_agua,volume_agua_fluoretada,consumo_eletrico_sistemas_agua,volume_esgoto_coletado,volume_esgoto_tratado,volume_esgoto_faturado,volume_esgoto_bruto_exportado,volume_esgoto_bruto_importado,volume_esgoto_importado,volume_esgoto_bruto_exportado_tratamento_importador,consumo_eletrico_sistemas_esgoto,indice_agua_ligacao,indice_hidrometracao,indice_macromedicao_volume_disponibilizado,indice_macromedicao,indice_perda_faturamento,indice_micromedido_economia,indice_coleta_esgoto,indice_tratamento_esgoto,indice_consumo_agua_faturado,indice_extensao_agua_ligacao,indice_extensao_esgoto_ligacao,indice_consumo_agua_per_capita,indice_atendimento_urbano_agua,indice_atendimento_agua_esgoto,indice_volume_agua_economia,indice_faturamento_agua,indice_participacao_economia_agua,indice_micromedicao_relativo_agua,indice_esgotamento_agua_consumida,indice_atendimento_esgoto_esgoto,indice_perda_distribuicao_agua,indice_perda_linear_agua,indice_perda_ligacao_agua,indice_consumo_agua,indice_consumo_medio_agua,indice_atendimento_total_agua,indice_atendimento_esgoto_agua,indice_fluoretacao_agua,indice_consumo_energia_agua,indice_consumo_energia_esgoto,receita_operacional_direta,receita_operacional_direta_agua,receita_operacional_direta_esgoto,receita_operacional_indireta,receita_operacional_direta_agua_exportada,receita_operacional,receita_operacional_direta_esgoto_importado,arrecadacao_total,credito_areceber,despesa_pessoal,quantidade_empregado,despesa_produto_quimico,despesa_energia,despesa_servico_terceiro,despesa_exploracao,despesas_juros_divida,despesa_total_servico,despesa_ativo,despesa_agua_importada,despesa_fiscal,despesa_fiscal_nao_computada,despesa_exploracao_outro,despesa_servico_outro,despesa_amortizacao_divida,despesas_juros_divida_excecao,despesa_divida_variacao,despesa_divida_total,despesa_esgoto_exportado,despesa_capitalizavel_municipio,despesa_capitalizavel_estado,despesa_capitalizavel_prestador,investimento_agua_prestador,investimento_esgoto_prestador,investimento_outro_prestador,investimento_recurso_proprio_prestador,investimento_recurso_oneroso_prestador,investimento_recurso_nao_oneroso_prestador,investimento_total_prestador,investimento_agua_municipio,investimento_esgoto_municipio,investimento_outro_municipio,investimento_recurso_proprio_municipio,investimento_recurso_oneroso_municipio,investimento_recurso_nao_oneroso_municipio,investimento_total_municipio,investimento_agua_estado,investimento_esgoto_estado,investimento_outro_estado,investimento_recurso_proprio_estado,investimento_recurso_oneroso_estado,investimento_recurso_nao_oneroso_estado,investimento_total_estado
2008,3303500,RJ,656573,4122,855500,855500,656573,855500,855500,4122,855500,492,159,1,1,1,0,107923,903,115515,903,196994,1174,72222,150928,1171,112464,87596,120152,84043,24610,45583,64101,120152,36109,27757,0,0,22229,6008,85147,4219,287,287,104,0,0,0,,0,"1,83","66,92","21,56",100,"43,84","18,2","0,63",100,"27,1","4,3","176,08","190,2","76,8","0,48","50,8","56,16","76,62","53,99","0,63","0,48","60,07","381,79","1740,48","39,93","19,3","76,75","0,48","70,87","0,04",0,94214688,94047204,167484,0,0,94214688,0,30615103,63599585,8076756,451,1758445,8366065,12250992,43974694,12982031,110044385,42844899,0,13522436,5678251,0,4564510,813894,5040578,7941453,,0,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2004,3300407,RJ,168472,141998,168758,168758,164530,174500,168758,138844,174500,550,"121,4",,,4,4,31988,27709,33360,29081,50609,42606,31199,44135,37166,49820,43374,10150,9975,"6542,6","6765,4","8104,6",10150,175,0,"1982,4",0,"5277,9","4,3",9050,"7492,5",6500,100,"6483,7",,,,,1596,"1,61","96,83","53,95","83,66","33,18","11,1","96,08","1,54","13,5","14,6","4,19","111,9","97,5","82,27","20,2","66,82","87,21","96,71","1,48","82,27","44,22","31,15","472,11","55,78","11,2","96,55","81,37","74,59","0,62","0,25","10469763,87","7207167,29","3262596,58",0,0,"10469763,87",,"11645002,45","5043152,52","6046420,75",325,"246815,04",0,"4361927,91","11257113,16",0,"11257113,16",0,"487372,09","114577,37",0,0,0,0,0,0,,,,,0,"405542,54","308810,01","267732,28","982084,83",0,0,"982084,83",,,,,,,,,,,,,,
2003,3303401,RJ,170636,157511,153560,153560,162104,175370,153560,155939,175370,429,"251,6",,,6,6,32727,32004,32727,32004,52566,52250,25815,48041,46753,44549,41406,"20451,9","19587,5","5713,8","10640,8","16698,6","19587,5",0,0,0,0,"5062,3","456,1",0,"9085,99",7968,0,12672,,,,,0,"1,59","76,76","28,58","95,77","16,49","10,8","74,88",0,"26,2","12,8","7,8","177,9",100,100,"32,1","83,51","91,35","53,7",0,100,"46,78","60,1","767,38","53,22","16,7","97,3","89,82",0,"0,44",0,16525776,11642030,4883746,0,0,16525776,,15832265,10256313,5107489,235,378858,1243577,2468083,11087851,4141318,21533311,6085005,0,1889844,219137,0,0,1533410,4141318,0,,,,,0,2365187,0,0,2365187,0,0,2365187,,,,,,,,,,,,,,
2004,3303500,RJ,489977,2997,817117,817117,489977,817117,817117,2997,817117,589,148,1,1,0,0,89618,900,96226,900,136111,902,59272,127948,900,94623,88759,"109441,47","81135,82",23246,39067,39067,"109441,47","28305,65",0,0,0,19849,"4448,23","81135,82",5238,56,0,56,,,,,0,"1,52","64,09","22,14",100,"62,79","21,1","0,14",0,"23,9","5,8","164,44","233,7",60,"0,37",67,"37,21","93,99","59,5",0,"0,37","62,79","321,1","2014,73","37,21","23,9","59,96","0,37","74,14","0,05",0,"46440646,65",46384108,"56538,65","264599,99",0,"46705246,65",,"17811636,63",62838730,4443112,56,1124286,6316632,8554864,35830579,0,"64177473,81","16210246,65",0,5685613,0,9706072,"12136648,16",0,0,0,,,,,"1127316,98",2150821,4964048,490207,3260619,4344457,0,"8732392,98",,,,,,,,,,,,,,
2005,3303906,RJ,236841,189805,289058,289058,232166,306002,289058,185500,306002,492,209,,,4,4,39849,32101,40363,32101,65471,53693,38942,57009,46281,64347,55909,12755,12500,9529,9856,"9982,1",12755,255,0,0,0,7147,"256,2",12500,4183,7166,4059,"5607,8",,,,,458,"1,65","97,25","76,24",100,"20,14","12,6","72,71","56,64","12,9","12,2","6,6","115,6","80,3","64,17","16,4","79,86","87,04","96,68","41,18","64,17","21,14","14,88","184,23","78,86","12,7","77,4","62,03",98,"0,33","0,06",29606275,18536376,11069899,"1522894,49",0,"31129169,49",,28489652,7115465,4384255,160,229235,1853549,"3183871,34","17472752,81","3848425,25","28377689,64","2263479,91",0,"2981119,06",1905886,"4840723,41","2887145,67",8377373,"3848425,25",0,,,,,0,1205781,589440,234496,1405717,624000,0,2029717,,,,,,,,,,,,,,
2022,3301504,RJ,20264,2218,,,,20783,,,20783,80,"4,42",1,1,0,0,7718,594,8333,602,9984,755,6462,9006,717,8579,7934,"4698,3","4258,4",1169,"2661,1","1824,3","4322,47","12,3",0,0,1400,"1026,7","84,15","3262,1","491,6","246,85","246,85","109,09",0,0,0,0,"85,9","1,3","91,13","36,37","88,61","60,46","11,5","19,57",100,"3,9","10,8","7,34","165,3",,,"29,9","39,54","90,96","92,7","19,57",,"42,33","66,89","755,5","57,67","11,4","97,5","10,67","69,43","0,1","0,35","10400494,56","9907139,85","493354,71","764399,99",0,"11164894,55",0,"10013767,36","2415445,13","2173100,03",26,"190077,93","579751,1","992134,18","5425154,59","214076,11","11449900,38","3263481,9",0,"960785,46","1871552,92","529305,89","675634,86","211800,98","214076,11",0,"425877,09",0,,,"488984,49","3174136,28","56645,8","150773,49","3870540,06",0,0,"3870540,06",,,,,,,,,,,,,,
2022,3301900,RJ,67338,2898,,,,224267,,,224267,"912,84","428,33",1,1,1,1,18433,688,19729,698,23739,958,6858,21443,923,11808,10698,"15907,1","14565,1","1212,6","2386,8","4639,9","14870,34","305,2",0,1037,0,"730,4","280,73",6174,3099,"352,58","352,58","67,53",0,0,0,0,"162,66","1,29","37,21","7,28","87,76","72,16","8,6","14,77",100,"16,3","46,3","613,65","110,1",,,"59,5","27,84","90,33","50,8","14,77",,"85,68","42,85","2121,95","14,32","8,4","30,03","1,29","36,44","0,18","0,46","32941536,32","32570670,27","370866,05","929767,5",0,"33871303,82",0,"18703266,15","17539691,32","4215448,04",62,"170481,64","54910044,19","1796042,37","66120278,1","467061,49","82865111,92","13328292,89","531687,92","2893252,65","1678603,12","1603321,29","1270876,32","461581,26","467061,49",0,"928642,75",0,,,"1157436,59","16408233,16","1918035,37","319921,47","19803626,59",0,0,"19803626,59",,,,,,,,,,,,,,
2022,3302502,RJ,166272,12705,,,,228127,,,228127,"677,31",42,1,0,0,1,33922,3330,37140,3337,56376,3630,6631,51489,,9543,8452,4872,"1076,78","374,4","2279,2","5144,4","2562,57","3795,22",0,3136,0,"289,3","682,43","1076,8","490,3","789,9",0,0,0,0,0,0,,"1,66","19,55","5,11",32,"29,77","3,3","34,66",0,"7,6","18,2","12,59",58,,,"11,8","70,23","91,33","16,43",0,,"68,89","20,41","407,57","31,11","3,4","72,89","5,57","13,45","0,06",,"31141779,27","31141779,27",0,"4936020,4",0,"36077799,67",0,"13129417,52","27626069,31","4524173,12",154,"162794,96","433958,91","2644857,92","12060567,32","634053,1","27542082,09","11564493,36",0,"3268841,91","1602918,27","1025940,5","1680050,04","583077,79","634053,1",0,"1217130,89",0,0,,"2734514,22","21843813,07","142242,36","511110,4","25231680,05",0,0,"25231680,05",0,0,0,0,0,0,0,,,,,,,
2022,3304557,RJ,5827254,5950288,,,,6211223,,,6211223,"16889,05","6878,91",1,1,1,22,1022197,924905,1118936,999587,2189367,2135897,628401,1984378,1910048,1798988,1631850,"67011,09",0,"238450,78","406544,36","420939,23","141167,78","5711,09",0,"1008775,83",0,"220271,31","42375,57","150277,92","388251,48","383345,14","346011,18","441283,05",0,"1651,29","1651,29",0,"60386,02","2,02","51,09","23,07","13,12","59,27","11,1","94,29","90,3","14,3","10,9","6,38","176,8",,,"36,5","40,73","91,96","58,65","85,11",,"60,66","123,72","1412,34","39,34","13,8","93,82","95,8","13,97","0,36","0,16",5579116944,2818813549,2760303395,"143960902,6",0,5723077847,0,4400140367,1796702622,889662127,5540,"45349651,53","351625498,6","550230817,9",4846305190,1011373760,7266639142,1151075677,2038791529,"626211362,6","154971695,6","344434202,6","102912819,5","215972783,5","987462520,5","23911239,35",1227346543,0,0,0,"58139707,63","610627006,5","325477664,6","73729083,67","887973920,7","179999541,7",0,1067973462,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,3303955,RJ,20600,21700,22600,22600,20600,25156,22600,21630,25156,158,"48,6",1,1,0,1,6624,5509,7838,6495,7080,5509,5851,6770,4530,6261,5963,3455,3455,1061,"1526,99",1101,0,0,0,0,0,919,"49,64",0,829,1175,0,0,0,0,0,0,0,"1,04","83,05","31,16",0,"67,67","14,7","76,95",0,"12,9","19,8","7,48",214,"91,2","95,71","40,6","32,33","88,65","69,48",0,"95,71","55,16","32,57","758,13","44,84",18,"81,89","86,26",0,"0,24",0,"6555298,27","6555298,27",0,"17761,65",0,"6573059,92",0,4467930,"1863565,15","1904508,43",13,"42803,16","283281,25","215038,09","2687556,95","23621,56","3382649,96","621415,98",0,"121324,4","50055,46","120601,62",0,0,"22617,52","1004,04","23621,56",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,3304144,RJ,138096,58647,152311,152311,138096,152311,152311,58647,152311,"390,13",132,1,1,0,0,31582,13200,31582,14756,44262,18888,13014,42953,17990,20517,19349,0,0,"1984,28","10836,15","4917,14",0,0,0,"19469,95",0,"881,72","671,01",0,"606,09","3128,02",0,"0,2",0,0,0,0,,"1,4","41,04","10,56",0,"73,84","8,1","28,87",0,"9,2","11,8","8,95","214,3","90,7","38,5","36,5","26,16",97,"18,31",0,"38,5","42,36","55,95","685,72","57,64","20,3","90,67","38,5",0,"0,03",,"26995996,44","26994478,82","1517,62","66655,88",0,"27062652,32",0,"22592399,02","4797292,53","11708782,76",29,0,"520058,01",4602598,"19664091,67","157194,94","43784583,33","23963296,72",2133702,"93861,48",0,"605089,42",0,"257294,83","157194,94",0,"414489,77",0,0,0,0,"179963,62",0,0,"179963,62",0,0,"179963,62",0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,3305554,RJ,54961,20840,68935,68935,54961,83841,68935,20840,83841,"301,11",53,1,1,0,0,15268,5300,15268,5425,20905,7484,5079,19209,6533,7836,6351,0,0,"1620,32","6052,47","2993,63",0,0,0,8354,0,"700,92","703,4",0,"164,79","1841,77",148,"0,24",0,0,0,0,37,"1,37","33,29","21,18",0,"60,87","17,3","30,43","8,04",12,"19,3","9,77","301,3","79,7","30,23","33,4","39,13","92,16","26,77","2,45","30,23","20,89","14,54","286,82","79,11","24,2","65,55","24,86",0,"0,02","0,02","30230493,54","30229848,44","645,1","6951,01",0,"30237444,55",0,"29485345,58","6316388,52","16348,85",1,0,"256469,8","2543178,09","5726649,36","234714,01","24464226,58","18502863,21",0,"1550132,58",0,"1360520,04",0,"384177,13","234714,01",0,"618891,14",0,0,0,0,"1680674,07",0,0,"1680674,07",0,0,"1680674,07",0,0,0,0,0,0,0,0,0,0,0,0,0,0
